star_name,gaiadr3,vsini,e_vsini
TIC 78823956,2922666665878956032,1.345,0.064
TIC 53688090,5609058277323483392,1.795,0.271
TIC 279246287,5485320853638354304,1.985,0.307
TIC 268565917,3101382419728401408,3.605,5.275
TIC 125409404,3052753116376444800,2.626,0.122
TIC 65652471,5617564477239812864,1.69,0.223
TIC 291635915,5493588665684618752,1.675,0.233
TIC 50651990,3028228853115437312,1.865,0.276
TIC 340697083,5488567574038257280,2.241,0.235
TIC 382625142,5287961677550103424,1.537,0.189
TIC 25994436,3083867749248355456,1.806,0.083
TIC 758285,5726135065724589056,1.962,0.521
TIC 372914091,5291028181119851776,2.158,0.5
TIC 332204965,5726261784439754624,2.162,0.608
TIC 154234114,5596797039059063680,2.179,0.161
TIC 81200079,5519593520133411584,2.237,0.292
TIC 286069970,5320952798822552064,1.808,0.277
TIC 307624961,5726982995343100928,1.901,0.327
TIC 183356952,5540006949934104448,1.693,0.232
TIC 271677262,5693255510530645120,2.893,0.213
TIC 270205941,5644325284591298688,1.888,0.186
TIC 169108295,3065191272937568896,1.323,0.296
TIC 184269804,5541950959521537792,2.074,0.292
TIC 89712532,5321012172453217152,1.973,0.252
TIC 393844873,5640565607657897728,2.248,0.654
TIC 117948083,5701922342208943232,1.844,0.268
TIC 180497060,5528565470596048256,2.196,0.288
TIC 11665403,5643762781311698048,3.202,0.208
TIC 180664865,5528591961953902720,0.681,0.147
TIC 149743134,5761566656125168512,2.146,0.274
TIC 181741837,5524982093479504384,2.978,0.722
TIC 62569281,5760701787150565888,1.163,0.242
TIC 31716749,5427207918907843072,1.765,0.189
TIC 280797969,5759132268661461760,3.133,0.244
TIC 332635310,5731252295913584768,2.193,0.229
TIC 20066082,5742430270422799872,1.625,0.262
TIC 126738447,5324296207519645696,0.87,0.34
TIC 386899832,5300239064919282816,2.612,0.057
TIC 452501166,5217826648313336576,1.477,0.626
TIC 24972344,5630532113072532736,2.506,0.121
TIC 78189262,5410453732524556672,2.24,0.444
TIC 405485269,5691782130578684544,0.709,0.368
TIC 32820141,5424836719001215360,2.254,0.32
TIC 280495780,5409121433672765824,0.698,0.251
TIC 45045365,5433212283180626432,3.112,0.248
TIC 446137194,5406324138654973824,1.971,0.361
TIC 35055332,5412947081295024896,2.194,0.118
TIC 101418130,5672053902679434112,2.246,0.066
TIC 469246367,5257641819811552512,1.23,0.061
TIC 33257294,3771310387757739392,1.871,0.25
TIC 350194158,5421350717381784192,1.446,0.068
TIC 308840739,5674217260526161152,1.286,0.153
TIC 70829383,5446332686714616448,1.786,0.244
TIC 168158191,5465685637549838976,2.519,0.45
TIC 71094440,5459060117921483008,0.396,0.292
TIC 36733752,3767319332347773184,2.973,0.202
TIC 193032655,5461620846141553024,1.858,0.588
TIC 36954567,3775795982881589376,1.762,0.34
TIC 193136060,5468679229755326848,2.073,0.397
TIC 169225390,3805647792295621376,2.017,0.35
TIC 391844777,3750995604764854400,2.315,0.188
TIC 169248301,3802549437248150656,2.042,0.268
TIC 54237857,5450573881018549760,2.219,0.531
TIC 188087957,5470514142863169280,0.0,0.0
TIC 106900981,5391813299572883456,2.5,0.331
TIC 167839774,3550148743432500992,2.152,0.208
TIC 49099038,5451896799663667200,0.0,0.0
TIC 80384789,5362002309531896192,1.952,0.222
TIC 71739520,5387328735240580224,1.527,0.203
TIC 23270430,5452492082132835840,1.478,0.198
TIC 143046056,3784271568265259904,1.107,0.266
TIC 20416870,3532823773073745536,2.039,0.209
TIC 151956235,5395795730687103488,0.0,0.0
TIC 38086286,3786697056556771584,1.999,0.286
TIC 453452671,3590590224210558848,2.021,0.337
TIC 280859200,5236623864770649600,2.305,0.352
TIC 49427341,3786035184916139136,1.676,0.23
TIC 397362481,5378886891123024512,2.607,0.122
TIC 267399515,5341787994441794176,2.091,0.548
TIC 267519701,5341673851394297600,1.715,0.277
TIC 454082369,5381537023379295232,1.505,4.058
TIC 157324520,3480332916165099904,1.991,0.214
TIC 428657118,3492633633781166336,1.393,0.067
TIC 389214310,5380306876026603648,0.972,0.137
TIC 428673146,3494677900774838144,2.47,0.96
TIC 289513804,3600638179941831936,1.881,0.24
TIC 98993377,3485971555389836160,1.772,0.188
TIC 258322219,6143175840408947840,3.599,0.121
TIC 22030964,6143165291967834880,2.411,0.334
TIC 56812239,3598278250031419008,2.055,0.267
TIC 313392144,5856250378426143616,2.097,0.569
TIC 66666079,3693358861640279296,1.351,0.209
TIC 450491293,6053512007260865280,5.31,0.363
TIC 21113446,6128366415218881536,1.338,0.285
TIC 326538408,5856411869205581568,1.678,0.093
TIC 72814920,6133033601555979648,1.975,0.495
TIC 144155897,6146890643519305728,2.933,0.476
TIC 144511638,6153706477443518976,2.123,0.202
TIC 288529330,3529518709839090176,1.728,0.273
TIC 329649885,5855730584310531200,0.421,0.121
TIC 383429933,5766054141036403712,2.255,0.2
TIC 124306858,6166971574132849792,1.56,0.06
TIC 30293512,6141742283401003264,1.418,0.258
TIC 124401411,6180035765135232128,1.744,0.2
TIC 124403080,6182398370808620032,2.169,0.515
TIC 292113181,3684934540986187776,1.932,0.528
TIC 287609748,6088054505011960832,2.081,0.156
TIC 339406181,5843623140212451840,1.593,0.264
TIC 422478973,3507879565090229888,15.098,2.021
TIC 418383992,5783508853769085312,1.758,0.257
TIC 58465153,6193280031230266752,2.073,0.064
TIC 58493240,6193279279612173952,2.125,0.669
TIC 58596146,6189254689097655552,1.317,0.26
TIC 405501056,6166183842771027328,1.778,0.279
TIC 243194645,6083860761505899904,2.454,0.275
TIC 290058172,3606091998132474752,0.661,0.246
TIC 207585172,5872022185537043328,2.542,0.333
TIC 208844024,5872266689455300608,2.493,0.213
TIC 396255306,5790389872417570816,1.58,0.405
TIC 38638674,3643688458214366080,2.032,0.268
TIC 308311310,6303961686341504512,2.368,0.417
TIC 147718994,3646061719703116032,1.711,0.241
TIC 330551022,6092573252981419776,2.32,0.193
TIC 413356994,5866992641380992256,1.799,0.082
TIC 6041460,3639760521643499776,2.18,0.283
TIC 203230367,3642413746280598784,1.926,0.595
TIC 383006458,5853300216982678400,1.686,0.193
TIC 333459486,5898641087150340224,1.976,0.197
TIC 186579346,5891531404470141824,1.993,0.471
TIC 451366293,5904539176758763520,1.583,0.061
TIC 189694184,3650718804281798912,2.199,0.231
TIC 455350410,6100277947576330496,2.03,0.764
TIC 129383,6229442835525861120,1.144,0.072
TIC 334644751,5906633952564270848,2.229,0.29
TIC 454901855,5876112300125320448,2.257,0.194
TIC 262457542,5798962867668048768,1.77,0.296
TIC 76399157,6210926819198797440,1.422,0.228
TIC 38829360,4418257149730694144,1.414,0.551
TIC 61397572,6226694571859532800,2.308,0.327
TIC 136916387,5902750168276592256,0.0,0.0
TIC 36981205,6316161317608434944,2.187,0.083
TIC 292206680,6213644846302305536,1.766,0.23
TIC 388734737,6213789290343029760,2.034,0.088
TIC 407090552,5778418870846853888,2.207,0.356
TIC 309284002,6208649077782080000,2.188,0.177
TIC 179348425,6009538585839374336,2.676,0.281
TIC 437430894,6248534171318085376,0.304,0.112
TIC 290493086,5768159705804908800,2.048,0.214
TIC 255263370,5994771148252505216,1.908,0.12
TIC 66814605,6040291273229121408,2.106,0.371
TIC 168454208,4398623381051080064,3.062,0.631
TIC 49803296,4343477444082907136,2.032,0.079
TIC 161828105,6242432637698224896,0.0,0.0
TIC 410994457,4341501106288171008,0.924,0.255
TIC 206828302,5835498883232034816,2.461,0.153
TIC 409829440,5935065983239912320,1.572,0.111
TIC 207806112,5931529953919720576,1.84,0.179
TIC 49406320,6243032008973309440,1.773,0.208
TIC 135656809,4345775217221821312,0.0,0.0
TIC 71960105,4356054757585316992,1.988,0.164
TIC 211344776,6025604409224636800,1.992,0.745
TIC 58360410,4354950641755249024,0.0,0.0
TIC 74218395,4130605425932372992,1.771,0.266
TIC 41117582,4333230201866390656,3.071,0.44
TIC 20856917,6029992663310612096,2.067,0.295
TIC 142456308,4364527594192166400,0.0,0.0
TIC 303655974,5914096303621755520,1.612,0.108
TIC 142734765,4365099851340249600,2.04,0.278
TIC 76723012,4122133830616441728,1.948,0.224
TIC 157921708,5975810379449715968,1.366,0.252
TIC 59476871,4367026303085396352,1.79,0.18
TIC 464013520,5974066343551468544,2.06,0.253
TIC 362661163,5945941905576552064,2.483,0.278
TIC 41123769,4176501313320676992,1.843,0.345
TIC 113403971,4041857799496807936,1.594,0.439
TIC 367987991,5957920668132624256,1.913,0.062
TIC 129855305,4063687056632310784,2.268,0.272
TIC 22295632,5956907713041688960,1.682,0.662
TIC 185267623,4066590798160123776,1.537,0.338
TIC 87989721,6724520279784564864,2.297,0.426
TIC 243979187,4065583301939138432,2.062,0.286
TIC 15489536,4160661607077241472,3.449,0.089
TIC 18097734,4153637759337630720,1.695,0.149
TIC 160991902,6703245382605547520,2.393,0.377
TIC 53134037,4048037707717866880,0.0,0.0
TIC 133556737,4270446404294208000,1.84,0.072
TIC 151654299,4076014471814188160,1.997,0.165
TIC 345176811,6365296911707684352,2.037,0.296
TIC 211217450,6735442725215002112,2.315,0.184
TIC 379348964,6650273867313671296,1.747,0.402
TIC 330078921,4265754822578472576,2.21,0.349
TIC 39554091,4199396753205879040,2.307,0.598
TIC 382276154,6421555485729063424,2.283,0.226
TIC 254147274,6718894388002453120,1.563,0.18
TIC 204816649,4198685678421509376,2.261,0.247
TIC 205253565,4199928848101663104,2.088,0.362
TIC 410399074,6434153380720177664,1.588,0.072
TIC 113248833,6741156023833749504,2.318,0.122
TIC 100711809,4187837450005193088,3.109,0.543
TIC 114178837,6741888096717765888,1.77,0.21
TIC 370019110,6642655488681211392,2.198,0.06
TIC 398449624,6416143002299883904,1.773,0.062
TIC 320847025,6449124395465377920,1.503,0.067
TIC 352316369,6423511619991420544,1.983,0.174
TIC 74420200,6866905901690264960,2.767,0.756
TIC 352402781,6427244702486210816,1.813,0.227
TIC 161522366,6871005636949836928,2.905,0.238
TIC 101622280,6666015128609223552,2.356,0.246
TIC 389296527,6694561405404065152,1.348,0.461
TIC 14420255,6874580149255288832,0.0,0.0
TIC 468144799,6366579320221510528,2.466,0.199
TIC 326096771,6847167606385195648,2.06,0.219
TIC 129480666,6669657123437047424,2.734,0.119
TIC 164332676,6848935999040583168,1.598,0.275
TIC 156587945,6905188590167308160,2.124,0.612
TIC 441298668,6695591029323538688,2.303,0.565
TIC 205591703,6904703228801028864,1.685,0.186
TIC 188401533,6854626246593473792,2.052,0.294
TIC 269831195,6806482034026893824,2.641,0.216
TIC 248194676,6914237987476826624,1.829,0.21
TIC 441453170,6779678792398336896,2.269,0.223
TIC 260357429,6888226462941735680,2.286,0.189
TIC 372315670,6375406062130234368,1.058,0.218
TIC 126584063,6484716209628726912,0.0,0.0
TIC 79054590,6476635898675746304,2.706,1.256
TIC 248854510,6912276699251278848,1.873,0.17
TIC 372361075,6376731416021420288,2.455,0.496
TIC 24294415,6832155218215202944,2.136,0.218
TIC 248570964,2689215230324385792,2.564,0.231
TIC 250205478,2684228223537656576,2.055,0.202
TIC 355547281,6453300894679705984,2.808,0.065
TIC 207077159,6582020205549054720,2.454,0.273
TIC 370230471,6460163255986109056,1.616,0.06
TIC 99734092,6828450688663428224,1.434,0.092
TIC 259719464,6403912515987392128,2.454,0.25
TIC 99837626,6830027182179257472,1.967,0.505
TIC 352510765,6370513647703084544,2.192,0.444
TIC 370232736,6458847862122637440,2.144,0.184
TIC 269282550,2674471122993231104,1.552,0.231
TIC 147407292,6564091190988411520,0.1,0.235
TIC 111148377,6837559970700624768,3.059,0.157
TIC 290305042,6358928609077405568,1.426,0.281
TIC 53938218,6617815730006011776,2.137,0.189
TIC 53952985,6617495364101129728,2.468,0.386
TIC 197686484,6586580842340695040,3.497,0.268
TIC 270073058,6617542093345362432,2.706,0.788
TIC 231698181,6412595290592307840,0.1,0.692
TIC 420814525,1779546757669063552,3.62,0.324
TIC 279314081,6567494213835357056,1.832,0.46
TIC 50227884,2619706544757416192,1.568,0.283
TIC 38202481,2619938606134863872,1.379,0.167
TIC 278614418,6569895822110445440,1.408,0.221
TIC 60111044,6612306455196349056,2.148,0.129
TIC 437701837,2598935670597134464,2.189,0.107
TIC 231266199,6512176375093055744,2.606,0.669
TIC 231267777,6508776375901968640,2.101,0.545
TIC 209284060,6625576843284658176,3.238,0.58
TIC 469905613,6405211554615620864,1.709,1.295
TIC 144046368,6517095109079262336,1.717,0.33
TIC 270582021,6614285855300051840,1.844,0.072
TIC 144068704,6517058790835773440,2.761,0.208
TIC 250975235,2622929144618856704,1.886,0.176
TIC 253928127,6597043794989308928,1.935,0.211
TIC 403223176,6506893771477045888,2.161,0.343
TIC 326451898,6621026789291266304,2.226,0.196
TIC 70460363,6606890608810806528,2.269,0.232
TIC 251042502,2623505219992303104,1.922,0.059
TIC 161265414,6514371309538745600,1.575,0.246
TIC 161314759,6515731817739456256,4.966,0.296
TIC 47526465,6610107504955838336,1.875,0.326
TIC 36726370,2610488514148352000,2.309,0.19
TIC 278893662,2651240950559225728,1.081,0.067
TIC 260795451,6391176735363140480,3.495,0.119
TIC 260795157,6387649914378668160,2.919,0.132
TIC 394125166,6489771832811810432,1.932,0.217
TIC 262818224,6493004500076966144,2.267,0.182
TIC 301232495,2644804409490009600,2.097,0.533
TIC 49644110,2436812303124645504,1.929,0.712
TIC 261643880,6380683992820388480,0.621,0.252
TIC 301329955,2643862402903084544,2.278,0.235
TIC 250080475,2633449134434620288,2.766,0.478
TIC 277890728,6353376831270492800,1.537,0.217
TIC 277913391,6380214844952702848,1.284,0.088
TIC 316781121,2324785228033780608,2.209,0.371
TIC 66437824,2390702771185162112,2.099,0.241
TIC 9005067,2440578577126302336,1.834,0.333
TIC 469936356,6498197630933903872,2.271,0.229
TIC 404224395,6350283492745097728,2.636,0.255
TIC 169303631,2326210435622357120,2.307,0.455
TIC 206361964,6524024506237594368,0.0,0.0
TIC 33949151,2328303768321982080,2.328,0.078
TIC 280793604,6485226795340143488,1.569,0.234
TIC 114806039,2341817487782612480,1.974,0.222
TIC 267083739,4703237305087371392,3.259,0.322
TIC 275786473,5982775854377691136,2.267,1.666
TIC 170788614,4871271406553197184,2.931,0.128
TIC 77340449,4866339822024614656,3.094,0.127
TIC 144516963,4809292588930619520,2.475,0.128
TIC 469821987,6367774180123284736,1.758,0.069
TIC 354619745,1744662586614707072,0.0,0.0
TIC 435911332,3312052249215275904,3.498,0.313
TIC 2288734,6770313530317154560,6.247,0.539
TIC 203365781,6284269226929879936,2.833,0.395
TIC 469697722,4087500657432162688,1.602,0.258
