Unnamed: 0,star_name,gaiadr3,HD,S_cl,logRhk_cl,vsini,e_vsini
83,TIC 327701133,265722999474087424,32537,0.222,,16.4,
84,TIC 219367750,4785713458992582272,32743,0.172,,21.6,
85,TIC 261889817,212816321010824064,33167,0.19,,47.5,
86,TIC 381949122,4763906879239461632,33262,0.272,-4.426,14.8,
87,TIC 142103211,553480551264062848,33564,0.133,-4.979,12.7,
88,TIC 200385493,4810594479418041856,33793,0.333,,6.1,
89,GAIA DR3 3215139851235339904,3215139851235339904,34180,0.221,,58.4,
90,TIC 47346402,3400292798990117888,35296,0.315,-4.38,16.0,
91,TIC 94945758,3009908378049913216,35850,0.499,-4.106,52.6,
92,TIC 32500750,2907306935108521088,37495,0.205,,27.2,
93,TIC 290716988,4795598309045006208,37572,0.763,-4.206,8.7,
94,TIC 140282069,2902205991429301888,37962,0.211,-4.771,5.0,
95,TIC 200093173,3219847066672970368,38529,0.172,-4.997,4.7,
96,TIC 176521059,3023711269067191296,38858,0.165,-4.978,4.2,
97,TIC 32869782,2915523482424724224,38949,0.281,-4.614,6.0,
98,TIC 270577175,4792774797545800832,39060,0.231,,122.0,
99,TIC 317721019,2995725777563537792,40136,0.34,,15.6,
100,TIC 375092757,4792058603158427648,40292,0.198,,38.1,
101,TIC 440518695,961247873083084800,41074,0.229,,87.8,
102,TIC 124279525,2940856402123426176,42581,1.805,,6.4,
103,TIC 124279525,2940856402123426176,42581,1.672,,6.4,
104,TIC 46125330,3374052988354372992,43042,0.157,-4.799,6.0,
105,TIC 437886584,3331979901042416512,43386,0.239,,19.4,
106,TIC 265361101,3317901165746471552,43587,0.151,-5.047,5.2,
107,TIC 265361101,3317901165746471552,43587,0.152,-5.04,3.8,
108,TIC 60175114,2937651222655480832,44573,0.395,,5.1,
109,TIC 238949177,5553647083168192512,44594,0.155,-5.048,4.4,
110,TIC 375034557,5479778765278589568,48189,0.404,-4.275,15.5,
111,TIC 307754027,952326504452337792,48682,0.142,-5.016,5.4,
112,TIC 372480991,3352485999058854912,48737,0.209,,66.1,
113,TIC 282210766,3101923001490347392,50281,0.652,,3.9,
114,TIC 155463738,3353254695121612032,50635,0.285,,152.6,
115,TIC 79215518,2932346628813365504,51199,0.226,,91.7,
116,TIC 63041201,2921519634732224000,51733,0.245,,102.3,
117,TIC 63571394,2920772722738017920,52698,0.422,,4.2,
118,TIC 91686663,887822001246832384,52711,0.148,-5.057,5.4,
119,TIC 167814656,5479222240596469632,53143,0.392,-4.507,4.1,
120,TIC 356426177,974158613492226816,56963,0.249,,77.8,
121,TIC 184842719,866177431955478144,56986,0.256,,129.7,
122,TIC 328324648,976893923544104576,58855,0.151,,8.5,
123,TIC 239137207,892160231749198848,58946,0.249,,59.0,
124,TIC 173673173,5586381090520538880,59967,0.324,-4.44,3.4,
125,TIC 320927564,3136349019790899072,60111,0.212,,117.6,
126,TIC 114021052,5592237639209047424,61005,0.471,-4.324,8.2,
127,TIC 95077078,868237126470925696,61035,0.269,,124.3,
128,TIC 66100263,3057712223051571200,61606,0.58,,5.6,
129,TIC 122983034,3044350064397751808,64235,0.239,,42.6,
130,TIC 150796339,5593584059914156800,64379,0.241,,42.6,
131,TIC 150796339,5593584059914156800,64379,0.241,,42.6,
132,TIC 468954743,3145477818158061056,64685,0.21,,47.6,
133,TIC 80881274,1083498447804179456,65301,0.227,,11.7,
134,TIC 446006789,676768820148924416,67228,0.135,-5.179,5.5,
135,TIC 97255459,681096777089578112,67767,0.164,-5.053,5.6,
136,TIC 308844962,5289757523635492096,68456,0.226,,9.4,
137,TIC 81105604,1035135776021753088,69548,0.216,,53.9,
138,TIC 307624961,5726982995343100928,69830,0.156,-5.091,4.5,
139,TIC 168975758,3066710282611675776,70958,0.258,-4.459,45.5,
140,TIC 393844873,5640565607657897728,72673,0.183,-4.965,4.6,
141,TIC 468986279,594989348593414016,72945,0.131,-5.087,5.7,
142,TIC 443965212,602079652404802688,73667,0.166,-5.048,4.4,
143,TIC 393124350,594641009565720192,73668,0.171,-4.896,4.1,
144,TIC 118486580,5702029029197580160,73752,0.139,-5.202,4.6,
145,TIC 181273463,5528866839863569024,74576,0.7,,5.1,
146,TIC 262587669,581100382135253760,75302,0.26,-4.659,3.8,
147,TIC 114824306,5733507394262989056,75393,0.327,-4.321,26.5,
148,TIC 383518546,5303126622967647488,77370,0.226,,60.4,
149,TIC 86177169,1040054235130174080,79028,0.142,-4.995,6.1,
150,TIC 3296473,5622922534836821120,79940,0.213,,117.2,
151,TIC 303606981,5222956488533801728,80671,0.174,,26.2,
152,TIC 405799481,588904994842564480,81858,0.141,-5.113,5.1,
153,TIC 86336880,1064092789129355136,81937,0.226,,155.3,
154,TIC 77549389,3837697972130323456,81997,0.196,-4.638,29.8,
155,TIC 383188202,3852570413083923072,82106,0.696,,4.1,
156,TIC 358013866,1120062260309755264,82189,0.186,,7.6,
157,TIC 500178562,5426587107149861120,82434,0.277,,156.0,
158,TIC 17142859,813089746389964032,83287,0.197,,102.6,
159,TIC 11310083,5663558453071724288,84117,0.153,-4.94,5.2,
160,TIC 331900366,1049765396704695936,84999,0.195,,124.2,
161,TIC 35055332,5412947081295024896,85512,0.405,-4.589,4.1,
162,TIC 21509804,806628225792165888,86146,0.162,,5.0,
163,TIC 70871696,5459288266585131776,88201,0.301,-4.443,10.1,
164,TIC 71094440,5459060117921483008,88742,0.167,-4.95,4.3,
165,TIC 71094440,5459060117921483008,88742,0.21,-4.751,4.3,
166,TIC 95360514,725398123501434496,89125,0.146,-4.972,5.8,
167,TIC 95431211,624684408880100992,89449,0.177,,14.7,
168,TIC 8154501,804739952015901056,89744,0.126,-5.112,8.8,
169,TIC 453620177,5205029672996886016,90589,0.207,,51.6,
170,TIC 453620177,5205029672996886016,90589,0.214,,51.6,
171,TIC 53550721,5447414606155987200,90712,0.318,-4.391,10.5,
172,TIC 53550721,5447414606155987200,90712,0.323,-4.383,10.5,
173,TIC 416519065,853819947756949120,90839,0.175,-4.761,5.5,
174,TIC 321289619,3762120497774235648,91962,0.303,-4.494,6.1,
175,TIC 169225390,3805647792295621376,92588,0.099,-5.472,1.0,
176,TIC 150268783,829776725129940480,92787,0.216,,58.2,
177,TIC 169248301,3802549437248150656,92788,0.154,-4.892,4.5,
178,TIC 449486081,5229569879178155264,93372,0.186,-4.675,10.6,
179,TIC 53178075,3789271459953459328,96064,0.514,-4.337,5.6,
180,TIC 168381887,3532314252513733888,96202,0.234,,93.4,
181,TIC 437261156,3545469496823737856,98712,2.457,,4.2,
182,TIC 219126357,3546303712614228736,98991,0.212,,17.0,
183,TIC 67445533,3967618155853506304,99285,0.233,,34.4,
184,TIC 334894562,3560331389337914624,99565,0.237,,4.1,
185,TIC 100011351,859479413275804928,100203,0.145,-4.957,6.1,
186,TIC 380543530,3800758057928927872,100563,0.178,-4.795,12.7,
187,TIC 57611256,3478127463341507072,100623,0.188,-4.954,4.0,
188,TIC 57611256,3478127463341507072,100623,0.191,-4.944,4.0,
189,TIC 393860634,772751550983964928,101107,0.253,,93.9,
190,TIC 397362481,5378886891123024512,101581,0.512,,5.0,
191,TIC 454082369,5381537023379295232,102365,0.16,-5.031,0.5,
192,TIC 366661076,3796442680948579328,102870,0.148,-4.997,4.3,
193,TIC 99302268,4026742744370003712,103928,0.239,,79.0,
194,TIC 403802333,3487062064765702272,103932,0.552,,4.4,
195,TIC 152738837,3575733210781078016,104304,0.162,-5.058,4.5,
196,TIC 405148007,6148648281576023424,104731,0.157,,11.0,
197,TIC 421189312,3489338019475637760,105452,0.214,,25.0,
198,TIC 160268882,1693272581363394304,106112,0.285,,64.1,
199,TIC 154841835,1728674141358771840,107192,0.234,,68.1,
200,TIC 297138738,3528362362908431616,108799,0.315,-4.416,7.0,
201,TIC 1629931,3528092265300901760,109141,0.259,,135.8,
202,TIC 60709182,3496266901235127808,109799,0.216,,34.0,
203,TIC 51735845,3683687763520080384,110379,0.244,,27.0,
204,TIC 51735845,3683687763520080384,110379,0.256,,25.5,
205,TIC 142277151,1579858609793019264,111456,0.368,,42.2,
206,TIC 142319244,1677302170674242560,112429,0.268,,119.6,
207,TIC 347364053,3943394845252502144,113848,0.198,,26.0,
208,TIC 138128530,3937881211045638400,114378,0.236,-4.497,19.6,
209,TIC 308210818,3511640513332581504,114642,0.159,,11.8,
210,TIC 255854921,6062166950467100032,114837,0.138,-4.979,8.8,
211,TIC 397587084,3732539683617410816,115383,0.289,-4.497,4.5,
212,TIC 422478973,3507879565090229888,115617,0.151,-5.103,0.4,
213,TIC 114960770,3635080656558301184,116568,0.207,,37.0,
214,TIC 95473936,3740176925743994752,117176,0.136,-5.224,5.0,
215,TIC 394947052,5789459823019926656,117360,0.137,,4.0,
216,TIC 379098932,3724709133602630528,119288,0.174,,20.0,
217,TIC 30068122,6171375049483037696,119756,0.236,,63.9,
218,TIC 72506701,1244571953471006720,120136,0.189,-4.688,14.9,
219,TIC 437325588,6288325222245417856,120467,0.588,,4.7,
220,TIC 1000275770,1244946371540479616,121370,0.125,,11.8,
221,TIC 208844024,5872266689455300608,121504,0.185,-4.916,5.3,
222,TIC 418010485,1257529526205454336,123999,0.125,-5.127,17.0,
223,TIC 420752443,3666334755614176512,124115,0.181,-4.686,28.3,
224,TIC 6029884,3640828731549972480,124850,0.199,-4.671,15.5,
225,TIC 6029884,3640828731549972480,124850,0.187,-4.719,15.0,
226,TIC 413356994,5866992641380992256,125072,0.323,,4.4,
227,TIC 242530449,6096357329629838976,125442,0.208,,148.0,
228,TIC 86433449,1226844321337777536,125451,0.22,,40.5,
229,TIC 441709021,1604859511344724864,126660,0.309,-4.33,29.2,
230,TIC 166178883,1667027548045598208,127821,0.24,,55.6,
231,TIC 157966796,1284257623084916480,128167,0.228,,7.7,
232,TIC 185284200,6337717036911729024,129502,0.219,,47.0,
