star_name,gaiadr3,vsini,e_vsini
TIC 273737963,6351373899042868480,49,
TIC 111750833,2404579570000684544,81,
TIC 245368902,2832463659640297472,49,
TIC 252756054,1990723839987250176,63,
TIC 243107445,2840673506807375360,149,
TIC 434111018,2419964589531462784,105,
TIC 419936581,2646511813609323008,70,
TIC 92136299,2419885149815948416,148,
TIC 66533627,2391133607944627712,70,
TIC 33982930,2328250059757795072,299,
TIC 280793949,6485789573494536832,187,
TIC 405267424,2746883550050748288,55,
