star_name,gaiadr3,logRHK,S_Value,vsini,age,e_vsini
TIC 202364222,3975266461816068864,-4.52,0.39,3.3,5.5,0.5
TIC 289513804,3600638179941831936,-5.0,0.17,1.5,8.1,0.5
TIC 142962481,1681330368961561984,-4.36,0.37,15.0,1.4,0.5
TIC 141249539,1568731380323069696,-4.89,0.18,2.2,3.4,0.5
TIC 72814920,6133033601555979648,-5.17,0.14,2.5,5.4,0.5
TIC 359117310,4011052713441556864,-4.88,0.21,1.9,9.9,0.5
TIC 99381773,1571411233756646656,-4.61,0.44,2.1,8.5,0.5
TIC 5081539,1515243640027361024,-4.73,0.27,0.2,11.7,0.5
TIC 157871565,1568219729458240128,-4.82,0.27,1.5,8.5,0.5
TIC 389853353,1521686782461765888,-4.98,0.16,0.1,7.5,0.5
TIC 319462683,3626268998574790656,-5.15,0.14,0.1,13.1,0.5
TIC 373765355,3936909723803146368,-4.52,0.49,2.8,10.2,0.5
TIC 159190692,1565867461768654208,-4.36,0.5,5.8,3.3,0.5
TIC 171774303,1227659299972032128,-4.94,0.18,1.3,3.4,0.5
TIC 181946967,3649422995468596480,-4.47,0.34,15.2,2.1,0.5
TIC 335661520,1721626615421969408,-4.74,0.24,2.1,5.9,0.5
TIC 311180437,1237090738916392704,-4.35,0.44,4.4,6.6,0.5
TIC 311182515,1265702917689682944,-4.86,0.25,0.1,10.8,0.5
TIC 309765388,1592338513445876608,-5.15,0.14,7.4,2.8,0.5
TIC 351299924,1212955599693310848,-4.94,0.17,0.9,9.8,0.5
TIC 462587845,1212738995903148544,-4.79,0.25,1.9,7.8,0.5
TIC 357500361,1270321278844517888,-5.05,0.16,0.9,11.6,0.5
TIC 461297684,4421455530273900032,-5.28,0.13,1.3,3.9,0.5
TIC 156067565,1398218223733415552,-5.02,0.16,2.5,7.1,0.5
TIC 272595871,4422809716282811776,-4.44,0.43,3.5,4.4,0.5
TIC 334753043,1372702716380418688,-5.31,0.12,1.7,3.0,0.5
TIC 310137822,1597204161635741952,-4.65,0.31,1.0,7.0,0.5
TIC 236316949,1219254942328596736,-5.03,0.16,1.2,12.1,0.5
TIC 24108307,1379416712336909440,-4.71,0.36,1.2,10.3,0.5
TIC 219485088,1398997262081156352,-4.82,0.2,0.6,5.4,0.5
TIC 119985828,4464207428579939840,-4.97,0.17,1.6,13.8,0.5
TIC 458721081,1201133066557201920,-1.81,540.0,0.2,9.5,0.5
TIC 149732624,4466944284819435776,-4.94,0.18,0.9,4.5,0.5
TIC 72034540,4358441419374546304,-4.45,0.53,2.7,7.6,0.5
TIC 159511543,1709456705329541504,-4.44,0.32,3.2,1.1,0.5
TIC 74218395,4130605425932372992,-4.96,0.17,0.8,9.1,0.5
TIC 115582977,1408029436569383296,-4.57,0.54,2.5,6.4,0.5
TIC 257401445,4571935477627652736,-5.07,0.16,1.6,9.6,0.5
TIC 232606278,1631084478574318976,-4.98,0.17,1.8,7.3,0.5
TIC 351654581,4548462729742343296,-4.95,0.21,0.2,11.1,0.5
TIC 75673519,4122343906051101184,-5.08,0.15,4.3,3.8,0.5
TIC 270258076,1362295082910131200,-4.98,0.17,0.7,13.0,0.5
TIC 270362674,1362034429935121280,-5.33,0.19,2.1,12.6,0.5
TIC 219792161,1440964624481230464,-4.48,0.54,2.4,4.9,0.5
TIC 441804568,1651268660203160448,-5.12,0.14,9.6,2.6,0.5
TIC 441804565,1651268763282397312,-5.07,0.14,7.3,1.8,0.5
TIC 363766517,4556066746008265344,-5.09,0.15,0.1,12.5,0.5
TIC 363859338,4552227182675443584,-4.5,0.36,4.5,3.9,0.5
TIC 275063206,4576863905365412736,-4.54,0.49,3.3,7.1,0.5
TIC 399375614,4474963057485435520,-5.03,0.16,1.4,4.0,0.5
TIC 1674663309,4468557611984384512,-4.59,0.34,2.6,,0.5
TIC 399244384,4471087175915086080,-4.66,0.23,0.1,1.9,0.5
TIC 233121747,2161275788716592256,-5.12,0.14,3.8,2.7,0.5
TIC 23228849,4592816852706649984,-4.49,0.37,4.5,2.9,0.5
TIC 25933136,4478524169500496000,-4.88,0.19,0.5,9.7,0.5
TIC 228217280,4048636941542753152,-4.58,0.31,1.9,7.6,0.5
TIC 68340481,2090051761936884864,-4.82,0.24,0.1,9.3,0.5
TIC 350166984,4533301804432654976,-4.2,0.92,14.4,3.9,0.5
TIC 353953453,4507727026545686400,-5.01,0.16,1.1,7.7,0.5
TIC 284359245,2143016302194287488,-4.54,0.35,2.5,2.5,0.5
TIC 258958225,2264255532377744512,-5.09,0.15,1.9,9.6,0.5
TIC 394172596,2101486923385239808,-4.89,0.2,0.2,12.5,0.5
TIC 359322196,2019164662448947200,-5.04,0.16,1.3,7.2,0.5
TIC 112995114,6746284390882038656,-4.47,0.31,5.4,1.0,0.5
TIC 275633056,2142179058450057856,-4.9,0.18,0.3,2.5,0.5
TIC 270858200,2078403295235690112,-5.03,0.18,1.7,1.7,0.5
TIC 271047371,2078276439080325888,-4.82,0.23,1.1,7.5,0.5
TIC 271668882,2078105327586616704,-4.91,0.19,0.1,,0.5
TIC 58445695,2035035223783462400,-5.16,0.13,8.8,3.7,0.5
TIC 256364928,1827242816201846144,-4.51,0.5,3.4,6.4,0.5
TIC 345571990,4237555510387302400,-4.85,0.19,1.5,11.5,0.5
TIC 210119810,1818697205647102720,-4.73,0.22,1.6,2.3,0.5
TIC 375008312,1747786539668366848,-4.94,0.23,0.2,8.5,0.5
TIC 330872058,1814241194252808704,-4.91,0.17,0.1,3.4,0.5
TIC 29495621,6802426038708609536,-4.5,0.28,13.8,1.4,0.5
TIC 387953412,2270771375724754816,-4.97,0.17,0.5,10.8,0.5
TIC 136762118,2164004914017788032,-4.96,0.17,1.1,6.2,0.5
TIC 25559430,1846882224145757056,-4.3,0.51,6.8,4.6,0.5
TIC 269195307,2674356292747571200,-5.02,0.17,0.6,11.2,0.5
TIC 441120034,6810896745007524736,-4.59,0.26,2.3,0.9,0.5
TIC 264678534,2300641567596591488,-4.86,0.22,0.4,8.9,0.5
