star_name,gaiadr3,logRHK,S_Value,vsini,age,e_vsini
TIC 23969522,821455861647126656,-5.09,0.15,2.2,5.3,0.5
TIC 453445590,826522617385730304,-4.46,0.36,6.2,1.7,0.5
TIC 172954294,746545172372256384,-5.09,0.15,2.4,4.9,0.5
TIC 26073633,3766401961693098368,-4.42,0.55,3.4,8.1,0.5
TIC 407590949,747090839376823552,-5.05,0.15,2.9,5.7,0.5
TIC 407591082,747266452000257280,-4.84,0.28,1.3,9.8,0.5
TIC 39777146,806000816970521728,,0.03,0.1,4.7,0.5
TIC 193032655,5461620846141553024,-4.98,0.16,0.1,5.8,0.5
TIC 36954567,3775795982881589376,-4.99,0.17,1.6,5.9,0.5
TIC 277895096,3855524182352238336,-4.34,0.37,8.9,1.1,0.5
TIC 169248301,3802549437248150656,-5.02,0.16,2.1,4.7,0.5
TIC 188043641,5455707157211784832,-4.33,0.63,5.4,5.7,0.5
TIC 150276644,829777377964973952,-4.38,0.35,11.3,1.4,0.5
TIC 21535479,777254360337133312,-4.99,0.16,1.8,5.2,0.5
TIC 82285488,3996290700391101952,-4.33,0.49,5.0,2.7,0.5
TIC 23270430,5452492082132835840,-4.87,0.18,0.1,7.1,0.5
TIC 20416870,3532823773073745536,-5.04,0.16,1.3,11.0,0.5
TIC 85335212,761919883981626752,-4.46,0.32,5.9,1.0,0.5
TIC 82308728,3997075206232885888,-4.97,0.18,0.1,9.3,0.5
TIC 38086286,3786697056556771584,-4.95,0.17,0.6,8.1,0.5
TIC 437256139,3545597177611374848,-4.79,0.2,0.1,5.2,0.5
TIC 363549733,3812355328621651328,-4.86,0.2,2.2,4.6,0.5
TIC 219030951,3966121308211393920,-4.93,0.17,1.7,2.0,0.5
TIC 57611256,3478127463341507072,-4.9,0.2,0.3,11.5,0.5
TIC 185260035,3591819100253606784,-4.44,0.31,3.3,0.7,0.5
TIC 101641846,4025850731201819392,-4.54,0.31,2.2,3.5,0.5
TIC 32636439,3480588449539357184,-4.85,0.18,2.8,2.6,0.5
TIC 32636530,3480395137355028480,-4.77,0.24,1.6,7.9,0.5
TIC 454082369,5381537023379295232,-4.92,0.17,0.1,8.0,0.5
TIC 152738837,3575733210781078016,-5.05,0.16,1.9,6.6,0.5
TIC 21623610,1536064958579187840,-4.63,0.3,2.4,3.3,0.5
TIC 72408098,3946438125929224320,-4.22,0.48,4.9,1.3,0.5
TIC 66666079,3693358861640279296,-5.03,0.16,1.3,4.0,0.5
TIC 458445966,1534011998572555776,,0.02,0.1,5.6,0.5
TIC 51739133,3681795018676501120,-5.04,0.15,1.9,5.2,0.5
TIC 288529330,3529518709839090176,-5.08,0.15,1.9,5.2,0.5
TIC 160010717,3957887649746830976,-4.66,0.25,2.9,2.4,0.5
TIC 320211956,1527631807474248448,-4.93,0.22,0.5,10.9,0.5
TIC 381726125,3729017810434416128,-4.87,0.19,1.6,5.1,0.5
TIC 30293512,6141742283401003264,-5.08,0.15,1.9,5.0,0.5
TIC 292113181,3684934540986187776,-5.0,0.19,0.7,7.9,0.5
TIC 422478973,3507879565090229888,-4.97,0.17,0.8,7.1,0.5
TIC 393713800,3712538708114516736,-5.13,0.14,0.1,10.0,0.5
TIC 393713801,3712538811193759744,-5.03,0.17,0.1,11.2,0.5
TIC 95473936,3740176925743994752,-5.12,0.14,0.1,7.8,0.5
TIC 405501056,6166183842771027328,-5.03,0.16,1.9,6.8,0.5
TIC 367758219,1249969937088029056,-4.61,0.27,0.9,4.1,0.5
TIC 457880598,3724242219117947904,-5.08,0.15,1.8,7.8,0.5
TIC 308311310,6303961686341504512,-4.58,0.37,1.5,8.8,0.5
TIC 147718994,3646061719703116032,-5.03,0.16,0.1,8.6,0.5
TIC 203230367,3642413746280598784,-4.96,0.19,0.3,11.3,0.5
TIC 446436963,3654496279558010624,-4.96,0.17,0.1,6.5,0.5
TIC 27525457,1491593733326694912,,0.04,1.6,6.4,0.5
TIC 349606708,1176209886733406592,-4.49,0.59,3.6,6.5,0.5
TIC 159613900,1668690628102524672,-4.03,0.7,17.4,6.0,0.5
TIC 345291554,1237374997031931392,-4.93,0.17,0.3,5.1,0.5
TIC 368804760,3655492127855307136,-4.71,0.31,1.6,9.3,0.5
TIC 189694184,3650718804281798912,-4.64,0.29,1.8,4.9,0.5
TIC 198304072,1265976524286377856,-4.56,0.26,6.0,0.9,0.5
TIC 129383,6229442835525861120,-4.75,0.41,0.7,10.2,0.5
TIC 267365256,1236929488664453376,-4.46,0.44,4.4,5.6,0.5
TIC 161058448,1606148310770764288,-4.95,0.18,0.4,12.5,0.5
TIC 440875191,6224299285781594624,-4.47,0.3,9.2,1.0,0.5
TIC 441003396,6224560144909475840,-4.4,0.34,9.7,1.1,0.5
TIC 202426247,1620024491110370688,-4.27,0.48,10.7,1.2,0.5
TIC 351354256,1212385193677160832,-5.07,0.15,1.9,7.3,0.5
TIC 61397572,6226694571859532800,-5.08,0.15,2.3,5.7,0.5
TIC 461272840,4419140645978987904,-4.54,0.38,3.7,5.5,0.5
TIC 136916387,5902750168276592256,-4.93,0.17,0.1,8.8,0.5
TIC 400015692,1170797781264303616,-5.02,0.16,0.1,7.7,0.5
TIC 116385975,1391009653702531072,-4.79,0.2,1.7,4.0,0.5
TIC 37149743,6317854118838346752,-4.45,0.49,1.9,3.6,0.5
TIC 159331748,1720995598827436928,-4.38,0.48,5.8,4.6,0.5
TIC 148817611,1389522392427772288,,0.02,1.2,9.5,0.5
TIC 283889641,1224551770875466496,-4.49,0.3,8.0,0.6,0.5
TIC 296740796,4430238051199001216,-4.97,0.16,2.0,4.8,0.5
TIC 437430894,6248534171318085376,-4.76,0.21,1.7,1.6,0.5
TIC 172607904,1191518146611956096,-4.93,0.17,0.1,7.5,0.5
TIC 272814606,4426054581256895104,-4.41,0.35,4.9,0.7,0.5
TIC 458494003,1323427759184545536,-5.06,0.15,0.1,8.4,0.5
TIC 410994457,4341501106288171008,-5.07,0.15,1.7,4.2,0.5
TIC 291067698,4456798781792997888,-4.47,0.31,3.4,1.7,0.5
TIC 219483057,1385293808145621504,-5.05,0.16,2.0,8.4,0.5
TIC 119985831,4464207428577214464,-4.94,0.18,1.7,14.7,0.5
TIC 135656809,4345775217221821312,-5.03,0.16,1.5,3.3,0.5
TIC 281738302,4383374219923745024,-4.87,0.21,1.8,7.3,0.5
TIC 230123572,1648568843759668480,-5.02,0.16,0.9,11.8,0.5
TIC 326927305,4381250547575102208,-4.49,0.35,3.8,4.6,0.5
TIC 157865215,4377537462448122112,-4.34,0.38,17.1,1.4,0.5
TIC 181938424,4339941101147274496,-4.58,0.27,0.1,2.1,0.5
TIC 198562505,1359938520253565952,-4.76,0.22,1.2,7.0,0.5
TIC 9728611,1333760419707327744,-5.0,0.16,0.1,8.0,0.5
TIC 59476871,4367026303085396352,-4.97,0.17,0.1,4.7,0.5
TIC 157921708,5975810379449715968,-4.92,0.17,0.1,4.5,0.5
TIC 219880402,1637110042813188608,-4.97,0.17,0.1,10.9,0.5
TIC 39464221,1335880415564253312,-4.91,0.17,1.0,1.6,0.5
TIC 441801208,1651469733391948288,-4.81,0.21,1.7,3.9,0.5
TIC 460067868,4594497769766809216,-5.08,0.15,0.1,7.4,0.5
TIC 8147643,4171518910746338560,-5.06,0.15,0.1,6.4,0.5
TIC 158917706,4584639307993378432,-4.96,0.16,0.1,5.8,0.5
TIC 159019691,4582680493669880704,-5.05,0.16,0.1,10.6,0.5
TIC 75946144,4610177733290768896,-5.03,0.17,0.1,12.4,0.5
TIC 416117806,2115351387048328832,-5.02,0.16,1.9,5.4,0.5
TIC 379558372,4052127925286198400,-4.83,0.18,3.4,3.9,0.5
TIC 16465196,4157584215800708736,-5.1,0.15,2.4,9.8,0.5
TIC 18097734,4153637759337630720,-5.03,0.16,0.1,10.3,0.5
TIC 53134037,4048037707717866880,-5.11,0.14,0.1,2.8,0.5
TIC 186271747,4093301474693288960,-4.67,0.31,1.4,9.8,0.5
TIC 1544160,4079684229322231040,-4.95,0.17,0.1,4.6,0.5
TIC 123234496,2117279002732678656,-4.89,0.2,2.2,5.9,0.5
TIC 282038438,4530744134231683840,-5.03,0.15,16.3,1.1,0.5
TIC 20785413,2041085973668754176,-4.87,0.18,0.9,2.3,0.5
TIC 42812945,2044341077844180736,-4.86,0.19,2.2,4.3,0.5
TIC 298896136,2132788541955849216,-4.91,0.18,0.1,7.9,0.5
TIC 2288734,6770313530317154560,-4.63,0.23,6.1,1.3,0.5
TIC 3409107,4201307051566729984,-5.11,0.15,1.8,10.8,0.5
TIC 394547839,2046207670631964928,,0.13,0.9,7.5,0.5
TIC 359981217,4315804351350378496,-5.0,0.17,1.3,6.6,0.5
TIC 259237827,2261614264931057664,-4.82,0.22,0.5,8.8,0.5
TIC 27533341,2135550755683405952,-5.06,0.15,2.3,5.9,0.5
TIC 27533327,2135550755683407232,-5.05,0.15,1.6,5.6,0.5
TIC 58559140,2047452661412980736,-5.02,0.16,1.4,5.4,0.5
TIC 281360699,4303735493232528640,-5.01,0.16,0.1,8.8,0.5
TIC 281446108,4298143102210310272,-4.54,0.29,3.9,2.1,0.5
TIC 375621179,4296708789290712064,-5.18,0.14,0.1,4.4,0.5
TIC 418189606,1807953155988203264,-4.95,0.17,0.1,7.0,0.5
TIC 105999792,2029433521248546304,-5.12,0.14,2.1,8.2,0.5
TIC 287947139,1833199729671740800,-5.03,0.16,0.1,13.1,0.5
TIC 275240386,1821708351374312064,-4.83,0.19,2.3,1.8,0.5
TIC 87216634,1809360187275432832,-5.04,0.16,0.8,12.5,0.5
TIC 243962745,4224259562941398400,-4.52,0.5,2.1,6.6,0.5
TIC 326096771,6847167606385195648,-4.99,0.18,1.2,10.6,0.5
TIC 210171104,1815418118373631360,-5.0,0.16,2.0,7.6,0.5
TIC 205591703,6904703228801028864,-5.16,0.14,1.2,7.4,0.5
TIC 375001160,1754663916181432704,-4.95,0.18,1.4,9.7,0.5
TIC 282257777,1754430373040023168,-5.07,0.15,6.8,1.8,0.5
TIC 188401533,6854626246593473792,-4.93,0.18,0.1,5.1,0.5
TIC 387526927,2274943403875614976,-4.32,0.51,6.4,2.6,0.5
TIC 364182010,2277839861099828480,-4.94,0.17,1.7,10.2,0.5
TIC 23959521,6889877723248418816,-5.02,0.16,2.1,4.7,0.5
TIC 248854510,6912276699251278848,-4.98,0.16,2.6,4.0,0.5
TIC 283712633,1736965554247359232,-4.62,0.26,2.9,3.0,0.5
TIC 289952026,6787883382523590400,-4.47,0.34,4.9,1.4,0.5
TIC 388996956,1743592452563243136,-4.42,0.8,3.3,8.9,0.5
TIC 79403675,6463782435948431616,-3.97,0.88,14.7,1.8,0.5
TIC 268215639,1784061008815679232,-4.45,0.3,2.6,1.0,0.5
TIC 248039969,1801257095797922048,-5.09,0.14,0.9,3.0,0.5
TIC 248046660,1800378139330660992,-4.55,0.3,1.6,3.0,0.5
TIC 399897311,1898230241798771584,-4.8,0.27,1.2,7.5,0.5
TIC 331542393,1962726975409359872,-4.44,0.36,4.2,2.1,0.5
TIC 80080066,6612887104710588928,-4.36,0.35,16.1,0.8,0.5
TIC 420814525,1779546757669063552,-4.97,0.16,3.3,2.5,0.5
TIC 50227884,2619706544757416192,-5.07,0.15,0.1,9.6,0.5
TIC 97402436,6612242034982766848,-4.97,0.16,13.6,1.8,0.5
TIC 415868365,2723309333554727936,-4.74,0.22,0.9,3.8,0.5
TIC 200215494,1982946891164168576,-5.06,0.15,0.1,4.2,0.5
TIC 67069964,1990119967591008384,-4.78,0.2,1.2,1.6,0.5
TIC 60781630,2720132500864789760,-4.97,0.18,0.1,11.3,0.5
TIC 139298196,2835207319109249920,-5.06,0.15,2.0,4.7,0.5
TIC 38271828,2648914040357320576,-5.09,0.15,1.4,6.8,0.5
TIC 257428010,2714977131360438272,-4.99,0.16,1.9,2.4,0.5
TIC 455819325,1935133906477014016,-4.89,0.19,2.2,6.3,0.5
TIC 431698314,1909581805999126784,-4.85,0.23,0.8,7.0,0.5
TIC 214664575,2411855072801159040,-4.91,0.19,1.2,5.2,0.5
TIC 49644110,2436812303124645504,-4.86,0.23,1.4,10.4,0.5
TIC 444314028,2011251030583236352,-5.07,0.16,0.1,10.8,0.5
TIC 250080475,2633449134434620288,-4.99,0.16,1.0,5.3,0.5
TIC 9005067,2440578577126302336,-4.95,0.17,0.5,5.4,0.5
TIC 419939011,2642917402722969856,-4.42,0.46,2.9,5.4,0.5
TIC 422724148,2742734268045411328,-5.07,0.15,1.6,6.0,0.5
TIC 403021108,2765462891378117504,-4.84,0.24,1.6,4.1,0.5
TIC 191204685,381634580422627584,-4.99,0.18,1.2,9.7,0.5
TIC 275260654,539239848459770624,-5.1,0.15,2.7,7.0,0.5
TIC 468353889,563920276727925376,-4.66,0.28,2.7,7.6,0.5
TIC 459427073,4423865487962417024,-4.89,0.18,1.2,2.7,0.5
TIC 381270241,2790914111658905216,-4.92,0.18,1.1,9.1,0.5
TIC 252191219,411413822074322432,-4.81,0.22,0.1,,0.5
TIC 123234496,2117279002732678656,-5.02,0.16,2.5,,0.5
TIC 120495825,2103877089862772352,-5.17,0.14,3.2,,0.5
TIC 271668882,2078105327586616704,-4.96,0.18,1.2,,0.5
TIC 61128703,310361075612875392,-4.49,0.51,2.0,6.2,0.5
TIC 32550429,2456361448068627712,-5.02,0.18,1.8,10.1,0.5
TIC 186530059,323570058554178688,-4.72,0.25,1.1,5.6,0.5
TIC 456861826,2786053067672564736,-5.03,0.18,2.1,11.8,0.5
TIC 248957280,2534009921293834240,-5.0,0.17,0.1,6.0,0.5
TIC 29900813,2477815222028038272,-4.44,0.43,2.1,4.4,0.5
TIC 444719849,513099096957522304,-4.89,0.19,1.4,5.0,0.5
TIC 430313173,2589332879637571328,-4.48,0.5,2.7,11.3,0.5
TIC 327507922,348515297330773120,-5.17,0.14,2.2,4.3,0.5
