star_name,gaiadr3,vsini,l_vsini
TIC 238432056,2860924621205256704,8.07,False
TIC 289673491,2416611663182821120,4.88,False
TIC 184281898,2423493369021649920,9.94,False
TIC 257393898,2552925644460225152,4.78,False
TIC 24250831,2473055951588089088,3.21,True
TIC 332678520,413391568618906880,3.21,True
TIC 55857787,5038817840251308288,4.88,False
TIC 398018469,532057254394731776,3.27,False
TIC 113710966,96331172942614528,5.98,False
TIC 266680951,5134635708766250752,3.21,True
TIC 284013790,304991163902854784,3.87,False
TIC 268804174,5124636303346779008,3.21,True
TIC 279342892,5119953517683718400,4.22,False
TIC 64008136,5130446359011574528,5.3,False
TIC 64070385,5125414998097353600,10.85,False
TIC 278962915,19316224572460416,6.45,False
TIC 30016911,5160075762132996992,9.96,False
TIC 387609654,8479094371605632,8.86,False
TIC 34691643,115311458058061440,4.08,False
TIC 279069526,3261878613062758144,3.2,False
TIC 651667585,5101578445000656128,3.85,True
TIC 121078878,5087043657197267200,16.25,False
TIC 103068804,551050046451136256,8.41,False
TIC 9150015,3256786534197166208,20.24,False
TIC 15736408,53112944270520832,5.52,False
TIC 353257675,225668203191521280,20.81,False
TIC 102718782,493935296471302784,6.26,False
TIC 408190069,2981583790287411200,4.38,False
TIC 426400173,3456337827237371264,4.0,False
TIC 176521059,3023711269067191296,2.61,False
TIC 317721019,2995725777563537792,16.99,False
TIC 124494439,2913411183149615744,9.63,False
TIC 46125330,3374052988354372992,5.67,False
TIC 437886584,3331979901042416512,20.92,False
TIC 265361101,3317901165746471552,2.98,False
TIC 141523112,1141280704422528128,6.63,False
TIC 147261632,2949560479775040256,7.97,False
TIC 125409404,3052753116376444800,6.72,False
TIC 239137106,892215482207937152,7.38,False
TIC 239137207,892160231749198848,42.32,False
TIC 7131321,3054448838181163520,8.76,False
TIC 280313260,3135225421986581504,,False
TIC 66100263,3057712223051571200,7.31,False
TIC 289971775,1139252071109797760,4.27,False
TIC 422142487,5725122999630404096,11.26,False
TIC 27679101,650337664425397632,4.38,False
TIC 121286109,3073562610873679872,6.34,False
TIC 62569281,5760701787150565888,3.66,False
TIC 355127594,714116137767540096,5.86,False
TIC 219709102,1068982214258617216,7.55,False
TIC 86177169,1040054235130174080,5.59,False
TIC 77549389,3837697972130323456,30.56,False
TIC 383188202,3852570413083923072,8.39,False
TIC 46907042,5739942011185493888,30.42,False
TIC 172533278,646255212109355136,10.57,False
TIC 11310083,5663558453071724288,7.08,False
TIC 23969522,821455861647126656,3.97,False
TIC 275249970,3847128380281953664,1.9,True
TIC 26073633,3766401961693098368,8.22,False
TIC 407591082,747266452000257280,3.67,False
TIC 371520835,823773494718931968,3.21,True
TIC 77612635,3828238392559860992,,False
