,star_name,TSS_tier,ra,dec,Teff,sy_dist,Vmag,Ksmag,Age,vsini_adopt,e_vsini_adopt,r_vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,RHK_calculated_pyastro,prot_adopt,r_prot_adopt,tau_cranmer11,act_cycle_adopt,phot_jitter_adopt
6938,TIC 159527171,3,190.88863512458,60.01464027169,5014.68,44.90682601928711,9.37,7.288,12.387,,nan,nan,,,,,8.2123,2026arXiv260305586B,23.639358285961976,,7564.0
6939,TIC 160007278,3,190.90023802435,25.10609151782,3372.0,22.4387264251709,12.944,8.129,,,nan,nan,,,,,4.693632,2023ApJS..268....4F,55.87746518169492,,619.548271
6940,TIC 144511638,3,190.92801582367,-37.70814429576,5607.0,27.720481872558594,7.52,5.875,2.376,2.123,0.202,2018A&A...615A..76S,0.169,-4.85,-4.897280920884422,-4.974900139810612,,nan,15.439100032937295,,
6941,TIC 131196520,3,190.96784358449,-32.05139475975,5119.7,47.326045989990234,9.51,7.375,,0.0,1.1,2007A&A...475..519H,,,,,,nan,22.21002393016167,,
6942,TIC 5081539,3,190.97635493353,34.34368166328,5198.0,32.874,8.72,6.799,,0.2,0.5,2016ApJS..225...32B,0.2472999999999999,-4.73,-4.775770597746732,-4.819399821703203,,nan,21.152997590547393,,
6943,TIC 157871565,2,191.06060916068,51.75930578879,5063.0,14.5056734085083,7.027,4.78,9.56,1.5,0.5,2016ApJS..225...32B,0.3135,-4.82,-4.691337148635699,-4.771053003705444,11.337802,2023ApJS..268....4F,22.979207677293484,,383.447804
6944,TIC 51778364,3,191.09332570769,-3.00185537719,4576.8,46.145145416259766,10.42,7.776,,,nan,nan,,,,,14.866,2026arXiv260305586B,30.038659816695407,,1490.0
6945,TIC 150325112,3,191.12077436572,58.69092897461,5775.0,45.13340377807617,8.01,6.477,9.347,5.3,nan,2017AJ....153...21L-San,,,,,4.104792,2023ApJS..268....4F,12.826623251720926,,102.053403
6946,TIC 5082121,3,191.15411254778,33.34562297095,3824.0,44.342620849609375,14.512,8.643,,,nan,nan,,,,,19.9245,2026arXiv260305586B,44.32474289339946,,1721.0
6947,TIC 73486233,3,191.15653428062,-41.92725918523,3840.34,28.44081115722656,11.7,7.666,,,nan,nan,,,,,,nan,43.954858157098826,,
6948,TIC 389853353,1,191.24752111167,39.27891619738,5889.0,17.54538345336914,5.95,4.465,3.735,8.11,nan,2010A&A...520A..79M-FOCES,0.159456521739,-4.845,-4.866924631271254,-4.920103684606923,,nan,10.930007000187427,,
6949,TIC 419575434,3,191.31005472708,-57.35800107324,5005.0,19.7755126953125,7.843,5.608,,,nan,nan,,-4.4,,,9.350320270754926,2023A%26A...674A..20D,23.772262266867234,,975386.9537375096
6950,TIC 460680010,3,191.4085424623,-60.98132045307,4824.0,38.214229583740234,4.686,2.169,,,nan,nan,,,,,1.511753,2023ApJS..268....4F,26.314052873757362,,100.21919
6951,TIC 131235329,3,191.41581664513,-31.4832280889,3621.0,34.226806640625,12.353,8.154,,,nan,nan,,,,,6.371615,2023ApJS..268....4F,49.18546481829106,,298.89163
6952,TIC 163946606,3,191.42756954839,-50.17987095741,6397.8,48.49018859863281,7.12,5.957,2.794,9.0,1.1,2007A&A...475..519H,,,,,,nan,2.5887286140155954,,
6953,TIC 288528647,3,191.50488774497,-9.31341312685,5899.0,48.65845489501953,8.05,6.508,11.101,3.0,1.1,2007A&A...475..519H,,,,,10.194921,2023ApJS..268....4F,10.759251773924202,,97.289553
6954,TIC 390646625,3,191.59393799592,9.53968518449,4782.0,43.64730072021485,5.653,3.442,,,nan,nan,,,,,3.411384,2023ApJS..268....4F,26.923210966745415,,164.25309
6955,TIC 419848241,3,191.60844455658,-57.95044558869,4539.12,31.54193687438965,8.843,6.073,,,nan,nan,,,,,5.9132,2026arXiv260305586B,30.639474914867098,,13332.0
6956,TIC 288529330,3,191.62850932631,-11.81244139847,5786.0,31.1866397857666,6.87,5.325,13.094,1.728,0.273,2018A&A...615A..76S,0.1369,-5.08,-5.038302459215356,-5.213498971933183,,nan,12.647908059286559,13.72,
6957,TIC 199459496,3,191.63624655866,24.1450484074,6123.0,43.52436065673828,6.834,5.534,4.432,0.59,0.98,2020ApJ...898..119R,0.15825,-5.0,-4.820769583619412,-4.9791435330852325,,nan,6.844249515342728,,
6958,TIC 389871406,3,191.65668092768,36.53719293959,4108.55,38.65739059448242,11.419,8.068,,,nan,nan,,,,,,nan,38.29934556659748,,
6959,GAIA DR3 3509843219842074240,3,191.7489756,-19.0416069,3600.0,38.31722259521485,12.385,7.813,,,nan,nan,,,,,,nan,49.71757696759913,,
6960,TIC 207341229,3,191.75413874073,46.62593641721,3486.0,20.179773330688477,11.785,7.223,,,nan,nan,,,,,6.6945,2026arXiv260305586B,52.70784725611786,,2237.0
6961,TIC 349552500,3,191.79074329961,-3.57159227385,3413.0,20.81027030944824,12.597,7.886,,,nan,nan,,,,,18.6296,2026arXiv260305586B,54.716185748985204,,1628.0
6962,TIC 437320683,3,191.791798713,-22.37696694828,3501.0,23.251895904541016,12.286,7.835,,,nan,nan,,,,,,nan,52.30437345503141,,
6963,TIC 329316212,3,191.82913272734,-66.23744902728,5236.0,32.46312713623047,8.53,6.529,8.07,3.0,1.1,2007A&A...475..519H,,,,,,nan,20.64027917724004,,
6964,TIC 165732001,3,191.8338152782,31.2136120004,4261.22,28.873212814331055,9.86,,,,nan,nan,1.08604347826,,-4.449133060274266,,,nan,35.40160375491358,,
6965,TIC 144726744,3,191.93756855726,-38.06563735893,4830.39,44.80311584472656,9.76,7.372,12.743,,nan,nan,,,,,14.4018,2026arXiv260305586B,26.22210508179138,,1789.0
6966,TIC 288551035,3,191.94543036918,-8.60466232975,3692.0,32.57740783691406,12.02,7.995,,,nan,nan,,,,,,nan,47.42802938155851,,
6967,TIC 390651552,3,191.98593720493,9.75139775525,3297.0,8.07581901550293,11.395,6.362,,,nan,nan,0.484496822784,,-5.457291211778092,,,nan,58.065815030175756,,
6968,TIC 263659815,3,191.99434854352,22.94137483315,4052.17,41.194541931152344,11.303,7.919,,,nan,nan,,,,,4.19846,2023ApJS..268....4F,39.42589472627847,,280.149444
6969,TIC 9440488,3,192.04161861889,-24.80461894194,4014.06,18.716777801513672,9.33,6.491,12.512,,nan,nan,,,,,,nan,40.20552808597368,,
6970,TIC 9440485,3,192.0446070803,-24.80660212504,4610.0,18.737642288208008,8.88,6.031,6.134,,nan,nan,0.596,-4.65,-4.561498943542937,-4.777907809618086,,nan,29.51719833683071,,
6971,TIC 289989388,3,192.1345128368,-15.71942222554,5005.0,25.4966,7.865,5.585,,11.28,0.98,2020ApJ...898..119R,0.522,,-4.447065556803033,-4.51689707182931,,nan,23.772262266867234,,
6972,TIC 51269322,3,192.14376769048,49.56501740353,3398.0,26.8126220703125,12.51,7.775,,,nan,nan,,,,,0.588762,2023ApJS..268....4F,55.13822233359402,,6488.957239
6973,TIC 92083704,3,192.15814601673,12.68834553059,5397.38,48.14405822753906,9.31,7.441,,,nan,nan,,,,,,nan,18.440743545997552,,
6974,TIC 142277151,3,192.16436250231,60.31973274354,6293.0,26.1676,5.831,4.555,,44.1,nan,2017AJ....153...21L-ELODIE,0.2959,-4.54,-4.341533568931943,-4.370510413471778,,nan,4.0400211497688625,,
6975,TIC 160010717,2,192.1960343688,24.84022785194,5635.0,17.087474822998047,6.29,4.645,8.777,2.9,0.5,2016ApJS..225...32B,0.25045,-4.400767526195044,-4.610155285772193,-4.680572907285233,8.631039,2023ApJS..268....4F,15.018394272206347,,2198.492659
6976,TIC 142276979,3,192.20469770151,61.37838553753,5819.0,39.31106948852539,7.364,5.851,10.746,5.4,nan,2017AJ....153...21L-San,,,,,,nan,12.106097255053074,,
6977,TIC 329649885,3,192.21563576665,-68.42515196315,5548.0,28.887611389160156,7.61,5.898,9.004,0.421,0.121,2018A&A...615A..76S,0.166,-4.95,-4.93018775799647,-4.998075003713884,,nan,16.30837046832654,,
6978,TIC 402133995,3,192.21842249253,12.09637388491,5738.0,36.19553756713867,7.105,5.534,12.85,0.87,0.98,2020ApJ...898..119R,0.152,-5.05,-4.949670211769233,-5.050090897316891,2.202768,2023ApJS..268....4F,13.420736700136398,,42.938692
6979,TIC 402136542,3,192.22447312419,7.54930124944,4987.4,47.46677780151367,9.63,7.412,11.886,,nan,nan,,,,,,nan,24.014542370974098,,
6980,TIC 341687654,3,192.25687831865,66.10978353536,3236.0,10.189525168127163,10.838,6.07,,,nan,nan,,,,,,nan,59.908650106375205,,809095.8991783824
6981,TIC 424732169,3,192.26528278992,19.67364680685,4868.47,34.58743667602539,9.12,6.875,11.926,,nan,nan,,,,,,nan,25.677924649476203,,
6982,TIC 53257150,3,192.30684702793,-4.8465961686,4321.84,45.9945068359375,10.819,7.902,,,nan,nan,,,,,,nan,34.30935860311822,,
6983,TIC 402136851,3,192.35448270826,6.29226355261,4465.63,49.60671615600586,10.656,7.855,,,nan,nan,,,,,2.59784,2023ApJS..268....4F,31.840214030927893,,123.873475
6984,TIC 290023187,3,192.3750308439,-17.02981097474,4040.78,34.5514030456543,11.063,7.643,4.862,,nan,nan,,,,,7.921772,2023ApJS..268....4F,39.6573507522363,,225.024945
6985,TIC 402137342,3,192.39251775545,9.47529355375,3348.0,21.81545639038086,13.158,8.248,,,nan,nan,,,,,2.601986,2023ApJS..268....4F,56.56862356724209,,268.082106
6986,GAIA DR3 3934530861677044992,3,192.4263282,16.2097753,3972.0,47.149696350097656,,8.018,,,nan,nan,,,,,,nan,41.08342491207731,,
6987,TIC 380699270,3,192.43678559129,1.18803853114,5431.0,32.4482307434082,8.13,6.358,,1.028,nan,2020A&A...634A.136C,0.15915,-4.931,-5.002481809843335,-5.059897779640118,,nan,17.973661679675896,,
6988,TIC 148969542,3,192.4842920156,71.19425285367,4800.0,49.219539642333984,10.04,7.577,,,nan,nan,,,,,,nan,26.661100535216146,,
6989,TIC 17654846,3,192.51939358318,38.70811156814,5294.3,46.26127243041992,9.305,7.352,,,nan,nan,,,,,,nan,19.851421777402372,,
6990,TIC 156638998,3,192.52145159004,-7.63219954247,6545.6,48.51041412353515,6.97,5.899,2.522,17.0,1.1,2007A&A...475..519H,,,,,3.279741,2023ApJS..268....4F,1.1074651735347523,,324.650197
6991,TIC 290023608,3,192.55103892669,-17.38193568212,4228.98,35.53657531738281,10.677,7.505,,,nan,nan,,,,,,nan,35.99564055250209,,
6992,TIC 219769772,3,192.59410230006,-18.78513205623,3733.0,47.078125,12.661,8.681,,,nan,nan,,,,,,nan,46.441743346663614,,
6993,TIC 17655109,3,192.63721626208,40.37007856478,3815.0,33.23454284667969,11.418,7.632,,,nan,nan,,,,,,nan,44.529786020634724,,
6994,TIC 198482458,3,192.674415,20.534781,4583.7,38.27018752391887,9.64,6.76,,,nan,nan,,,,,3.565214,2023ApJS..268....4F,29.929683174317248,,1125.584835
6995,TIC 53280272,2,192.68152836158,-0.76812974887,3954.0,10.650999069213867,8.47,4.882,,2.0,1.1,2007A&A...475..519H,1.63215,-4.5478837659315134,-4.427106875078934,,,nan,41.46483445763283,,
6996,TIC 166563483,3,192.72303927723,-48.22659846163,3900.0,47.4328727722168,12.157,8.519,,,nan,nan,,,,,,nan,42.63003360929678,,
6997,TIC 450335187,3,192.83268581936,28.85750607497,5140.5,45.84916305541992,9.115,7.122,11.738,,nan,nan,,,,,,nan,21.92886779242718,,
6998,TIC 166563449,3,192.84604337099,-48.10254383283,5154.6,49.570072174072266,9.45,7.452,10.965,3.0,1.1,2007A&A...475..519H,,,,,8.487,2026arXiv260305586B,21.738478394674274,,2955.9999999999995
6999,TIC 248071977,3,192.86008606591,-45.28780918709,4348.7,44.96015930175781,10.89,7.88,,,nan,nan,,,,,20.7334,2026arXiv260305586B,33.835416735689414,,1686.0
7000,TIC 330798745,3,192.89197146284,30.96505564762,3614.0,41.430789947509766,12.84,8.562,,,nan,nan,,,,,18.8395,2026arXiv260305586B,49.362202628348534,,1316.0
7001,TIC 450335652,3,192.91003916847,25.50883143854,5095.48,38.5936279296875,9.1,6.994,0.7,13.37,3.88,2007AJ....133.2524W,0.558,-4.41,-4.374560444368408,-4.400184817723026,5.3994,2026arXiv260305586B,22.538011324417873,,2708.9999999999995
