,star_name,TSS_tier,ra,dec,Teff,sy_dist,sy_vmag,Age,vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,prot_adopt,r_prot_adopt,act_cycle_adopt,phot_jitter_adopt
7703,TIC 107506599,3,212.73941939744,-31.29032709047,3643.0,15.911555290222168,10.825,,,,,,,nan,,
7704,TIC 198514308,3,212.77340587622,73.34751305862,4264.32,31.684701919555664,10.28,,,,,,10.648283,fetherolf24,,1935.742046
7705,TIC 332286707,3,212.78637348371,-61.92974020492,3727.0,19.58024787902832,10.866,,,,,,,nan,,
7706,TIC 393980280,3,212.80267511644,43.10665560981,4387.12,35.29888916015625,10.03,,,,,,4.626912,fetherolf24,,812.152211
7707,TIC 282279702,3,212.83250342738,-83.59657370887,4532.32,40.6166877746582,10.16,,,,,,,nan,,
7708,TIC 105681696,3,212.85082657787,30.08401827706,4600.0,43.738807678222656,10.31,,,,,,,nan,,
7709,TIC 420752443,3,212.88001376464,1.36239747408,6554.4,43.49199295043945,6.408,2.925,20.47,0.204,-4.74,-4.324250404378156,2.094807,fetherolf24,,284.365997
7710,TIC 156515517,3,212.89284465208,26.19578994255,4254.9,39.311336517333984,10.46,,,,,,,nan,,
7711,TIC 308311310,3,212.94238743767,-12.61176645967,5123.0,23.02802276611328,7.946,3.407,2.368,0.3851,-4.532,-4.377073234751229,25.0,wright04,,
7712,TIC 105683336,3,212.99351736733,32.10918874925,3932.0,45.1008186340332,12.18,,,,,,,nan,,
7713,TIC 242351760,3,213.04633115648,-45.17313308095,3959.0,39.11287689208984,11.728,,,,,,,nan,,
7714,TIC 313276541,3,213.11271355777,67.58615544425,5318.6,39.34705352783203,8.54,13.208,,0.2864,,-4.4497121990460995,,nan,,
7715,TIC 307797957,3,213.173168504,23.81431264993,5100.0,31.35877990722656,8.9,11.597,,,,,3.305109,fetherolf24,,130.260076
7716,TIC 147718994,2,213.18849388977,-3.32008330155,5487.0,21.77126121520996,7.039,12.622,1.711,0.1574,-5.028,-4.738980761327825,34.0,wright04,,
7717,TIC 441694508,3,213.25277507276,55.32542573152,4763.53,37.38229370117188,8.95,,,,,,,nan,,
7718,TIC 1001291727,3,213.25391756358,55.32507475337,4957.88,38.329376220703125,9.31,13.277,,,,,,nan,,
7719,TIC 407559875,3,213.30363828377,-56.74205914811,3646.0,11.661952018737791,10.191,,,0.992,,-4.685206131242947,,nan,,
7720,TIC 310363348,3,213.35714887399,48.27487165899,3916.3,39.433406829833984,11.33,,,,,,4.862066,fetherolf24,,762.094226
7721,TIC 310362805,3,213.36587375874,51.78786619171,6792.0,47.1743,6.69,1.35,38.0,0.2115,,-4.284674982877631,0.060507,fetherolf24,,17008.431422
7722,TIC 310362802,3,213.37087188439,51.7899659882,7745.0,49.58712005615234,4.51,,128.0,0.2186,,,0.064769,fetherolf24,,4045.430971
7723,TIC 5979133,3,213.37997525344,-6.95898286712,3970.72,18.303241729736328,10.139,,,,,,,nan,,
7724,TIC 333352047,3,213.38491502381,-62.12593063797,3870.0,27.597749710083008,11.345,,,,,,,nan,,
7725,TIC 7553767,3,213.39944910091,-25.78292671745,3794.0,42.93034744262695,12.177,,,,,,,nan,,
7726,TIC 441694503,3,213.40357861927,55.36978415325,4840.6,41.58808517456055,9.15,,,,,,,nan,,
7727,TIC 449149203,3,213.41958224289,10.23620662859,4015.39,40.15363311767578,11.233,,,,,,,nan,,
7728,TIC 7553716,3,213.44217599242,-25.89194320213,3725.0,47.887393951416016,12.563,,,,,,,nan,,
7729,TIC 428777976,3,213.44773666378,-20.87402849267,3675.0,39.003849029541016,12.59,,,,,,,nan,,
7730,TIC 168704717,3,213.46386126265,46.32516709461,6159.0,39.13661956787109,7.16,2.924,17.04,0.266,-4.52,-4.23076534441567,5.0,wright04,,
7731,TIC 156567991,3,213.47116192957,24.79760138383,3443.0,23.49876594543457,13.006,,,,,,,nan,,
7732,TIC 173106845,3,213.48782654263,30.21718728812,4718.0,17.215572357177734,8.03,9.949,3.5,0.7782,-4.473,-4.222633842133346,11.702098,fetherolf24,,6121.96497
7733,TIC 428778266,3,213.49824627366,-20.20805046234,5798.4,48.1232,8.09,7.59,5.0,,,,,nan,,
7734,TIC 459250741,2,213.52158213554,12.95944437397,6167.0,33.62204360961914,5.529,3.966,7.5,0.1327,,-4.674231354059857,,nan,,
