hpic_name,vsx_name,period(d)
TIC 148008469,ASASSN-V J150606.71+151230.7,33.78
TIC 359263272,ASASSN-V J161830.51+190840.0,15.861
TIC 383523537,ASASSN-V J152801.42+254722.9,13.004
TIC 115104943,ASAS J135813+1917.1,5.548
TIC 233435605,ASASSN-V J140206.10+210245.7,134
TIC 28199266,Gaia DR3 1258410750415492864,7.889
TIC 357500019,Gaia DR3 1263985102569989504,11.3878
TIC 229899656,ASASSN-V J150627.74+250557.0,11.735
TIC 236387002,ASASSN-V J161743.17+261815.2,13.279
TIC 188540271,ASASSN-V J154848.60+303038.7,44.5
TIC 199634258,ASASSN-V J164151.92+551022.3,38.49
TIC 371879317,NSV 19865,1.0393
TIC 22745718,Gaia DR3 1474985575828843392,6.3343
TIC 23708421,Gaia DR3 1496976598656622848,20.909
TIC 283858338,ASASSN-V J152243.73+504025.1,4.863
TIC 235568605,ASASSN-V J153709.55+531919.0,1.241
TIC 141816993,ASASSN-V J134146.48+581518.9,24.009
TIC 154486130,ASASSN-V J122215.05+742421.6,17.475
TIC 375008104,ASASSN-V J203525.69+061829.7,0.205967
TIC 15460279,Gaia DR3 1798971206825676288,7.0676
TIC 163472098,Gaia DR3 1852560823752552960,8.1141
TIC 161190740,ASASSN-V J203506.76+310346.3,3.1598
TIC 163477895,ASAS J210559+3139.9,3.165000
TIC 128692839,Gaia DR3 1908034002868373376,4.29454
TIC 455756014,Gaia DR3 1920997794711376640,4.61323
TIC 352503796,Gaia DR3 1923896725839633024,1.417
TIC 431711131,ASASSN-V J235456.57+503615.0,70.66
TIC 236671835,Gaia DR3 1948709198586896384,8.8675
TIC 283733325,ASASSN-V J231323.55+593708.1,8.2989
TIC 111210314,ASASSN-V J192721.98+280945.9,4.3109
TIC 41840710,ASAS J190240+3231.5,0.694800
TIC 290033328,KIC 11861997,15.725
TIC 296321403,ASAS J202631+5051.5,2.243700
TIC 277317887,ASAS J204128+5725.8,14.118000
TIC 404393507,V0430 Cep,7.771000
TIC 149011028,ASASSN-V J001406.94-343217.6,15.491
TIC 218979108,ASASSN-V J231906.63-305914.5,10.954
TIC 43373915,ASAS J004030-2747.8,0.74665
TIC 404452683,ASASSN-V J010321.30-134758.0,37.57
TIC 380881837,Gaia DR3 2372235648763459200,11.6072
TIC 402319281,ASAS J233410-1530.8,0.3098
TIC 2052312662,ASAS J235812-1724.5,0.434093
TIC 9788099,Gaia DR3 2442278696981886976,16.008
TIC 25001358,ASAS J020013-0841.1,2.28
TIC 29853348,ASAS J013514-0712.9,0.7031
TIC 423387879,Gaia DR3 2491709509950009728,3.16888
TIC 422692635,ASAS J020146+0117.2,6.0046
TIC 301193210,ASAS J232211-0301.7,1.275200
TIC 466335247,Gaia DR3 2700417192226894976,3.06028
TIC 422422228,ASASSN-V J223850.26+045813.0,16.296
TIC 257503361,ASASSN-V J000318.98+044111.6,20.736
TIC 25799110,Gaia DR3 2808451627064095232,2.04768
TIC 291689873,ASAS J235451+3831.6,4.757000
TIC 99828446,Gaia DR3 2927966140130476672,2.87857
TIC 288158059,Gaia DR3 2940796611884222208,2.38375
TIC 30948608,ASAS J051819-2522.4,1.228
TIC 442922961,Gaia DR3 2988914234310915840,9.531
TIC 95251344,ASAS J060221-1355.5,5.6034
TIC 67168206,Gaia DR3 3018681140809571072,3.81769
TIC 423126653,Gaia DR3 3026564158149723904,3.67516
TIC 65673065,ASAS J073606-0306.6,12.16
TIC 65751167,ASASSN-V J073630.27-003937.2,52.82
TIC 264973344,ASAS J082517+0415.2,3.702
TIC 265206385,ASAS J083147+0545.0,1.4755
TIC 455203457,ASASSN-V J082013.29+053208.2,22.056
TIC 282390661,ASASSN-V J065253.92-052443.1,5.5337
TIC 42461496,ASASSN-V J062549.59-010146.2,9.5506
TIC 270044059,ASASSN-V J073858.55+091852.8,19.29
TIC 138798618,ASAS J045717-0621.6,0.7337
TIC 298810490,ASASSN-V J043725.17-032828.2,18.332
TIC 249064742,Gaia DR3 3208718772048835968,8.1819
TIC 427346731,ASAS J053359-0221.4,7.25
TIC 455029978,ASAS J050613+0439.6,0.8885
TIC 449098466,ASAS J043016+0058.8,9.109
TIC 372917714,ASASSN-V J042350.83+091219.4,5.2552
TIC 245937103,Gaia DR3 3307992336891315968,3.51272
TIC 435905591,ASASSN-V J041847.16+132158.4,14.578
TIC 434234748,ASASSN-V J041510.53+142354.2,14.047
TIC 435938788,ASASSN-V J042359.25+164317.3,16.849
TIC 159089041,ASASSN-V J055410.08+015227.3,35.32
TIC 140337915,ASASSN-V J055924.54+084010.5,2.7096
TIC 385822666,ASASSN-V J062155.09+123140.6,45.86
TIC 386195064,ASASSN-V J065625.84+120731.4,14.569
TIC 372611670,ASAS J064645+1557.6,5.084
TIC 87403283,ASAS J065148+2711.9,3.058
TIC 18644870,Gaia DR3 3413567782690754688,0.48909
TIC 443673580,ASASSN-V J122829.31-273350.1,16.011
TIC 2591769,ASASSN-V J135425.86-081045.4,0.673732
TIC 178925379,ASASSN-V J131800.26-113115.6,17.403
TIC 119175635,ASAS J140209-0354.9,3.925
TIC 402231298,ASAS J143139+0047.5,4.324
TIC 94924490,Gaia DR3 3694842171545206656,2.12877
TIC 390726303,ASAS J132047+0701.4,0.6619
TIC 72546623,ASASSN-V J135153.01+124707.0,4.9603
TIC 88190352,Gaia DR3 3737299190281888256,3.18263
TIC 27212458,ASASSN-V J132438.11+125422.3,19.936
TIC 1530538,ASASSN-V J102616.61-152255.1,35.1
TIC 33174050,ASAS J095509-0819.3,10.65
TIC 34986740,ASASSN-V J105735.18-042906.2,17.595
TIC 49524658,ASASSN-V J114212.93-012154.5,31.48
TIC 281795498,ASASSN-V J105622.32+041544.7,26.769
TIC 290474796,ASASSN-V J091610.24+015307.3,1.4361
TIC 453050688,Gaia DR3 3851679946103991296,5.8272
TIC 374180523,ASASSN-V J103202.31+031854.9,0.583996
TIC 281783052,ASASSN-V J105505.55+055943.9,27.266
TIC 334578550,ASASSN-V J123226.37+202328.0,2.3905
TIC 386955374,ASASSN-V J113124.95+134442.9,4.508
TIC 139053298,ASASSN-V J120849.63+302100.5,16.797
TIC 329574121,Gaia DR3 4038724053950164096,1.16429
TIC 249088286,ASASSN-V J180932.49-242851.1,17.579
TIC 381572596,ASASSN-V J175115.64-201821.5,18.314
TIC 77503171,ASAS J171311-1834.3,12.68
TIC 434650982,ASASSN-V J165940.74-134531.6,14.943
TIC 14649892,ASASSN-V J181726.97-093729.9,27.129
TIC 297812150,ASAS J174629-0842.6,58.43
TIC 125183825,ASASSN-V J191530.48-104121.4,14.96
TIC 19505202,ASASSN-V J181608.85+001948.7,33.64
TIC 168901705,ASAS J182217+0142.4,6.528
TIC 449263348,ASAS J184510+0620.2,16.18
TIC 224111829,ASAS J193135+0556.0,0.78470
TIC 402161777,ASASSN-V J193943.90+151720.2,37.98
TIC 142452434,ASAS J170507-0147.0,4.59
TIC 188272639,ASAS J155007-0222.4,2.242
TIC 168457615,ASASSN-V J160011.92-023100.0,12.463
TIC 272594729,ASAS J154803+0421.7,1.791000
TIC 266115584,Gaia DR3 4440448734652648064,6.4102
TIC 291141803,Gaia DR3 4458736739757931776,6.812
TIC 349650675,Gaia DR3 4485780087237068160,3.60487
TIC 298617918,ASAS J185200+1300.0,3.021
TIC 314604460,ASASSN-V J184609.39+191214.0,0.996645
TIC 345356533,Gaia DR3 4564094692709195392,5.2311
TIC 394137224,ASAS J001723-6645.1,6.645
TIC 234506911,ASASSN-V J004935.68-634741.6,4.92
TIC 201753428,ASASSN-V J021258.19-585118.2,1.6007
