hpic_name,TICID,period_rot(d),period_rot_err(dd),amp_median(%)
TIC 334045131,334045131,9.2707,0.3505,0.3985
TIC 364981219,364981219,18.9427,2.0345,0.3737
TIC 235568605,235568605,1.2402,0.0038,4.3125
TIC 141533801,141533801,5.2827,0.0523,0.9782
TIC 15611379,15611379,12.3105,0.6132,0.1715
TIC 160229387,160229387,14.5021,0.6927,0.2383
TIC 98020331,98020331,9.2675,0.4953,0.2012
TIC 310416717,310416717,15.5503,1.376,0.1698
TIC 256419669,256419669,18.2269,1.8849,0.2201
TIC 357473926,357473926,13.7055,1.0718,0.1431
TIC 201236480,201236480,21.8699,1.9189,0.1604
TIC 91470,91470,17.505,1.7398,0.1068
TIC 341660524,341660524,0.3198,0.0007,1.2569
TIC 138711522,138711522,18.7165,1.9867,0.0971
TIC 308183430,308183430,11.1664,0.1923,1.3906
TIC 354080845,354080845,20.2911,2.332,0.1448
TIC 321883835,321883835,9.1419,0.4822,0.1386
TIC 415693806,415693806,17.502,1.7392,0.1482
TIC 16247017,16247017,14.987,1.2791,0.1193
TIC 334768935,334768935,1.1036,0.0062,0.8722
TIC 72559549,72559549,19.853,1.6119,0.1049
TIC 388916285,388916285,17.1176,1.6643,0.5169
TIC 443673580,443673580,8.1241,0.2704,0.2797
TIC 134431639,134431639,10.9328,0.3431,0.3432
TIC 308794367,308794367,8.151,0.3849,0.1171
TIC 439967669,439967669,4.3798,0.0811,0.3921
TIC 134871040,134871040,9.3726,0.3581,0.2339
TIC 462746129,462746129,9.4224,0.5118,0.1601
TIC 284266904,284266904,19.5137,2.158,0.1061
TIC 216609616,216609616,3.5396,0.0761,0.1339
TIC 83242272,83242272,13.373,1.021,0.0943
TIC 180695581,180695581,8.6415,0.3053,0.4244
TIC 180144919,180144919,20.4005,2.357,0.1461
TIC 72817270,72817270,8.7617,0.4436,0.1
TIC 224305606,224305606,9.5402,0.3708,0.1504
TIC 142439879,142439879,20.1749,1.1571,0.2672
TIC 230136637,230136637,16.0187,0.6538,0.1298
TIC 8625175,8625175,8.4638,0.4145,0.1464
TIC 86371681,86371681,22.8046,2.9405,0.0939
TIC 192064872,192064872,13.2625,1.0044,0.223
TIC 23223420,23223420,22.556,2.8771,0.0978
TIC 333113604,333113604,20.4212,2.3617,0.088
TIC 22745719,22745719,9.6529,0.3796,0.2236
TIC 252994748,252994748,9.7219,0.5443,0.1405
TIC 146419000,146419000,19.4313,1.5138,0.1086
TIC 430313173,430313173,8.6231,0.4299,0.4649
TIC 165977985,165977985,21.863,2.7043,0.1535
TIC 32449128,32449128,12.532,0.898,0.0944
TIC 138507004,138507004,6.3461,0.2358,0.1749
TIC 173165359,173165359,18.8643,2.0179,0.2329
TIC 87952264,87952264,22.9271,2.9719,0.1291
TIC 239198426,239198426,18.3738,1.9152,0.0997
TIC 20499329,20499329,19.3988,1.2443,0.2197
TIC 159331748,159331748,6.3865,0.138,0.1848
TIC 179250287,179250287,16.1038,1.4747,0.3617
GAIA DR3 94865180345415552,387010958,9.9967,0.4066,0.53
TIC 318362684,318362684,20.5518,1.6972,0.1367
TIC 408448085,408448085,6.7422,0.2654,0.2215
TIC 337839892,337839892,17.5203,1.7428,0.1937
TIC 164879360,164879360,5.0799,0.1308,0.1705
TIC 333459604,333459604,18.1626,1.8717,0.1057
TIC 54202213,54202213,9.2173,0.4901,0.1015
TIC 437261155,437261155,12.3814,0.6204,0.327
TIC 259999047,259999047,21.1457,1.2765,0.2032
TIC 322777782,322777782,21.4325,1.8677,0.1499
TIC 374267666,374267666,7.0205,0.2033,0.5431
TIC 11009027,11009027,21.632,2.6478,0.1403
TIC 12421862,12421862,19.2332,2.0969,0.1376
TIC 149915491,149915491,5.9906,0.149,0.5516
TIC 311298651,311298651,4.3545,0.1134,0.1205
TIC 23652204,23652204,4.2011,0.0896,0.8104
TIC 228761127,228761127,16.1863,1.4897,0.1716
TIC 408037269,408037269,16.7385,1.5921,0.1478
TIC 88723334,88723334,1.3137,0.0069,1.1913
TIC 1192946,1192946,8.9492,0.327,0.5054
TIC 448366248,448366248,17.0964,1.6602,0.1093
TIC 144726744,144726744,14.4018,0.8554,0.1789
TIC 19112056,19112056,15.177,0.9416,0.1288
TIC 377227655,377227655,5.5647,0.1825,0.1336
TIC 191446688,191446688,15.5521,1.3763,0.6785
TIC 404746289,404746289,24.9387,3.5125,0.3861
TIC 284992719,284992719,14.0904,1.1321,0.1057
TIC 262530407,262530407,19.3808,1.5054,0.4237
TIC 272572913,272572913,21.281,1.8304,0.1229
TIC 450335652,450335652,5.3994,0.1721,0.2709
TIC 332278062,332278062,12.5943,0.6415,0.2605
TIC 53550721,53550721,4.9484,0.0731,0.3605
TIC 248391508,248391508,21.2405,2.5535,0.1387
TIC 287081946,287081946,2.5334,0.0403,0.2032
TIC 149397420,149397420,20.964,1.4453,0.1169
TIC 219780306,219780306,17.9779,0.7519,0.1096
TIC 347716664,347716664,9.8972,0.399,0.1505
TIC 165978900,165978900,13.7855,1.0842,0.2674
TIC 397352616,397352616,14.6897,1.2294,0.329
TIC 198381449,198381449,10.8637,0.2285,0.2308
TIC 402975940,402975940,9.7892,0.5517,0.0978
TIC 134963687,134963687,17.332,1.2554,0.1307
TIC 258090924,258090924,8.5679,0.4245,0.6255
TIC 158595208,158595208,6.0998,0.1548,0.5399
TIC 192982365,192982365,3.6439,0.057,0.4418
TIC 411249819,411249819,9.3027,0.4991,0.381
TIC 357370384,357370384,16.7903,1.6018,0.2104
TIC 239137106,239137106,10.9857,0.3538,0.2846
TIC 282855338,282855338,1.6334,0.0073,0.1089
TIC 344951838,344951838,7.6559,0.3404,0.0804
TIC 159527171,159527171,8.2123,0.1499,0.7564
TIC 181015118,181015118,0.933,0.0029,0.7206
TIC 5082121,5082121,19.9245,2.2491,0.1721
TIC 66534229,66534229,7.3111,0.2209,0.6964
TIC 369495198,369495198,9.7284,0.3859,0.5217
TIC 107461667,107461667,6.6225,0.2563,0.0896
TIC 416415862,416415862,0.3086,0.0008,3.481
TIC 167121,167121,10.5255,0.6364,0.1781
TIC 16034007,16034007,15.2293,1.3203,0.2369
TIC 134975395,134975395,17.3727,1.2184,0.1126
TIC 396234347,396234347,12.6645,0.9168,0.2964
TIC 256316623,256316623,10.618,0.6475,0.1651
TIC 28053245,28053245,20.7442,2.4365,0.1659
TIC 72498126,72498126,15.637,1.3912,0.3041
TIC 247117382,247117382,0.5489,0.0012,1.1281
TIC 20496343,20496343,0.8259,0.0026,2.764
TIC 140460192,140460192,9.7383,0.3862,1.0435
TIC 13824524,13824524,14.0294,1.1224,0.2197
TIC 107457722,107457722,14.735,1.2369,0.1261
TIC 95657209,95657209,6.2003,0.1593,1.402
TIC 165980070,165980070,2.8015,0.0218,0.9279
TIC 99130543,99130543,20.8802,2.4683,0.1101
TIC 22848433,22848433,19.2881,1.2504,0.1412
TIC 82285131,82285131,18.7445,1.9925,0.1226
TIC 101774867,101774867,1.9912,0.0181,0.376
TIC 42055967,42055967,15.5848,1.0219,0.0938
TIC 399001403,399001403,3.3426,0.0682,0.5841
TIC 160059092,160059092,3.8465,0.0632,1.3914
TIC 313007004,313007004,20.0276,1.6071,0.2306
TIC 206548902,206548902,11.8873,0.809,0.2143
TIC 291108016,291108016,6.2229,0.1606,0.2241
TIC 43274838,43274838,13.9514,0.7851,0.2163
TIC 325315797,325315797,8.9918,0.4668,1.1358
TIC 85334035,85334035,7.8633,0.2537,1.8034
TIC 415779887,415779887,0.6713,0.0026,2.3727
TIC 148962617,148962617,11.2019,0.4202,0.1707
TIC 319361376,319361376,18.4668,1.9344,0.1416
TIC 389214310,389214310,3.3356,0.0679,0.1442
TIC 67902096,67902096,16.4368,1.5357,0.2158
TIC 356539037,356539037,13.6784,1.0676,0.2157
TIC 380667435,380667435,21.132,1.8204,0.1485
TIC 408448101,408448101,9.755,0.5479,0.32
TIC 349552500,349552500,18.6296,1.9684,0.1628
TIC 23355525,23355525,9.4033,0.2282,0.4182
TIC 27491137,27491137,7.4491,0.1618,0.5376
TIC 455277453,455277453,13.5997,0.7493,0.1072
TIC 332710428,332710428,10.0975,0.4181,0.3159
TIC 458445817,458445817,9.5698,0.3731,0.4958
TIC 439404095,439404095,10.5643,0.6411,0.2787
TIC 10201961,10201961,3.2785,0.0623,0.5437
TIC 26358020,26358020,1.3262,0.0122,1.8499
TIC 151300352,151300352,0.3107,0.0005,3.7479
TIC 310106386,310106386,2.896,0.03,0.7773
TIC 49256147,49256147,2.4005,0.0257,1.0816
TIC 98020332,98020332,9.042,0.4719,0.1618
TIC 123519327,123519327,13.6005,1.0556,0.7215
TIC 257798327,257798327,2.9,0.052,0.1756
TIC 390726303,390726303,0.6614,0.0026,5.5758
TIC 336526073,336526073,10.1599,0.5936,0.3587
TIC 327953706,327953706,10.5568,0.6402,0.2316
TIC 1653125,1653125,19.2956,1.5167,0.195
TIC 283816776,283816776,2.9839,0.0275,0.4026
TIC 28171114,28171114,20.7399,2.4355,0.1898
TIC 297075790,297075790,10.6211,0.3741,0.4253
TIC 229562117,229562117,11.4127,0.7465,0.3249
TIC 341660109,341660109,7.9466,0.259,0.5321
TIC 25779814,25779814,19.7806,1.5782,0.1422
