hpic_name,TICID,period_rot(d),period_rot_err(dd),amp_median(%)
TIC 289456142,289456142,0.4413,0.0019,0.0375
TIC 318384880,318384880,1.6315,0.0177,0.2145
TIC 245750473,245750473,9.181,0.4863,0.0972
TIC 293968698,293968698,2.8618,0.0123,2.5609
TIC 25961339,25961339,7.735,0.3473,0.2808
TIC 90953428,90953428,0.5845,0.0021,0.1789
TIC 307247731,307247731,9.0485,0.2125,0.243
TIC 342194997,342194997,9.3311,0.2249,0.5643
TIC 255785123,255785123,20.0499,1.6103,0.1486
TIC 28940105,28940105,11.548,0.7641,0.2525
TIC 111210314,111210314,4.1415,0.0515,0.5346
TIC 468871869,468871869,2.9296,0.053,0.3027
TIC 318785502,318785502,4.822,0.0618,4.2795
TIC 453428169,453428169,12.4724,0.8896,0.5214
TIC 334810404,334810404,2.0607,0.0122,2.0464
TIC 166563449,166563449,8.487,0.2726,0.2956
TIC 382463166,382463166,3.0488,0.0234,1.133
TIC 231861263,231861263,11.3438,0.4263,0.2184
TIC 237933451,237933451,10.8475,0.1449,0.2187
TIC 106344480,106344480,1.3301,0.0055,1.1354
TIC 377304296,377304296,13.5313,0.2831,0.1897
TIC 446043823,446043823,11.0361,0.6987,0.1192
TIC 387137157,387137157,5.962,0.1476,0.1784
TIC 258964346,258964346,6.583,0.2533,0.227
TIC 150188736,150188736,6.3651,0.2372,0.1382
TIC 193292745,193292745,10.627,0.6486,0.1501
TIC 147703846,147703846,20.3508,2.3456,0.2147
TIC 294218958,294218958,17.5651,1.2456,0.1385
TIC 190604557,190604557,13.1448,0.5719,0.1905
TIC 38462407,38462407,14.295,0.6739,0.1557
TIC 408619844,408619844,8.5148,0.4194,0.0928
TIC 152361083,152361083,4.7677,0.0677,0.4187
TIC 158670451,158670451,14.7973,0.8827,0.272
TIC 233193894,233193894,19.4339,0.9612,0.111
TIC 60284669,60284669,17.5203,1.7428,0.0992
TIC 266016749,266016749,19.4588,2.146,0.1247
TIC 419366667,419366667,9.7238,0.5445,0.1564
TIC 132702068,132702068,7.9087,0.2572,0.11
TIC 50037940,50037940,3.3917,0.0405,0.1888
TIC 101011575,101011575,13.0682,0.9755,0.1192
TIC 426643322,426643322,10.6961,0.4663,0.45
TIC 354162381,354162381,11.4428,0.2286,0.2118
TIC 416092387,416092387,19.4551,2.1452,0.1612
TIC 648392568,648392568,8.5892,0.4266,0.1429
TIC 78538319,78538319,19.6563,1.5482,0.0965
TIC 359263272,359263272,10.2984,0.6097,0.1951
TIC 296449358,296449358,0.3351,0.0006,0.9101
TIC 288344202,288344202,1.3049,0.0021,0.5518
TIC 900297865,900297865,1.0315,0.0045,0.863
TIC 464831700,464831700,14.4465,1.1894,0.1319
TIC 422130833,422130833,18.0482,1.8485,0.1384
TIC 69550924,69550924,9.8565,0.3957,0.146
TIC 305569156,305569156,18.5924,1.3938,0.2894
TIC 369479745,369479745,19.2442,2.0993,0.1731
TIC 176852917,176852917,8.3271,0.2844,1.4202
TIC 120853136,120853136,7.7035,0.2436,0.2887
TIC 312812096,312812096,11.866,0.5711,0.4508
TIC 468255882,468255882,12.264,0.3284,0.4401
TIC 259646421,259646421,12.8633,0.6688,0.2565
TIC 199665230,199665230,6.8558,0.1049,0.1904
TIC 60959951,60959951,7.517,0.1342,0.426
TIC 83550381,83550381,18.3974,1.92,0.1097
TIC 453011250,453011250,7.9634,0.1654,0.4869
TIC 320660232,320660232,9.0897,0.4768,0.1315
TIC 232532410,232532410,9.2374,0.4922,0.2201
TIC 72702601,72702601,10.1761,0.4211,0.4247
TIC 420048389,420048389,6.1672,0.1853,0.1657
TIC 355978176,355978176,15.519,1.3705,0.0939
TIC 139232645,139232645,9.6073,0.376,0.1339
TIC 357939155,357939155,21.0891,1.8104,0.1427
TIC 85407620,85407620,15.0248,0.9111,0.2308
TIC 57513388,57513388,0.7304,0.0021,5.2291
TIC 231286446,231286446,3.9359,0.066,0.4755
TIC 166852312,166852312,0.5192,0.0012,2.2339
TIC 234506911,234506911,4.8801,0.05,1.4704
TIC 443582221,443582221,19.3392,1.2266,0.2562
TIC 419940916,419940916,4.1385,0.0515,0.3794
TIC 1950657646,1950657646,8.5289,0.189,0.2755
TIC 60959948,60959948,7.7685,0.3503,0.2049
TIC 423455404,423455404,7.7139,0.1995,0.2777
TIC 20489284,20489284,18.9588,2.038,0.0946
TIC 96195878,96195878,6.0539,0.2151,0.4429
TIC 276304874,276304874,1.0413,0.0056,2.1611
TIC 398401191,398401191,9.675,0.5391,0.1837
TIC 135443063,135443063,0.879,0.0034,1.9455
TIC 461356882,461356882,9.2729,0.2486,0.8011
TIC 289164482,289164482,13.7541,0.4421,0.1678
TIC 26842132,26842132,8.8803,0.4555,0.2851
TIC 284718691,284718691,17.6621,1.2532,0.1321
TIC 241537483,241537483,13.9601,1.1115,0.1591
TIC 278380701,278380701,12.3314,0.6151,0.2811
TIC 288433148,288433148,18.5986,1.9619,0.4209
TIC 199634258,199634258,21.4694,1.3126,0.1372
TIC 436567527,436567527,9.9852,0.4057,0.4982
TIC 100010286,100010286,13.0791,0.6909,0.3608
TIC 166393630,166393630,12.8579,0.6688,0.162
TIC 192790473,192790473,8.4839,0.2944,0.2835
TIC 442922961,442922961,18.8874,2.0228,0.2286
TIC 192790476,192790476,5.7362,0.1936,0.2154
TIC 4206066,4206066,15.8513,1.4292,0.1322
TIC 170889511,170889511,10.8997,0.6818,0.1666
TIC 145112971,145112971,5.7938,0.0806,0.5766
TIC 277438766,277438766,12.5752,0.9041,0.1654
TIC 37367922,37367922,20.3281,2.3404,0.1288
TIC 50933417,50933417,8.7895,0.2234,1.1084
TIC 423126653,423126653,8.0558,0.1884,0.6915
TIC 309632151,309632151,11.0148,0.4096,0.2274
TIC 289839102,289839102,9.836,0.3224,0.3351
TIC 387544715,387544715,10.1269,0.3409,0.2367
TIC 171002873,171002873,9.7593,0.2744,0.3738
TIC 168158191,168158191,15.5099,0.9723,0.2765
TIC 153713422,153713422,3.0537,0.0287,0.5543
TIC 259987632,259987632,7.9875,0.3699,0.4065
TIC 232538898,232538898,8.4297,0.2518,0.2401
TIC 311179599,311179599,17.7333,1.2628,0.1789
TIC 138350803,138350803,7.5109,0.1098,0.268
GAIA DR3 161788841059992960,96614227,9.6747,0.3866,0.1252
TIC 302255819,302255819,6.5343,0.1805,0.1298
TIC 275036626,275036626,9.0711,0.1946,0.4688
TIC 41840710,41840710,0.6946,0.0015,1.1684
TIC 86383177,86383177,21.237,1.805,0.2898
TIC 154717941,154717941,14.7087,0.8718,0.5218
TIC 369579896,369579896,18.8529,1.435,0.1304
TIC 358824896,358824896,17.1249,1.1831,0.2255
TIC 121490076,121490076,9.5911,0.3748,0.5313
TIC 420116962,420116962,0.9917,0.0072,0.2429
TIC 51867348,51867348,3.1514,0.0305,1.2303
GAIA DR3 5756823564825367936,13676500,0.3956,0.0008,4.2507
TIC 814849102,814849102,5.7968,0.0807,0.5766
TIC 360689837,360689837,1.4732,0.0147,0.0587
TIC 405252114,405252114,18.3243,1.1047,0.1374
TIC 439446186,439446186,7.869,0.254,2.5361
TIC 441454736,441454736,18.5162,1.9447,0.2109
TIC 79397104,79397104,14.2802,0.6813,0.1284
TIC 334854578,334854578,11.7179,0.7864,0.4585
TIC 105995278,105995278,8.6844,0.2542,0.3094
TIC 188081317,188081317,12.713,0.6533,0.4132
TIC 172366251,172366251,6.8236,0.1923,0.5305
TIC 279372270,279372270,5.961,0.1476,0.5792
TIC 167756732,167756732,9.4663,0.2591,1.3091
TIC 21628045,21628045,7.9754,0.2625,0.2599
TIC 293507177,293507177,0.5695,0.0011,2.8574
TIC 370137879,370137879,12.2681,0.861,0.1205
TIC 437036405,437036405,12.4565,0.6275,0.1182
TIC 263072616,263072616,14.1326,0.8156,0.1168
TIC 197962036,197962036,22.3699,2.8302,0.1086
TIC 206620592,206620592,7.3443,0.3138,0.1799
TIC 201753428,201753428,1.6009,0.0086,1.7652
TIC 206592394,206592394,3.3729,0.0284,1.2407
TIC 277768198,277768198,16.2354,1.0607,0.1435
TIC 285972548,285972548,14.9904,1.2797,0.1492
TIC 161190740,161190740,3.154,0.0273,2.3533
TIC 117881543,117881543,7.5945,0.1941,0.4337
TIC 290052260,290052260,22.7271,2.9207,0.0983
TIC 33687057,33687057,19.978,2.2611,0.1002
TIC 17194593,17194593,11.0959,0.7062,0.3425
TIC 175739449,175739449,9.6465,0.3793,0.4484
TIC 117148947,117148947,14.5486,1.2061,0.2191
TIC 162118382,162118382,10.9286,0.4849,0.2579
TIC 150064391,150064391,9.0397,0.1223,0.186
TIC 41858828,41858828,2.2661,0.0188,1.3548
TIC 188503588,188503588,4.7273,0.133,0.3132
TIC 94515129,94515129,13.0203,0.6971,0.2225
TIC 233192409,233192409,19.6661,1.1,0.1357
TIC 51912266,51912266,9.683,0.2702,0.746
TIC 301083272,301083272,9.6572,0.3799,0.2408
TIC 303527975,303527975,14.5883,1.2126,0.1664
TIC 464439840,464439840,12.3133,0.8673,0.2056
TIC 47549288,47549288,19.6359,2.1849,0.0874
TIC 427346731,427346731,7.2103,0.3027,2.0007
TIC 73327417,73327417,10.9957,0.4905,0.4039
TIC 259684202,259684202,21.3217,2.5729,0.1986
GAIA DR3 1156350542072311936,460392687,3.4395,0.0721,2.0943
TIC 157111854,157111854,9.6592,0.5374,0.5712
TIC 443618968,443618968,11.1874,0.7178,0.2862
GAIA DR3 6125777546372427904,334862943,18.1741,1.8741,0.1387
TIC 434098867,434098867,17.1363,0.8488,0.2552
TIC 313808331,313808331,0.5646,0.002,0.362
TIC 99828446,99828446,15.6298,0.8031,0.5114
TIC 441721258,441721258,0.3451,0.0005,0.0909
TIC 249088286,249088286,9.0428,0.472,0.0935
TIC 331899888,331899888,11.9782,0.5809,0.2377
TIC 252472545,252472545,18.8732,2.0198,0.0983
TIC 201426753,201426753,1.7157,0.0097,1.8821
TIC 290186449,290186449,18.5645,1.1311,0.1267
TIC 230241164,230241164,11.0528,0.4091,0.1733
TIC 443725252,443725252,3.7953,0.087,0.5542
TIC 148894032,148894032,11.6988,0.5546,0.2485
TIC 141973157,141973157,17.4444,1.229,0.1962
TIC 173793940,173793940,19.2018,1.4794,0.1089
TIC 50616953,50616953,9.4298,0.2581,0.3076
TIC 272594729,272594729,1.7851,0.0209,1.644
TIC 165108083,165108083,11.642,0.5541,0.3503
TIC 372954747,372954747,14.6779,0.8679,0.2698
TIC 303317324,303317324,19.4664,2.1476,0.095
TIC 401841366,401841366,19.1414,2.0771,0.142
TIC 220537366,220537366,6.7903,0.0898,0.8767
TIC 201919099,201919099,7.5201,0.1472,1.1966
TIC 100104021,100104021,14.8171,0.8843,0.1068
TIC 60604229,60604229,7.4047,0.2255,0.5449
TIC 374449098,374449098,0.358,0.001,0.1614
TIC 387426198,387426198,16.2433,1.0612,0.1835
TIC 262922700,262922700,19.2985,1.2306,0.1958
TIC 266997586,266997586,3.5859,0.0349,2.167
TIC 240764947,240764947,14.4919,1.1968,0.5829
TIC 17668753,17668753,10.1256,0.3433,0.4855
TIC 170999616,170999616,2.7588,0.0473,0.082
TIC 414657509,414657509,6.6905,0.2615,0.2063
TIC 288158059,288158059,9.4742,0.3666,0.4419
TIC 296321403,296321403,2.2378,0.0106,1.2421
TIC 322055606,322055606,9.8646,0.3961,0.1219
TIC 306424472,306424472,14.0689,0.5702,0.2793
TIC 142962481,142962481,2.9746,0.0315,0.8083
TIC 197985794,197985794,18.7462,1.9929,0.1189
TIC 161172870,161172870,11.5003,0.7579,0.1345
TIC 253934491,253934491,8.3552,0.3485,0.2604
TIC 448847484,448847484,2.3035,0.0337,0.2402
TIC 245826993,245826993,5.4961,0.1782,0.1992
TIC 219196871,219196871,18.6763,1.1471,0.1511
TIC 436651598,436651598,8.6299,0.1929,0.3949
TIC 59130491,59130491,11.6162,0.773,0.1704
TIC 283858338,283858338,4.859,0.0573,0.7978
TIC 14343469,14343469,8.5446,0.4223,0.1337
TIC 42461496,42461496,9.1578,0.3424,0.2402
TIC 333493483,333493483,10.1459,0.342,0.3253
TIC 68936604,68936604,1.0287,0.0035,0.0806
TIC 243186210,243186210,1.3798,0.0058,1.4166
TIC 207141127,207141127,10.4651,0.6293,0.1339
TIC 16045498,16045498,8.1162,0.2699,0.287
TIC 282716421,282716421,11.6752,0.556,0.3085
TIC 37300889,37300889,8.4631,0.4144,0.4166
TIC 176471832,176471832,8.1676,0.3865,0.6351
TIC 320194569,320194569,14.9204,0.9034,0.465
TIC 330704922,330704922,8.061,0.1887,0.822
TIC 453050688,453050688,8.4352,0.1693,0.5283
TIC 102628187,102628187,6.5229,0.1245,0.4037
TIC 191992218,191992218,3.5166,0.0434,0.5902
TIC 198514308,198514308,11.6986,0.393,0.2898
TIC 800011138,800011138,12.0687,0.4864,0.126
TIC 146522418,146522418,14.0574,1.1269,0.8307
TIC 65890297,65890297,1.0767,0.0059,0.2627
TIC 66683055,66683055,18.0369,1.8461,0.1751
TIC 140064264,140064264,7.788,0.1438,0.6825
TIC 306472525,306472525,22.2862,1.9875,0.1338
TIC 231064750,231064750,3.9835,0.0552,1.56
TIC 177502000,177502000,18.9355,2.033,0.1628
TIC 27068990,27068990,21.6951,2.6632,0.1014
TIC 27415380,27415380,0.3693,0.0007,3.0514
TIC 23675869,23675869,22.1274,1.9678,0.1692
TIC 176285385,176285385,8.6807,0.3095,0.4149
TIC 62483237,62483237,7.1207,0.2954,0.2198
TIC 293803474,293803474,15.8485,0.7193,0.1406
TIC 436248822,436248822,5.8265,0.1996,0.2204
TIC 459221889,459221889,10.0521,0.3373,0.2278
TIC 2518520,2518520,17.1779,1.1879,0.1073
TIC 406280308,406280308,13.5994,0.7463,0.1849
TIC 95251344,95251344,5.6837,0.1346,2.1704
TIC 445062527,445062527,11.8934,0.667,0.1265
TIC 280112043,280112043,4.6263,0.0902,0.976
TIC 72020273,72020273,0.3528,0.0009,1.1334
TIC 420359321,420359321,8.8322,0.2023,0.1681
TIC 13090585,13090585,7.9446,0.2118,0.2231
TIC 33168946,33168946,6.2418,0.1614,0.2671
TIC 346066575,346066575,12.4705,0.8893,0.1168
TIC 201938513,201938513,10.1068,0.2628,1.6579
TIC 202510236,202510236,20.2952,1.1737,0.2325
TIC 298163220,298163220,21.3924,1.8321,0.1793
TIC 256193494,256193494,21.4001,1.301,0.1463
TIC 332703198,332703198,14.8737,1.26,0.3352
TIC 151584725,151584725,4.1498,0.0422,0.8446
TIC 77175217,77175217,11.2608,0.4221,0.2379
TIC 96796078,96796078,7.7872,0.3519,0.1113
TIC 172107518,172107518,9.7158,0.3165,0.4695
TIC 447283466,447283466,9.3417,0.2258,0.3679
TIC 443951531,443951531,9.3216,0.2541,0.4119
TIC 50719539,50719539,18.3519,1.9106,0.0875
TIC 396827562,396827562,16.7344,0.9363,0.2699
TIC 178855846,178855846,6.7575,0.1885,0.4192
TIC 374792618,374792618,12.2669,0.6135,0.224
TIC 314982152,314982152,10.9682,0.6903,0.158
TIC 164752885,164752885,2.6776,0.0316,0.5664
TIC 310990869,310990869,11.427,0.7484,0.185
TIC 290599468,290599468,10.5557,0.64,0.3108
TIC 392755236,392755236,18.27,1.8938,0.1356
TIC 159835781,159835781,5.1153,0.0895,0.4859
TIC 189643457,189643457,16.5616,1.5589,0.0967
TIC 277776527,277776527,19.8671,1.3122,0.1916
TIC 324814573,324814573,14.1899,0.8127,0.3622
TIC 41830276,41830276,14.0657,1.1282,0.1143
TIC 22177114,22177114,2.3836,0.0147,0.2876
TIC 347299560,347299560,13.3975,0.7249,0.2312
TIC 126236473,126236473,8.4873,0.2088,0.4037
TIC 257659158,257659158,11.034,0.407,0.1682
TIC 130181866,130181866,6.6042,0.1487,0.3101
TIC 12523915,12523915,10.6436,0.6506,0.0937
TIC 381165504,381165504,10.2245,0.4252,0.2493
TIC 185260035,185260035,4.4279,0.0828,0.1916
TIC 13073157,13073157,10.3745,0.6186,0.1062
TIC 289726188,289726188,16.2094,0.8627,0.7319
TIC 166852313,166852313,0.5189,0.0014,0.8554
TIC 141584302,141584302,10.9594,0.4873,0.1513
TIC 219313351,219313351,8.856,0.2294,0.3214
GAIA DR3 3413223227530503168,18803925,9.2563,0.3719,0.2481
TIC 201175218,201175218,13.3601,0.7206,0.4324
TIC 394210384,394210384,2.5675,0.0156,1.5284
TIC 229899656,229899656,8.6928,0.4368,0.2292
TIC 61031747,61031747,14.2349,1.1552,0.3482
TIC 17331239,17331239,5.5881,0.1316,0.298
TIC 349821022,349821022,10.4371,0.4507,0.2836
TIC 467154284,467154284,16.0957,0.8563,0.4777
TIC 153442844,153442844,15.1689,1.31,0.376
TIC 114021052,114021052,5.093,0.0769,1.0429
TIC 365027003,365027003,16.1624,1.0538,0.3257
TIC 9867665,9867665,5.1969,0.1259,0.2661
TIC 291702319,291702319,5.1875,0.1592,0.1394
TIC 170105959,170105959,15.4392,0.965,0.1958
TIC 235016317,235016317,8.511,0.419,0.6261
TIC 34900,34900,2.3945,0.0362,0.4245
TIC 138168262,138168262,0.5386,0.0015,0.7899
TIC 120454069,120454069,3.9532,0.0941,0.1935
TIC 207004850,207004850,3.5246,0.0534,0.265
TIC 10863087,10863087,0.8589,0.004,0.7418
TIC 229658137,229658137,9.9023,0.5643,0.1621
TIC 419992982,419992982,20.0319,2.2732,0.1444
TIC 150226097,150226097,9.9177,0.4013,0.4609
GAIA DR3 6609416427538145024,47390639,19.7247,2.2046,0.1107
TIC 25422091,25422091,8.9942,0.467,0.5075
TIC 178587576,178587576,10.7463,0.4689,0.2834
GAIA DR3 5599363707202178688,110974298,10.9215,0.4852,0.2154
TIC 89867372,89867372,11.5736,0.5428,0.3592
TIC 44373070,44373070,7.839,0.1791,0.2623
TIC 296449410,296449410,0.3351,0.0009,1.136
TIC 149831807,149831807,9.5073,0.3683,0.161
TIC 156295869,156295869,5.8622,0.202,0.2628
TIC 65544042,65544042,19.8081,1.572,0.1297
TIC 156161649,156161649,15.8575,1.4304,0.126
TIC 344771096,344771096,10.0878,0.4148,0.4458
TIC 257398687,257398687,10.6745,0.6543,0.2044
TIC 98350165,98350165,2.7629,0.0475,0.1273
TIC 215818454,215818454,5.9654,0.1208,0.415
TIC 54272677,54272677,15.1901,0.7601,0.474
TIC 317556537,317556537,18.5865,1.9594,0.3105
TIC 100734189,100734189,9.2999,0.3529,0.3828
TIC 147794951,147794951,9.4555,0.3646,0.2855
TIC 164544772,164544772,8.013,0.3722,0.1735
TIC 231005004,231005004,1.0142,0.0053,0.0972
TIC 632011518,632011518,9.9504,0.5697,0.2793
TIC 89003913,89003913,16.6703,1.5792,0.2103
TIC 350023518,350023518,8.325,0.2837,0.7635
TIC 152870342,152870342,18.1199,1.863,0.177
TIC 219287543,219287543,8.7052,0.438,0.1737
TIC 311682650,311682650,10.0397,0.2055,0.1871
TIC 27972833,27972833,6.1664,0.1293,0.2538
TIC 37497829,37497829,18.6695,1.9768,0.2213
TIC 207141131,207141131,8.799,0.2587,0.6543
TIC 214616383,214616383,8.4817,0.4162,0.2671
TIC 464318311,464318311,9.7313,0.3156,0.1156
TIC 6418456,6418456,13.4063,0.7255,0.4589
TIC 77476299,77476299,18.8767,2.0205,0.1248
TIC 88115150,88115150,17.0862,1.6583,0.1562
TIC 310363348,310363348,15.0944,0.9179,0.1607
TIC 147574364,147574364,9.7475,0.2453,0.2648
TIC 342160220,342160220,11.2704,0.7283,0.1759
TIC 147133612,147133612,3.3475,0.0306,1.8486
TIC 130088953,130088953,6.5433,0.1774,0.5378
TIC 192883961,192883961,10.6168,0.3758,0.2039
TIC 285051624,285051624,15.6217,1.3885,0.1873
TIC 436248798,436248798,5.3415,0.1193,0.5617
TIC 219998026,219998026,2.3054,0.0138,1.1208
TIC 202299286,202299286,14.8856,0.8977,0.1851
TIC 39048880,39048880,1.418,0.0097,0.0962
TIC 149011028,149011028,15.0249,0.9151,0.2571
TIC 266637623,266637623,14.1906,1.1481,0.3866
TIC 32869782,32869782,6.9795,0.284,0.2313
TIC 69048221,69048221,18.0775,1.8544,0.2273
TIC 318068483,318068483,19.6134,1.5632,0.1544
TIC 99619687,99619687,5.5372,0.081,0.716
TIC 400031068,400031068,9.4848,0.5185,0.1116
TIC 52988782,52988782,12.8655,0.9458,0.124
TIC 79042694,79042694,17.9964,1.8379,0.1641
TIC 7131321,7131321,9.1423,0.3417,0.3871
TIC 314604460,314604460,1.4404,0.0063,2.5728
TIC 119059323,119059323,0.9889,0.0032,3.3097
TIC 117748478,117748478,0.6103,0.0022,1.5854
TIC 224270720,224270720,9.2915,0.4979,0.0931
TIC 382525982,382525982,7.481,0.1629,0.801
TIC 208538982,208538982,2.3186,0.0197,3.7454
TIC 4917919,4917919,20.6929,2.4245,0.1358
TIC 80062271,80062271,8.6784,0.3081,0.126
TIC 318360556,318360556,3.4623,0.073,0.3401
TIC 67517644,67517644,9.1276,0.2779,0.3954
TIC 236387002,236387002,4.4352,0.1175,0.21
TIC 357239204,357239204,6.1915,0.1006,0.9148
TIC 429152610,429152610,4.6731,0.0751,1.7454
TIC 35420590,35420590,1.3958,0.0067,4.234
TIC 90296026,90296026,8.2363,0.2799,0.1012
TIC 734673416,734673416,2.4298,0.0124,1.0159
TIC 257373247,257373247,20.1081,2.2904,0.2772
TIC 238345947,238345947,17.9185,1.2988,0.1196
TIC 436648713,436648713,8.8624,0.3491,0.2182
TIC 436590739,436590739,8.1818,0.2242,0.3631
TIC 82928545,82928545,11.6988,0.7839,0.1405
TIC 436616404,436616404,12.5395,0.6358,0.6689
TIC 74998709,74998709,16.422,1.533,0.1637
TIC 247439806,247439806,18.2462,1.3357,0.1174
TIC 397562124,397562124,2.5237,0.04,0.0661
TIC 121421711,121421711,5.2657,0.0821,0.5688
TIC 10923481,10923481,1.8928,0.0233,0.0625
TIC 231387465,231387465,9.5749,0.3741,1.015
TIC 262689575,262689575,21.6017,2.6405,0.1188
TIC 91528642,91528642,2.5014,0.0278,0.3568
TIC 406507295,406507295,0.2435,0.0008,0.1801
TIC 297060174,297060174,9.5263,0.3698,0.278
TIC 103030658,103030658,18.2749,1.3398,0.1869
TIC 165624285,165624285,7.1901,0.301,0.1695
TIC 293066086,293066086,0.4654,0.0012,2.5747
TIC 64070385,64070385,11.5998,0.5526,0.2956
TIC 44670257,44670257,4.5508,0.0874,1.1881
TIC 44796808,44796808,3.7382,0.0488,1.1691
TIC 140337915,140337915,2.7219,0.0266,1.0709
TIC 286311568,286311568,9.7515,0.3163,0.537
TIC 44677835,44677835,9.6937,0.5412,0.3292
TIC 307770692,307770692,4.9726,0.1037,0.7388
TIC 47172948,47172948,11.8089,0.7986,0.8595
TIC 392471970,392471970,8.71,0.4385,0.3667
TIC 469782507,469782507,9.1099,0.2765,0.2855
TIC 99303738,99303738,3.1512,0.0431,0.1998
TIC 101133930,101133930,0.3544,0.0009,0.0694
TIC 125525409,125525409,18.9929,2.0453,0.1421
TIC 313868137,313868137,6.2407,0.2282,0.0864
TIC 233435605,233435605,13.6431,1.0621,0.1232
TIC 254852349,254852349,9.7305,0.3862,0.3629
TIC 310522457,310522457,7.4067,0.319,0.1391
TIC 331542393,331542393,7.3794,0.1829,0.2066
TIC 311386891,311386891,12.6904,0.652,0.6346
TIC 219368037,219368037,13.9092,0.7818,0.3303
TIC 5718172,5718172,10.5721,0.642,0.0906
TIC 259761784,259761784,0.1113,0.0003,0.3808
TIC 234180475,234180475,15.5588,1.3775,0.0935
TIC 283397452,283397452,3.8461,0.0338,0.5983
TIC 386195064,386195064,15.2195,0.7651,0.2745
TIC 103698218,103698218,15.278,1.3287,0.1634
TIC 424118390,424118390,12.1159,0.84,0.2972
TIC 248644661,248644661,9.4989,0.3677,0.3231
TIC 114923539,114923539,7.2445,0.2164,0.5251
TIC 150201501,150201501,6.5572,0.2514,0.1337
TIC 32406942,32406942,14.5386,1.2045,0.1231
GAIA DR3 842730209053336192,309863014,18.5367,1.949,0.116
TIC 381131055,381131055,1.66,0.0092,2.6606
TIC 422753154,422753154,10.4586,0.6285,0.2332
TIC 354790980,354790980,5.8519,0.2013,0.8105
TIC 86037013,86037013,6.4497,0.1217,1.4953
TIC 88775119,88775119,12.7678,0.6588,0.2641
TIC 405187645,405187645,3.5865,0.0451,0.3041
TIC 191833127,191833127,2.4245,0.0262,0.2199
TIC 232980902,232980902,16.809,0.813,0.2036
TIC 436452961,436452961,13.5407,0.6081,0.1803
TIC 218604599,218604599,15.066,0.9145,0.0953
TIC 265206385,265206385,0.595,0.0017,2.0232
TIC 290970527,290970527,2.1185,0.0166,0.9003
TIC 270693260,270693260,21.2968,2.567,0.1329
TIC 206484162,206484162,14.8996,0.8947,0.1812
TIC 16808022,16808022,14.7296,1.236,0.2004
TIC 706872397,706872397,6.8236,0.1923,0.5305
TIC 118520296,118520296,7.7958,0.25,0.437
TIC 181980734,181980734,7.7878,0.352,0.6277
TIC 303206437,303206437,16.5575,1.5581,0.1831
TIC 187713602,187713602,18.8519,2.0153,0.1391
TIC 35608104,35608104,11.0422,0.6995,0.508
TIC 13669942,13669942,8.2897,0.3979,0.3606
TIC 449242492,449242492,8.6979,0.4373,0.3082
TIC 61105426,61105426,12.1014,0.456,0.2775
TIC 266017643,266017643,8.9972,0.4673,0.2001
TIC 469818625,469818625,19.5395,1.2595,0.1486
TIC 268129495,268129495,5.2715,0.1162,1.1122
TIC 257500724,257500724,7.5216,0.3288,0.1489
TIC 298801915,298801915,0.4032,0.0007,4.1957
TIC 423246899,423246899,10.0653,0.4126,0.5269
TIC 114939105,114939105,11.0829,0.4132,0.1707
TIC 167699908,167699908,0.7706,0.0027,0.582
TIC 36470588,36470588,6.3562,0.1185,0.3616
TIC 309661100,309661100,1.3161,0.0085,0.2311
TIC 50616959,50616959,9.6897,0.2427,0.311
TIC 214616384,214616384,8.4817,0.4162,0.2671
TIC 67481284,67481284,13.9441,1.109,0.2765
TIC 305978886,305978886,8.4572,0.2926,2.2889
TIC 332146607,332146607,13.2621,1.0043,0.4197
TIC 118038152,118038152,9.0541,0.3346,0.5622
TIC 276000267,276000267,8.5892,0.4266,0.1429
TIC 185282173,185282173,6.0183,0.2126,0.1076
TIC 216611426,216611426,11.7118,0.5623,0.1849
TIC 390415300,390415300,11.5086,0.759,0.1813
TIC 113542154,113542154,1.7327,0.0198,0.2321
TIC 60005364,60005364,6.9339,0.162,1.27
TIC 23708421,23708421,9.419,0.296,0.3162
TIC 86437992,86437992,6.2987,0.2324,0.6765
TIC 189886310,189886310,10.4665,0.6294,0.079
TIC 71720600,71720600,6.9865,0.2533,0.2434
TIC 97526849,97526849,14.5809,1.2114,0.3767
TIC 156376212,156376212,11.1353,0.7112,0.1907
TIC 124443199,124443199,10.4859,0.6317,0.2446
TIC 18485128,18485128,8.1996,0.1956,0.3277
TIC 425614291,425614291,6.5943,0.2126,0.177
TIC 79566479,79566479,2.9172,0.0304,3.0472
TIC 154841835,154841835,0.7231,0.003,0.1355
TIC 347934349,347934349,17.1446,1.6695,0.1736
TIC 386955374,386955374,4.4869,0.0694,0.5127
TIC 268177209,268177209,11.3202,0.553,0.2732
TIC 21745087,21745087,10.0074,0.4081,0.3198
TIC 37389381,37389381,18.9965,2.046,0.1151
TIC 321438562,321438562,4.7282,0.1232,0.1628
TIC 57284670,57284670,17.0702,1.1704,0.4795
TIC 357134094,357134094,19.3357,1.5343,0.1972
TIC 176548942,176548942,15.0545,1.2905,0.0871
TIC 18148055,18148055,11.1684,0.507,0.4227
TIC 209451163,209451163,11.8746,0.8073,0.3784
TIC 240764948,240764948,14.4919,1.1968,0.5829
TIC 116850131,116850131,10.461,0.6288,0.1512
TIC 437379819,437379819,20.974,2.4903,0.104
TIC 264428250,264428250,14.3586,1.1751,0.1032
TIC 140157120,140157120,5.1083,0.1546,0.2956
