,star_name,gaiadr3,HD,logRHK
85,TIC 408130762,2486984045196486656,14635,-4.470
86,TIC 66574369,5145956864601439232,15767,-4.510
87,TIC 238870740,4644127147661088768,16348,-4.600
88,TIC 142206123,4946938113149426688,16157,-3.940
89,TIC 64070385,5125414998097353728,16270,-4.400
90,TIC 35722731,2495442626804315136,16287,-4.390
91,TIC 318753380,2501948402746099712,,
92,TIC 166853853,4745373133284418560,17051,-4.598
93,TIC 142299854,4753355209745021952,17155,-5.010
94,TIC 70964316,3175952638346424832,,
95,TIC 436862182,114575472461716864,17190,-4.870
96,TIC 387422624,25488745411919360,17230,-4.660
97,TIC 204614039,5077642283022423040,,
98,TIC 397367857,128685947561889920,,
99,TIC 397368422,114832620743735808,17382,-4.460
100,TIC 218291131,33439176553394048,17660,-4.510
101,TIC 178170409,5052007684818274304,17970,-5.055
102,TIC 178199109,5049234888291201024,18168,-4.380
103,TIC 257918985,34959010860789632,18144,-4.825
104,TIC 436933290,116037371954842240,18143,-5.025
105,TIC 387609654,8479094371605632,18632,-4.310
106,TIC 34691643,115311458058061440,18803,-4.810
107,TIC 286636275,466294295706341760,18757,-4.995
108,TIC 220571983,4723578819956587520,19819,-4.600
109,TIC 88479531,5074705521824867328,,
110,TIC 88479529,5074705624904081408,,
111,TIC 88481300,5074588389476852736,19632,-4.438
112,TIC 88533834,5073448642595675136,20280,-4.530
113,TIC 365441779,14163878724940672,20165,-4.857
114,TIC 153027837,4847282124418880512,20407,-4.730
115,TIC 101349357,122704230645584768,20367,-4.500
116,TIC 101407846,125190054638221696,,
117,TIC 279069526,3261878613062758400,20619,-4.770
118,TIC 259248295,443016706832479488,232781,-4.580
119,TIC 142866751,5055285363339907072,21021,-4.920
120,TIC 200781247,4737533134341791744,,
121,TIC 200781244,4737533237421005824,21209,-4.790
122,TIC 385109163,241393040535105280,,
123,TIC 160004049,4852870701505116160,21175,-4.695
124,TIC 279182339,5170039467784804352,21197,-4.610
125,TIC 142875660,5056511692465250304,21411,-4.780
126,TIC 279741379,4673947174316727296,21749,-4.680
127,TIC 200851505,4833654227548585984,22496,-4.570
128,TIC 301564622,3250489115709122560,22879,-4.920
129,TIC 100993643,4833306713154584576,,
130,TIC 457140535,3271668905115228672,,
131,TIC 89148220,5085376076015097856,,
132,TIC 155776776,5114240352186781696,,
133,TIC 434136640,43335880716390784,,
