,angDist,Name,SimbadName,HIP,B-V,VMAG,GSVal,log(R'HK),Per,l_log(Age),log(Age),Svalues,_RA,_DE,recno,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP_1,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID
1062,0.077159,104556,HIP 58708,58708,0.86,2.92,0.126,-5.23,55.0,,10.07,Svalues,180.6205,43.0841,602,141201954,180.62048253286,43.08408277687,180.618,43.082,90,58708,3019-02029-1,,12022896+4305030,,,1537769304681442304,,,STAR,tmgaia2,tmgaia2,-347.077,0.044,-510.84,0.04,gaia2,17.5986,0.0392,gaia2,7.495,0.071,6.639,0.003,,,,,,,,,,,5.1,0.18,4.583,0.158,4.419,0.017,CCA-331-111-000-0-0,,,,,,,,,6.36756,0.000314,5.808,0.006,gbprp,spect,4802.2,35.1,,,-0.38,0.03,4.056,,,,,,GIANT,,,56.7297,0.1272,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,6.85852,0.002456,5.76749,0.002408,1,mermil,mermil,,0.74186419024,0.62803667188,180.61843645238,43.08188334539,0.0291966005,0.02292146361,0,0,144824762
1063,0.188459,104800,HIP 58843,58843,0.585,5.23,0.163,-4.94,16.0,,9.65,Svalues,181.0232,3.3408,603,376814040,181.02317811147,3.34075242875,181.023,3.338,90,58843,0283-00408-1,467-046168,12040556+0320266,,,3892975987936521216,36275114,,STAR,tmgaia2,tmgaia2,59.863,0.125,-575.37,0.072,gaia2,13.8715,0.0752,gaia2,9.802,0.041,9.21,0.03,,,,,,,,,,,8.084,0.024,7.765,0.042,7.669,0.024,AAA-111-111-000-0-0,,,,,,,,,9.05745,0.000241,8.643,0.006,gbprp,spect,5863.0,106.0,4.5299,0.0681,-0.64,0.1,0.926,0.038,1.06,0.129,1.334,0.2512,DWARF,0.91329,0.02768,71.9438,0.392,0.0,0.0,27,0.0003,,,0.0,0.0,0.0,,0.103,0.156,0.038,0.037,0.2733,0.2292,0.075,0.0611,0.02933,0.02603,0.3899,0.3941,bj2018,73.7,138.3,spect,9.38505,0.001457,8.5976,0.001396,1,hipvmag,tycho2b3,,1.93197374481,1.12070724812,181.02343629542,3.33827514126,0.05167819515,0.0375948152,1,0,144924044
1064,0.080212,104860,HIP 58876,58876,0.596,4.52,0.349,-4.39,4.0,,8.52,Svalues,181.1405,66.3366,604,142962481,181.14054549814,66.33658723387,181.14,66.337,90,58876,4160-00122-1,782-022531,12043372+6620115,,J120433.63+662012.2,1681330368961562112,59334470,,STAR,tmgaia2,tmgaia2,-57.141,0.05,51.586,0.05,gaia2,22.1237,0.0346,gaia2,8.505,0.024,7.92,0.03,,,,,,,,,,,6.822,0.018,6.58,0.016,6.499,0.017,AAA-111-111-000-0-0,6.468,0.074,6.415,0.024,6.48,0.015,6.357,0.058,7.75848,0.000638,7.36,0.006,gbprp,spect,6000.0,145.8,4.4777,0.0843,-0.01,0.1,1.007,0.054,1.11,0.147,1.0885,0.2576,DWARF,1.18293,0.03542,45.1415,0.071,0.0,0.0,32,0.0001,,,0.008493,0.0,0.0,,0.123,0.172,0.049,0.06,0.2146,0.3005,0.0668,0.1017,0.03159,0.03925,0.0709,0.0711,bj2018,178.1,113.4,spect,8.07915,0.002166,7.32174,0.002062,1,hipvmag,tycho2b3,,0.92566082679,0.7724064744,181.13993252528,66.33680934017,0.03026821013,0.02517505281,1,0,144909019
1065,0.118735,104985,HIP 58952,58952,1.029,0.74,0.076,,,,,Svalues,181.313,76.9057,605,160224839,181.31299042947,76.90573291046,181.316,76.905,90,58952,4550-02113-1,835-011953,12051510+7654205,,J120515.61+765419.9,1693159194226600192,,,STAR,tmgaia2,tmgaia2,147.071,0.115,-92.204,0.103,gaia2,9.9146,0.0706,gaia2,6.824,0.018,5.794,0.023,,,,,,,,,,,4.112,0.226,3.547,0.194,3.274,0.304,DCD-333-111-000-0-0,3.348,0.529,3.134,0.379,3.326,0.013,3.248,0.019,5.49698,0.00189,4.887,0.007,rered,spect,4679.4,14.0,,,-0.3933,0.0188,11.63,,,,,,GIANT,,,100.576,0.719,0.0077,0.0038,,,,,,0.004,0.0036,panstarrs,,,,,,,,,,,,,bj2018,,,spect,6.04483,0.002075,4.84341,0.004862,1,sirful,tycho2b3,,2.26888372741,1.5925895295,181.31578544867,76.9053359352,0.06219281737,0.05738030934,0,0,144919978
1066,0.178623,105113 B,HIP 59021,59021,,,0.18,,,,,Svalues,181.5216,-32.9612,606,142328358,181.52164751155,-32.96122954225,181.521,-32.962,90,59021,7235-00407-1,286-065191,12060519-3257402,,J120605.04-325741.3,3466217935643483136,16167581,,STAR,tmgaia2,tmgaia2,-77.387,0.047,-193.561,0.026,gaia2,20.6479,0.0401,gaia2,7.21,0.023,6.49,0.03,,,,,,,,,,,5.49,0.02,5.242,0.036,5.102,0.018,AAA-111-111-000-0-0,4.768,0.272,4.614,0.1,4.879,0.015,4.896,0.028,6.45564,0.00027,6.049,0.006,gbprp,spect,5892.3,103.0,3.8473,0.073,-0.1173,0.0216,2.042,0.083,1.07,0.135,0.1256,0.0249,DWARF,4.52876,0.12897,48.3635,0.0944,0.0,0.0,115,0.1619,,,0.002704,0.0,0.0,,0.149,0.122,0.079,0.087,0.0244,0.0253,0.0844,0.0616,0.14245,0.1155,0.0943,0.0946,bj2018,109.3,96.7,spect,6.78251,0.000706,6.00996,0.001684,1,hipvmag,tycho2b3,,0.76542065913,0.40820639404,181.52125039558,-32.96206293052,0.02902400539,0.01606250579,1,0,785500799
1067,0.178623,105113 A,HIP 59021,59021,0.623,2.94,0.145,-5.09,24.0,,9.89,Svalues,181.5216,-32.9612,607,142328358,181.52164751155,-32.96122954225,181.521,-32.962,90,59021,7235-00407-1,286-065191,12060519-3257402,,J120605.04-325741.3,3466217935643483136,16167581,,STAR,tmgaia2,tmgaia2,-77.387,0.047,-193.561,0.026,gaia2,20.6479,0.0401,gaia2,7.21,0.023,6.49,0.03,,,,,,,,,,,5.49,0.02,5.242,0.036,5.102,0.018,AAA-111-111-000-0-0,4.768,0.272,4.614,0.1,4.879,0.015,4.896,0.028,6.45564,0.00027,6.049,0.006,gbprp,spect,5892.3,103.0,3.8473,0.073,-0.1173,0.0216,2.042,0.083,1.07,0.135,0.1256,0.0249,DWARF,4.52876,0.12897,48.3635,0.0944,0.0,0.0,115,0.1619,,,0.002704,0.0,0.0,,0.149,0.122,0.079,0.087,0.0244,0.0253,0.0844,0.0616,0.14245,0.1155,0.0943,0.0946,bj2018,109.3,96.7,spect,6.78251,0.000706,6.00996,0.001684,1,hipvmag,tycho2b3,,0.76542065913,0.40820639404,181.52125039558,-32.96206293052,0.02902400539,0.01606250579,1,0,785500799
1068,0.012739,105405,HIP 59175,59175,0.515,4.02,0.153,-4.96,10.0,,9.69,Svalues,182.029,39.6555,608,21598259,182.02900075444,39.65549650949,182.028,39.655,90,59175,3017-02101-1,649-050168,12080698+3939197,,J120806.83+393919.8,1536014999519655936,,,STAR,tmgaia2,tmgaia2,-149.297,0.052,-8.1,0.06,gaia2,21.0214,0.0389,gaia2,7.824,0.023,7.33,0.03,,,,,,,,,,,6.318,0.017,6.104,0.02,6.047,0.017,AAA-111-111-000-0-0,6.044,0.113,5.974,0.041,6.07,0.015,5.994,0.046,7.19222,0.000296,6.832,0.006,gbprp,spect,6164.1,105.7,4.279,0.0768,-0.21,0.03,1.299,0.051,1.17,0.16,0.5337,0.1071,DWARF,2.19481,0.07514,47.5053,0.0886,0.0,0.0,24,0.0004,,,0.005116,0.0,0.0,,0.141,0.179,0.048,0.055,0.1017,0.1125,0.0978,0.0559,0.08199,0.0683,0.0884,0.0887,bj2018,83.0,128.4,spect,7.47968,0.001887,6.79681,0.001924,1,hipvmag,tycho2b3,,0.85808490239,0.92758259642,182.02816582742,39.65546163907,0.02901157767,0.02977471799,1,0,145066227
1069,0.115561,105590,HIP 59272,59272,0.666,4.62,0.173,-4.93,25.0,,9.63,Svalues,182.3689,-11.8571,609,152854208,182.36888518586,-11.85707136033,182.37,-11.858,90,59272,5522-01685-1,391-056520,12092849-1151251,,,3574377616021489152,,,STAR,tmgaia2,tmgaia2,313.931,0.116,-166.752,0.102,gaia2,40.2312,0.095,gaia2,7.45,0.022,6.578,0.023,,,,,,,,,,,5.646,0.02,5.379,0.026,5.271,0.024,AAA-111-111-ddd-0-0,,,,,,,,,6.65215,0.000247,6.216,0.006,gbprp,spect,5499.4,119.2,4.3253,0.0789,-0.3,0.09,1.116,0.056,0.96,0.123,0.6914,0.1495,DWARF,1.02565,0.02353,24.8387,0.0591,0.0,0.0,53,0.3017,,,0.006066,0.0,0.0,,0.13,0.116,0.061,0.051,0.1404,0.1585,0.0947,0.0631,0.02134,0.02572,0.0589,0.0592,bj2018,124.8,113.6,spect,7.01308,0.001381,6.18205,0.001461,1,sirful,tycho2b3,,1.8150358956,1.58411906579,182.37026630182,-11.85778932368,0.08329370035,0.05571464152,1,0,786918769
1070,0.090041,105618,HIP 59278,59278,0.71,4.51,0.145,-5.11,36.0,,9.91,Svalues,182.4026,11.2116,610,397519199,182.40258793653,11.21157796509,182.402,11.212,90,59278,0869-00881-1,507-052690,12093662+1112416,,J120936.54+111241.6,3906803888551408128,40571577,,STAR,tmgaia2,tmgaia2,-104.613,0.101,-1.96,0.049,gaia2,14.24,0.0499,gaia2,9.251,0.0,8.63,0.03,,,,,,,,,,,7.416,0.027,7.139,0.034,7.014,0.018,AAA-111-111-000-0-0,6.961,0.058,7.078,0.02,7.085,0.018,7.066,0.108,8.46692,0.000218,8.022,0.006,gbprp,spect,5671.0,105.9,4.2321,0.0735,,,1.274,0.055,1.01,0.129,0.4885,0.0944,DWARF,1.5124,0.03667,70.0837,0.247,0.0,0.0,27,0.0085,,,0.003549,0.0,0.0,,0.131,0.127,0.069,0.04,0.0928,0.096,0.0709,0.076,0.03799,0.03535,0.2462,0.2478,bj2018,129.8,81.9,spect,8.82977,0.000934,7.98069,0.001248,1,hipvmag,apassdr9,,1.56925826392,0.75804822492,182.4021287564,11.2115695253,0.04651883916,0.02381322102,1,0,145100298
1071,0.182455,105631,HIP 59280,59280,0.794,5.53,0.289,-4.65,24.0,,9.2,Svalues,182.4052,40.2521,611,21623610,182.40523478478,40.25205682757,182.403,40.252,90,59280,3017-01558-1,652-052125,12093730+4015077,,,1536064958579187712,51598795,,STAR,tmgaia2,tmgaia2,-314.204,0.047,-50.999,0.074,gaia2,39.8226,0.0556,gaia2,8.259,0.064,7.465,0.012,,,,,,,,,,,6.028,0.023,5.703,0.017,5.597,0.017,AAA-111-111-000-0-0,,,,,,,,,7.24038,0.000284,6.743,0.006,gbprp,spect,5382.0,110.6,4.4949,0.0749,0.13,0.1,0.903,0.044,0.93,0.112,1.2617,0.2647,DWARF,0.61682,0.01423,25.0932,0.0353,0.0,0.0,25,0.0101,,,0.008961,0.0,0.0,,0.095,0.13,0.032,0.057,0.1607,0.3687,0.0649,0.0848,0.01406,0.01439,0.0353,0.0353,bj2018,128.8,92.5,spect,7.66139,0.001237,6.70317,0.001922,1,mermil,mermil,,0.76914190961,1.14413767756,182.40346223978,40.25183726292,0.03193166933,0.0467075582,1,0,145068097
