,angDist,Name,SimbadName,HIP,B-V,VMAG,GSVal,log(R'HK),Per,l_log(Age),log(Age),Svalues,_RA,_DE,recno,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP_1,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID
0,0.14862,161555,HIP 86985,86985,0.671,3.63,0.144,-5.11,31.0,,9.91,Svalues,266.6325,-7.9857,892,297814619,266.63250451769,-7.9856589599,266.633,-7.986,90,86985,5661-00145-1,411-071649,17463180-0759083,,J174631.80-075909.8,4165670677112907776,4261510,,STAR,tmgaia2,tmgaia2,-1.664,0.091,-148.901,0.076,gaia2,16.7575,0.053,gaia2,7.967,0.023,7.35,0.03,,,,,,,,,,,6.211,0.023,5.894,0.034,5.816,0.027,AAA-111-111-000-0-0,5.796,0.166,5.747,0.049,5.833,0.016,5.796,0.049,7.18707,0.00026,6.759,0.006,gbprp,spect,5828.9,105.5,3.9306,0.071,0.1225,0.0195,1.838,0.077,1.05,0.127,0.1691,0.0331,DWARF,3.51294,0.0956,59.573,0.1893,0.0,0.0,761,0.0029,,,0.002785,0.0,0.0,,0.115,0.139,0.087,0.067,0.0259,0.0403,0.0721,0.0699,0.09563,0.09557,0.1888,0.1899,bj2018,115.1,95.9,spect,7.54103,0.001756,6.72575,0.003458,1,hipvmag,apassdr9,,1.41996507407,1.17844086196,266.63249728274,-7.98630006143,0.0470840898,0.04384586684,1,0,1331311902
1,0.19261,,HIP 87062,87062,0.605,5.67,0.165,-4.94,19.0,,9.66,Svalues,266.8665,-8.7799,893,298156358,266.86654728959,-8.77992604485,266.868,-8.781,90,87062,5661-00873-1,407-072575,17472796-0846474,,,4165370682239909888,4263382,,STAR,tmgaia2,tmgaia2,246.341,0.094,-364.259,0.078,gaia2,8.6445,0.0636,gaia2,11.153,0.011,10.6,0.03,,,,,,,,,,,9.172,0.026,8.863,0.042,8.77,0.021,AAA-112-111-000-0-0,,,,,,,,,10.3514,0.000432,9.883,0.006,rered,spect,5941.0,135.4,4.6578,0.081,-1.4573,0.0191,0.809,0.043,1.085,0.137,2.051,0.4739,DWARF,0.73415,0.02592,115.306,0.851,0.0135,0.0068,997,0.0474,,,0.000282,0.007,0.0065,panstarrs,0.128,0.146,0.045,0.041,0.3974,0.5504,0.0797,0.0823,0.02862,0.02323,0.845,0.857,bj2018,152.4,118.3,spect,10.7252,0.001141,9.82742,0.002179,1,hipvmag,apassdr9,,1.45722861114,1.20672208702,266.8676205001,-8.78149438326,0.04987872833,0.0511013719,1,0,1335092291
4,0.178313,161848,HIP 87089,87089,0.822,6.0,0.183,-4.95,40.0,,9.67,Svalues,266.9254,4.9396,894,350628427,266.9253823099,4.93964628974,266.923,4.939,90,87089,0424-01608-1,475-068000,17474206+0456227,,,4473406492614275072,,,STAR,tmgaia2,tmgaia2,-546.113,0.075,-215.07,0.077,gaia2,26.9664,0.0426,gaia2,9.707,0.031,8.91,0.03,,,,,,,,,,,7.337,0.023,6.959,0.04,6.822,0.02,AAA-111-111-000-0-0,,,,,,,,,8.66768,0.000238,8.134,0.006,gbprp,spect,5111.7,109.7,4.586,0.0803,-0.382,0.0268,0.782,0.042,0.86,0.102,1.7973,0.4091,DWARF,0.37632,0.00886,37.0435,0.0589,0.0,0.0,500,0.0036,,,0.007669,0.0,0.0,,0.083,0.122,0.04,0.044,0.3273,0.4909,0.0632,0.0975,0.0107,0.00702,0.0588,0.0589,bj2018,90.5,128.9,spect,9.12538,0.001631,8.09122,0.002612,1,hipvmag,tycho2b3,,1.16557473064,1.19436868182,266.92302222468,4.93872029811,0.04106468136,0.04558506291,1,0,176576215
5,0.15011,162826,HIP 87382,87382,0.541,3.93,0.144,-5.05,13.0,,9.83,Svalues,267.8084,40.0725,895,116246139,267.80842643247,40.0724635372,267.808,40.073,90,87382,3093-01946-1,651-059908,17511402+4004208,,J175114.01+400420.9,1344497769227698432,,,STAR,tmgaia2,tmgaia2,-16.811,0.046,9.684,0.044,gaia2,29.9723,0.0244,gaia2,7.089,0.023,6.566,0.023,,,,,,,,,,,5.493,0.023,5.302,0.016,5.234,0.021,AAA-111-111-000-0-0,5.28,0.179,5.116,0.076,5.282,0.015,5.204,0.039,6.41716,0.000308,6.048,0.006,gbprp,spect,6193.0,142.9,4.2923,0.0901,0.0292,0.0085,1.29,0.066,1.19,0.174,0.554,0.1318,DWARF,2.20626,0.07509,33.3319,0.0273,0.0,0.0,129,0.0014,,,0.007757,0.0,0.0,,0.144,0.204,0.072,0.06,0.1246,0.1391,0.0986,0.0817,0.08024,0.06994,0.0273,0.0274,bj2018,99.8,186.1,spect,6.71226,0.001697,6.01221,0.003048,1,sirful,tycho2b3,,0.76631461572,0.68756865879,267.80833184572,40.07250523095,0.02224173748,0.02278725053,1,0,177787901
6,0.114359,,HIP 87579,87579,0.94,6.52,0.602,,,,,Svalues,268.3747,21.3253,896,275063206,268.37473290253,21.32529165108,268.374,21.326,90,87579,1565-01028-1,557-063327,17532994+2119311,,J175329.88+211931.6,4576863905365412864,45142079,,STAR,tmgaia2,tmgaia2,-73.267,0.032,57.875,0.074,gaia2,40.782,0.0412,gaia2,9.474,0.024,8.5,0.03,,,,,,,,,,,6.74,0.023,6.303,0.02,6.204,0.02,AAA-111-111-000-0-0,6.165,0.111,6.106,0.029,6.171,0.015,6.052,0.044,8.19899,0.000365,7.606,0.006,gbprp,spect,4893.0,135.5,4.6297,0.0939,-0.09,0.1,0.717,0.051,0.8,0.096,2.1672,0.6017,DWARF,0.26574,0.00906,24.5033,0.0249,0.0,0.0,295,0.0283,,,0.011441,0.0,0.0,,0.084,0.108,0.047,0.055,0.4433,0.76,0.1155,0.0722,0.00746,0.01065,0.025,0.0249,bj2018,133.2,137.7,spect,8.72315,0.000866,7.5589,0.000716,1,hipvmag,tycho2b3,,0.51083002214,1.14926564167,268.37439426317,21.32554083545,0.01586231611,0.03283643693,1,0,178527670
7,0.16239,163102,HIP 87678,87678,0.516,3.76,0.146,-5.02,10.0,,9.77,Svalues,268.6243,-3.4625,897,62204855,268.62429396304,-3.46245529603,268.624,-3.463,90,87678,5087-00086-1,433-075701,17542983-0327446,,J175429.84-032746.4,4178216448382162432,921858,,STAR,tmgaia2,tmgaia2,17.4,0.125,-144.003,0.104,gaia2,19.317,0.0612,gaia2,7.742,0.0,7.319,0.023,,,,,,,,,,,6.368,0.02,6.196,0.106,6.088,0.017,AAA-111-111-000-0-0,6.111,0.104,6.036,0.034,6.135,0.016,6.14,0.051,7.18695,0.000346,6.842,0.006,gbprp,spect,6279.0,99.4,4.2582,0.0818,-0.0253,0.0276,1.364,0.051,1.23,0.185,0.4844,0.1047,DWARF,2.60648,0.0882,51.6913,0.1647,0.0,0.0,843,0.0041,,,0.004377,0.0,0.0,,0.173,0.198,0.059,0.044,0.0818,0.1276,0.0711,0.0924,0.10313,0.07326,0.1643,0.1652,bj2018,68.1,130.8,spect,7.46056,0.002099,6.80815,0.00502,1,sirful,apassdr9,,1.94192616551,1.60526580726,268.62436901714,-3.46307530895,0.05720752942,0.05532918406,1,0,1370809882
8,0.168084,163153,HIP 87710,87710,0.759,3.66,0.133,-5.2,45.0,,10.03,Svalues,268.7403,-7.7339,898,8147643,268.74030185243,-7.73394665402,268.74,-7.734,90,87710,5674-00074-1,412-071823,17545767-0744021,,J175457.63-074402.7,4171518910746338304,4280259,,STAR,tmgaia2,tmgaia2,-54.803,0.1,-55.588,0.088,gaia2,22.8769,0.0741,gaia2,7.687,0.022,6.931,0.023,,,,,,,,,,,5.673,0.029,5.326,0.026,5.221,0.024,AAA-111-111-000-0-0,5.232,0.168,5.097,0.072,5.247,0.015,5.202,0.035,6.72644,0.000322,6.253,0.006,gbprp,spect,5572.0,142.0,3.9001,0.0848,0.33,0.1,1.839,0.107,0.98,0.125,0.1575,0.0389,DWARF,2.9373,0.07568,43.6578,0.1424,0.0,0.0,1183,0.0026,,,0.000297,0.0,0.0,,0.089,0.162,0.109,0.105,0.0336,0.0443,0.0805,0.0891,0.07286,0.0785,0.1419,0.1429,bj2018,142.3,141.7,spect,7.12675,0.001824,6.21897,0.004211,1,sirful,tycho2b3,,1.55906140401,1.36214525513,268.74006372945,-7.73418599303,0.05416942581,0.05923689985,1,0,1373749304
9,0.085758,163489,GJ 4035,,1.11,,0.103,,,,,Svalues,269.0496,4.8336,899,266328630,269.04960433957,4.83357657422,269.05,4.834,90,,0425-01177-1,475-069694,17561190+0450007,,J175611.90+045000.7,4472863780548763136,38109236,,STAR,tmgaia2,tmgaia2,1.111,0.078,10.988,0.073,gaia2,5.1272,0.0411,gaia2,8.909,0.025,7.829,0.002,,,,,,,,,,,5.802,0.026,5.252,0.026,5.146,0.023,AAA-111-111-000-0-0,5.171,0.155,5.006,0.093,5.119,0.014,5.029,0.028,7.47015,0.000305,6.802,0.006,rered,spect,5004.0,44.0,,,0.3,0.03,8.414,,,,,,GIANT,,,193.963,1.557,0.0921,0.0177,,,,,,0.0185,0.017,panstarrs,,,,,,,,,,,,,bj2018,,,spect,8.08364,0.001731,6.7655,0.002259,1,tycho2v3,tycho2b3,,1.21451718745,1.13843883738,269.04960913851,4.8336238828,0.04137894547,0.04173311094,0,0,179657383
10,0.118995,163675,HIP 87834,87834,1.002,3.46,0.135,,,,,Svalues,269.1581,18.6124,900,275371234,269.15811711248,18.61242880212,269.159,18.612,90,87834,1557-01857-1,544-065735,17563792+1836448,,J175638.12+183644.8,4503448861139972096,,,STAR,tmgaia2,tmgaia2,211.052,0.053,6.875,0.071,gaia2,24.4502,0.0374,gaia2,7.575,0.019,6.565,0.023,,,,,,,,,,,4.743,0.046,4.445,0.258,4.201,0.016,EDA-131-111-000-0-0,4.238,0.295,4.015,0.186,4.212,0.015,4.161,0.028,6.26835,0.000255,5.671,0.006,gbprp,spect,4898.5,85.5,,,0.2196,0.007,2.902,,,,,,GIANT,,,40.8513,0.0628,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,6.79944,0.001075,5.62621,0.000929,1,sirful,tycho2b3,,0.83209063291,1.09922455834,269.15907595693,18.61245840697,0.02107493035,0.0349294904,0,0,179858856
12,0.611502,163840,HIP 87895,87895,0.642,4.04,0.161,-4.99,24.0,,9.73,Svalues,269.3097,23.9959,901,1507636276,269.30974657031,23.99573555292,269.31,23.996,90,,,,,,,4580864547137360384,,,STAR,gaia2,gaia2,-28.364,0.63,108.044,0.716,gaia2,30.8036,0.4494,gaia2,,,6.294,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,6.1549,0.000382,5.725,0.006,gbprp,gaia2,,,,,,,,,,,,,,,,32.4467,0.4769,0.0,0.0,,,DUPLICATE,158711270,,0.0,0.0,,,,,,,,,,,,0.4699,0.4838,bj2018,,,,6.50149,0.001042,5.68194,0.001609,0,gaia2,,,9.99482460608,11.10112254819,269.30961289283,23.99620074242,0.3005619593,0.36604437245,1,0,180162260
14,0.142566,,HIP 87937,87937,1.57,13.21,0.761,,,,,Svalues,269.4521,4.6934,902,325554331,269.45208249907,4.69336444623,269.449,4.738,90,87937,0425-02502-1,474-068224,17574849+0441405,1237668573088843008,,4472832130942575616,,,STAR,tmgaia2,tmgaia2,-802.803,0.638,10362.5,0.36,gaia2,547.451,0.2899,gaia2,11.169,0.061,9.54,0.1,14.247,0.005,10.214,0.0,11.278,0.002,11.109,0.003,7.158,0.0,5.244,0.02,4.834,0.034,4.524,0.02,AAA-111-111-000-0-0,,,,,,,,,8.19511,0.001998,6.883,0.007,cdwrf,cdwrf,3259.0,157.0,5.0759,0.0278,,,0.194,0.006,0.163,0.02,22.4412,0.7595,DWARF,0.00381,0.00097,1.8266,0.001,0.0,0.0,738,0.003,,,0.084136,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,9.81039,0.003091,6.96987,0.001866,1,cdwrf,tycho2b3,cooldwarfs_v8,9.89792136055,5.58235799872,269.44861435804,4.73798076559,0.22289921913,0.30419882281,1,0,180358112
15,0.147139,164595,HIP 88194,88194,0.635,4.76,0.159,-5.0,23.0,,9.74,Svalues,270.1621,29.5719,903,158917706,270.16206108418,29.57192291112,270.161,29.573,90,88194,2103-01620-1,598-060824,18003890+2934188,,J180038.80+293420.6,4584639307993378304,47941579,,STAR,tmgaia2,tmgaia2,-139.13,0.038,173.475,0.045,gaia2,35.3642,0.0258,gaia2,7.775,0.056,7.086,0.023,,,,,,,,,,,5.864,0.019,5.539,0.02,5.482,0.021,AAA-111-111-000-0-0,5.496,0.159,5.375,0.058,5.51,0.014,5.485,0.034,6.89472,0.000223,6.462,0.006,gbprp,spect,5751.0,107.1,4.4279,0.0733,-0.07,0.1,1.027,0.044,1.03,0.126,0.9513,0.1901,DWARF,1.03913,0.02755,28.254,0.0207,0.0,0.0,209,0.0015,,,0.009102,0.0,0.0,,0.128,0.124,0.041,0.047,0.1955,0.1847,0.0832,0.0634,0.02804,0.02706,0.0207,0.0208,bj2018,131.0,83.2,spect,7.2513,0.001417,6.42609,0.002898,1,sirful,apassdr9,,0.6054856131,0.70092455783,270.1613723334,29.57266981915,0.01782423158,0.02346130761,1,0,181502882
16,0.198016,164507,HIP 88217,88217,0.747,3.01,0.143,-5.13,41.0,,9.94,Svalues,270.2386,15.0936,904,289813241,270.23862771338,15.09355194235,270.238,15.093,90,88217,1554-01982-1,526-071043,18005728+1505365,,J180057.23+150536.0,4501404113107826688,,,STAR,tmgaia2,tmgaia2,-53.138,0.068,-98.328,0.095,gaia2,22.0086,0.0363,gaia2,7.016,0.021,6.286,0.023,,,,,,,,,,,5.189,0.26,4.7,0.053,4.551,0.02,DAA-311-111-000-0-0,4.562,0.2,4.417,0.056,4.569,0.015,4.547,0.024,6.0966,0.00065,5.627,0.006,gbprp,spect,5575.3,108.4,3.6156,0.0734,0.1415,0.0166,2.552,0.113,0.98,0.121,0.059,0.012,DWARF,5.66807,0.13225,45.3772,0.0754,0.0,0.0,406,0.002,,,0.002118,0.0,0.0,,0.121,0.121,0.118,0.108,0.0127,0.0113,0.0759,0.071,0.12018,0.14431,0.0752,0.0755,bj2018,111.9,104.8,spect,6.49313,0.004394,5.59362,0.002805,1,sirful,tycho2b3,,1.05620715944,1.46979089876,270.2383907482,15.09312858753,0.02718469652,0.03527864735,1,0,181797967
17,0.047044,164651,HIP 88324,88324,0.746,5.09,0.155,-5.05,38.0,,9.82,Svalues,270.5745,0.1042,905,104968126,270.57451002226,0.10419161433,270.575,0.104,90,88324,0430-00681-1,451-074897,18021787+0006150,,J180218.01+000615.6,4275410252622589440,,,STAR,tmgaia2,tmgaia2,177.922,0.077,52.135,0.071,gaia2,30.5213,0.0463,gaia2,8.364,0.026,7.66,0.03,,,,,,,,,,,6.385,0.024,6.07,0.033,5.998,0.023,AAA-111-111-000-0-0,6.019,0.103,5.898,0.04,5.998,0.015,5.927,0.046,7.47928,0.000311,7.018,0.006,gbprp,spect,5614.3,100.3,4.4705,0.0733,,,0.959,0.04,0.99,0.129,1.1242,0.2219,DWARF,0.82236,0.02049,32.7331,0.0499,0.0,0.0,1157,0.0134,,,0.007304,0.0,0.0,,0.108,0.151,0.053,0.028,0.2176,0.2262,0.0865,0.0601,0.01833,0.02264,0.0499,0.05,bj2018,65.9,134.7,spect,7.86078,0.001863,6.97817,0.001536,1,hipvmag,tycho2b3,,1.19431208797,1.10083404925,270.57527607659,0.10441608534,0.03807240859,0.04002165262,1,0,182214979
18,0.020806,164922,HIP 88348,88348,0.799,5.31,0.158,-5.05,43.0,,9.82,Svalues,270.6286,26.313,906,159019691,270.62859363856,26.31300094151,270.63,26.31,90,88348,2099-02717-1,582-059558,18023085+2618471,,,4582680493669880832,,,STAR,tmgaia2,tmgaia2,389.653,0.033,-602.314,0.043,gaia2,45.4222,0.0311,gaia2,7.81,0.02,7.012,0.023,,,,,,,,,,,5.553,0.026,5.203,0.017,5.113,0.02,AAA-111-111-000-0-0,,,,,,,,,6.78614,0.000171,6.281,0.006,gbprp,spect,5341.0,103.3,4.407,0.0748,0.14,0.1,0.994,0.046,0.92,0.116,0.9365,0.1939,DWARF,0.72452,0.01479,22.0016,0.0152,0.0,0.0,263,0.0018,,,0.009193,0.0,0.0,,0.079,0.154,0.031,0.06,0.2607,0.1271,0.1044,0.0452,0.01533,0.01425,0.0151,0.0152,bj2018,124.4,82.2,spect,7.21709,0.00109,6.24302,0.001307,1,sirful,tycho2b3,,0.52990482764,0.67222161952,270.63046523505,26.31040765724,0.01602851881,0.02386393314,1,0,182405934
19,0.042016,165045,HIP 88481,88481,0.796,5.42,0.344,-4.55,18.0,,9.05,Svalues,271.0078,1.8324,907,51799658,271.00781166631,1.83239949787,271.008,1.832,90,88481,0430-00490-1,460-074017,18040187+0149568,,J180401.94+014956.3,4468231641147900928,37044324,,STAR,tmgaia2,tmgaia2,99.95,2.0,-30.0,2.0,sblink,29.04,2.79,hip,8.913,0.029,8.11,0.03,,,,,,,,,,,6.621,0.021,6.234,0.031,6.113,0.018,AAA-111-111-000-0-0,6.077,0.106,6.007,0.03,6.099,0.015,6.064,0.047,7.88964,0.000601,7.375,0.007,gbprp,spec7,5283.8,,,,,,,,,,,,DWARF,,,34.4353,,,,1118,0.0107,,,,,,,,,,,,,,,,,,,hip,,,spect,8.3349,0.002215,7.34073,0.008521,0,hipvmag,tycho2b3,,31.01268087574,31.00829624496,271.00824222677,1.83227033126,0.73522977792,0.71724195039,-1,0,183154283
20,0.039907,165173,HIP 88511,88511,0.762,5.39,0.162,-5.02,38.0,,9.78,Svalues,271.1098,6.4364,908,399375614,271.10979281043,6.43639152416,271.11,6.437,90,88511,0442-00693-1,483-075537,18042635+0626110,,J180426.30+062611.7,4474963057485435392,38262567,,STAR,tmgaia2,tmgaia2,-63.657,0.078,70.39,0.079,gaia2,28.8609,0.0522,gaia2,8.688,0.05,7.96,0.03,,,,,,,,,,,6.627,0.026,6.298,0.033,6.211,0.02,AAA-111-111-000-0-0,6.151,0.096,6.13,0.026,6.199,0.016,6.116,0.048,7.76646,0.000298,7.286,0.006,gbprp,spect,5459.0,104.6,4.4634,0.0745,0.0,0.1,0.947,0.042,0.95,0.122,1.1198,0.2289,DWARF,0.71702,0.01555,34.6144,0.063,0.0,0.0,753,0.0042,,,0.007326,0.0,0.0,,0.104,0.14,0.042,0.042,0.2163,0.2414,0.0779,0.0711,0.01965,0.01145,0.0629,0.0631,bj2018,105.0,104.2,spect,8.16613,0.001405,7.24468,0.002074,1,hipvmag,apassdr9,,1.2133375026,1.22985041961,271.10951699404,6.43669459358,0.03999830428,0.04793372977,1,0,183400822
21,0.071127,165567,HIP 88533,88533,0.509,3.02,0.186,-4.77,7.0,,9.39,Svalues,271.18,40.0842,909,75726131,271.17999204659,40.08418120282,271.18,40.084,90,88533,3106-02121-1,651-060834,18044319+4005030,,J180443.19+400503.2,4611303010423820288,,,STAR,tmgaia2,tmgaia2,25.338,0.047,23.334,0.055,gaia2,19.1482,0.0261,gaia2,7.001,0.023,6.54,0.023,,,,,,,,,,,5.588,0.018,5.388,0.018,5.338,0.023,AAA-111-111-000-0-0,5.418,0.057,5.167,0.063,5.34,0.021,5.295,0.032,6.40072,0.000439,6.06,0.006,gbprp,spect,6284.0,145.7,3.9375,0.0928,0.06,0.03,1.974,0.102,1.23,0.188,0.16,0.0402,DWARF,5.47195,0.19812,52.1453,0.0715,0.0,0.0,119,0.0009,,,0.0041,0.0,0.0,,0.158,0.218,0.081,0.124,0.0396,0.0408,0.0928,0.0929,0.22474,0.1715,0.0713,0.0716,bj2018,107.7,183.6,spect,6.66678,0.001736,6.02232,0.001676,1,sirful,tycho2b3,,0.78271708622,0.85446770134,271.18013463541,40.08428166917,0.02213024456,0.02899529696,1,0,183349318
22,0.107405,165222,HIP 88574,88574,1.508,9.91,0.99,,,,,Svalues,271.2816,-3.0313,910,41378014,271.28157814252,-3.03132033959,271.284,-3.033,90,88574,5100-00282-1,435-075468,18050755-0301523,,,4177731838628465664,923830,,STAR,tmgaia2,tmgaia2,569.729,0.096,-332.464,0.082,gaia2,129.392,0.0613,gaia2,10.856,0.022,9.37,0.1,,,,,,,,,,,6.161,0.019,5.571,0.04,5.306,0.021,AAA-111-111-000-0-0,,,,,,,,,8.51665,0.000732,7.463,0.007,cdwrf,cdwrf,3668.0,157.0,4.7684,0.0068,,,0.465,0.014,0.462,0.02,4.604,0.2088,DWARF,0.03523,0.00817,7.7267,0.0037,0.0,0.0,358,0.0031,,,0.019548,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,9.62176,0.002104,7.49425,0.001352,1,cdwrf,apassdr9,cooldwarfs_v8,1.48223443165,1.27962042159,271.2840345795,-3.0327517846,0.05033645955,0.05221400645,1,0,1418194479
23,1.532744,165341,HIP 88601,88601,1.15,7.49,0.945,,,,,Svalues,271.3637,2.5001,911,1674663517,271.36382449988,2.50050718891,271.364,2.501,90,,,,,,,4468557989937892352,,,STAR,gaia2,gaia2,,,,,,,,,,,18.318,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,18.2064,0.012344,17.828,0.016,gbprp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3395,0.091692,16.6227,0.074678,0,gaia2,,,10.528228472,11.8523989826,271.36382449988,2.50050718891,10.528228472,11.8523989826,-1,-1,183835489
26,0.059176,165360,HIP 88656,88656,0.526,3.38,0.229,-4.62,6.0,,9.15,Svalues,271.5067,-8.1086,912,204712890,271.50669072119,-8.10861363142,271.507,-8.108,90,88656,5675-00244-1,410-076319,18060160-0806310,,J180601.64-080630.3,4170909850027869696,4299409,,STAR,tmgaia2,tmgaia2,78.882,0.098,78.526,0.083,gaia2,18.0287,0.0606,gaia2,7.542,0.0,7.111,0.023,,,,,,,,,,,6.105,0.023,5.856,0.038,5.785,0.018,AAA-111-111-000-0-0,5.766,0.118,5.675,0.045,5.77,0.016,5.718,0.039,6.97269,0.000495,6.611,0.006,gbprp,spect,6231.0,126.4,4.0882,0.0865,,,1.639,0.072,1.2,0.177,0.2726,0.0624,DWARF,3.64769,0.13008,55.3792,0.1874,0.0,0.0,1126,0.0393,,,0.000336,0.0,0.0,,0.18,0.174,0.084,0.061,0.0574,0.0674,0.0938,0.0792,0.14122,0.11894,0.1868,0.188,bj2018,98.8,153.9,spect,7.25651,0.001742,6.57123,0.002397,1,sirful,apassdr9,,1.52048282445,1.29313139458,271.50703378005,-8.10827553136,0.05549691363,0.04929170851,1,0,1423555530
28,0.183721,165438,HIP 88684,88684,0.968,3.02,0.124,,,,,Svalues,271.5633,-4.7513,913,41652774,271.56332203141,-4.75125393061,271.564,-4.751,90,88684,5104-00258-1,427-072601,18061519-0445044,,J180615.30-044504.7,4173946529333731328,,,STAR,tmgaia2,tmgaia2,142.784,0.172,-30.866,0.15,gaia2,28.044,0.1128,gaia2,6.725,0.019,5.747,0.023,,,,,,,,,,,4.376,0.322,3.788,0.254,3.749,0.228,DDD-333-111-d0d-0-0,3.423,0.429,3.234,0.279,3.481,0.015,3.424,0.021,5.47267,0.002958,4.891,0.007,gbprp,spect,4862.0,50.0,,,0.02,0.09,3.722,,,,,,GIANT,,,35.6225,0.1443,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,5.98861,0.002792,4.8502,0.00327,1,sirful,tycho2b3,,2.6628610166,2.32214524782,271.56393891566,-4.7513868253,0.08850028893,0.09324203832,0,0,1423397831
29,0.575733,165908,HIP 88745,88745,0.5,3.95,0.145,-5.02,9.0,,9.77,Svalues,271.7564,30.5621,914,500620012,271.75626720679,30.56221180956,271.756,30.563,90,,,,,,,4590758227637478912,,,STAR,tmgaia2,tmgaia2,-77.006,1.267,99.342,1.778,gaia2,53.9769,0.6434,gaia2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13094,0.00147,7.701,0.6,goffs,gaia2,,,,,,,,,,,,,,,,18.5217,0.2225,0.0,0.0,,,,22516402,,0.0,0.0,,,,,,,,,,,,0.2198,0.2251,bj2018,,,,,0.0,,0.0,-1,,,,20.37450262128,27.57795185723,271.75588216379,30.56263953176,0.58173364543,0.86365679473,-1,-1,184622279
31,0.575733,165908,HIP 88745,88745,1.1,7.31,0.146,,,,,Svalues,271.7564,30.5621,915,500620012,271.75626720679,30.56221180956,271.756,30.563,90,,,,,,,4590758227637478912,,,STAR,tmgaia2,tmgaia2,-77.006,1.267,99.342,1.778,gaia2,53.9769,0.6434,gaia2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13094,0.00147,7.701,0.6,goffs,gaia2,,,,,,,,,,,,,,,,18.5217,0.2225,0.0,0.0,,,,22516402,,0.0,0.0,,,,,,,,,,,,0.2198,0.2251,bj2018,,,,,0.0,,0.0,-1,,,,20.37450262128,27.57795185723,271.75588216379,30.56263953176,0.58173364543,0.86365679473,-1,-1,184622279
33,0.101846,,HIP 88778,88778,1.276,1.22,0.113,,,,,Svalues,271.8507,15.9567,916,286769018,271.85071782286,15.95672251003,271.851,15.957,90,88778,1554-00542-1,530-071524,18072417+1557240,,J180724.16+155724.3,4498942100416932864,43995224,,STAR,tmgaia2,tmgaia2,-5.113,0.06,17.53,0.074,gaia2,4.1413,0.0356,gaia2,9.405,0.0,8.18,0.03,,,,,,,,,,,5.908,0.02,5.347,0.027,5.182,0.017,AAA-111-111-000-0-0,5.157,0.203,5.069,0.086,5.159,0.015,5.092,0.033,7.77026,0.000236,7.055,0.006,rered,gaia2,4484.0,122.0,,,,,11.426,,,,,,GIANT,,,239.825,2.061,0.0388,0.0125,,,,,,0.0144,0.0106,panstarrs,,,,,,,,,,,2.044,2.078,bj2018,,,dered,8.45191,0.001254,7.01309,0.001264,1,hipvmag,apassdr9,,0.93652882429,1.14816634602,271.85069492549,15.95679798771,0.02163270755,0.03187353572,0,0,184819311
