star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Name,__S_,__FHK_,__FHa_,Simbad,_RA,_DE
TIC 287157634,224.36667038925,-21.41547970163,224.37159427348143,-21.42314039626168,287157634.0,6.232511606838404e+18,6.232511606838404e+18,73184.0,2MASS J14572788-2124526,6180-00855-1,WDS J14575-2125A,HD 131977,tic_near,1031.4718694823848,0.0676119104027748,-1723.6189029383202,0.0547808185219764,GaiaDR3,2023A&A...674A...1G,7.89,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,6.83,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,5.72,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,4.74,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,4.19,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.663,0.258,TIC,2019AJ....158..138S,3.085,0.196,TIC,2019AJ....158..138S,3.048,0.224,TIC,2019AJ....158..138S,4.698,0.007,5.364036560058594,0.0028513525304591,gaia_dr3,2023A&A...674A...1G,5.960627555847168,0.003143517809713,4.63702392578125,0.0041211415570095,169.8842702825854,0.0653418228030204,GaiaDR3,2023A&A...674A...1G,5.885025978088379,0.0016779899597167,bj2021,2021AJ....161..147B,0,K4V,1989ApJS...71..245K,1,4632.0,15.0,Pastel,2022A&A...663A...4S,4.58293434286901,0.0567016467946163,calculated_from_M_and_R,Calculated Value,4.49,0.08,Pastel,2022A&A...663A...4S,0.02,0.04,Pastel,2022A&A...663A...4S,-0.6520365389824843,0.0201675519598256,update_TIC,Calculated Value,0.732988690632516,0.0176687967784577,calc_from_L_and_Teff,Calculated Value,0.75,0.091,TIC,2019AJ....158..138S,0,,,,,,,,,,,,1,1,A,26.2,2.3,,,,0,,HD 131977,0.51,33.0,19.37,Simbad,224.36666,-21.41547
TIC 48668374,241.41864379347,-20.45002843766,241.4200667195948,-20.451590988534043,48668374.0,6.24407633885886e+18,6.24407633885886e+18,78843.0,2MASS J16054045-2026599,6208-00742-1,,HD 144253,tic_near,295.0102774000705,0.3042390346527099,-351.0957653132113,0.1559732109308242,GaiaDR3,2023A&A...674A...1G,9.379,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.456,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.393,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.784,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.261,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,5.532,0.023,TIC,2019AJ....158..138S,4.983,0.033,TIC,2019AJ....158..138S,4.856,0.016,TIC,2019AJ....158..138S,6.393,0.006,7.051029682159424,0.0027597011006377,gaia_dr3,2023A&A...674A...1G,7.6099677085876465,0.0028651417422176,6.3387956619262695,0.0038090990937588,55.88087716773176,0.220708966255188,GaiaDR3,2023A&A...674A...1G,17.89069938659668,0.0718717575073242,bj2021,2021AJ....161..147B,0,K3V,2006AJ....132..161G,1,4780.1,156.6,TIC,2019AJ....158..138S,4.368017659629253,0.0781734997907196,calculated_from_M_and_R,Calculated Value,,,,,-0.11,,gcs_reanalysis,2011A&A...530A.138C,-0.371016668136667,0.01877192068142,update_TIC,Calculated Value,0.9511967252177562,0.0656268038442741,calc_from_L_and_Teff,Calculated Value,0.77,0.089,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,1,,,,,,,0,,HD 144253,0.24,19.72,19.38,Simbad,241.41863,-20.45006
TIC 135656809,243.90529322864,-8.36943947035,243.90633606006,-8.371641161548801,135656809.0,4.3457752172218214e+18,4.3457752172218214e+18,79672.0,2MASS J16153726-0822096,5613-01378-1,WDS J16156-0822A,*  18 Sco,tic_near,232.2303207442892,0.0751048848032951,-495.3782016299215,0.0668366178870201,GaiaDR3,2023A&A...674A...1G,,,,,6.15,,Simbad,,5.5,,Simbad,,,,,,,,,,4.667,0.26,TIC,2019AJ....158..138S,4.162,0.178,TIC,2019AJ....158..138S,4.186,0.292,TIC,2019AJ....158..138S,4.907,0.007,5.327651023864746,0.0028112256721291,gaia_dr3,2023A&A...674A...1G,5.654931545257568,0.0029401099552909,4.837854385375977,0.005690693963203,70.73714672122247,0.063124269247055,GaiaDR3,2023A&A...674A...1G,14.131851196289062,0.0114965438842782,bj2021,2021AJ....161..147B,0,G2Va,1989ApJS...71..245K,1,5785.0,12.0,Pastel,2022A&A...663A...4S,4.378590675104395,0.0219181038693243,calculated_from_M_and_R,Calculated Value,4.43,0.02,Pastel,2022A&A...663A...4S,0.03,0.01,Pastel,2022A&A...663A...4S,0.0394720673896191,0.0114190303959228,update_TIC,Calculated Value,1.041794240094905,0.014361867458825,calc_from_L_and_Teff,Calculated Value,0.9464266300201416,0.0400067269802092,gaia_dr3_flame,2023A&A...674A...1G,0,9.946296691894531,1.1823692321777344,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,49.7,7.800000000000001,,,,0,,HD 146233,0.17,95.0,31.49,Simbad,243.90529,-8.36944
TIC 350673608,246.00537748779,-39.19298183644,246.0058026651914,-39.192965569776966,350673608.0,6.018047019138644e+18,6.018047019138644e+18,80337.0,2MASS J16240128-3911346,7853-00621-1,WDS J16240-3912A,HD 147513,tic_near,73.7483592823494,0.0820017904043197,3.3665386250642886,0.0587822496891021,GaiaDR3,2023A&A...674A...1G,6.17,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,6.02,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,5.376,,Simbad 2012AJ....143...68H,2012AJ....143...68H,,,,,,,,,4.405,0.258,TIC,2019AJ....158..138S,4.025,0.19,TIC,2019AJ....158..138S,3.933,0.036,TIC,2019AJ....158..138S,4.812,0.007,5.215096950531006,0.0028885987986362,gaia_dr3,2023A&A...674A...1G,5.537261962890625,0.0034643263775515,4.72960376739502,0.0045932723028881,77.56546482061312,0.0661137551069259,GaiaDR3,2023A&A...674A...1G,12.888324737548828,0.0080385208129882,bj2021,2021AJ....161..147B,0,G5V,2006A&A...460..695T,1,5868.0,12.0,Pastel,2022A&A...663A...4S,4.454792081782567,0.0219895263038162,calculated_from_M_and_R,Calculated Value,4.53,0.02,Pastel,2022A&A...663A...4S,0.05,0.01,Pastel,2022A&A...663A...4S,-0.0006632998663193,0.0122807507679902,update_TIC,Calculated Value,0.9668092225642058,0.0142299017152093,calc_from_L_and_Teff,Calculated Value,0.9714177250862122,0.0400189757347106,gaia_dr3_flame,2023A&A...674A...1G,0,6.835293769836426,1.0959465503692627,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,345.0,5.53,,,,1,HD 147513,HD 147513,0.32,193.3,34.96,Simbad,246.00537,-39.19298
TIC 58360410,250.28422825963,-2.85727839238,250.28410897055963,-2.8592548529822217,58360410.0,4.354950641755249e+18,4.354950641755249e+18,81681.0,2MASS J16410822-0251258,5053-00352-1,WDS J16411-0251A,HD 150433,tic_near,-26.659219958200367,0.0226809475570917,-444.73983833941656,0.0177647396922111,GaiaDR3,2023A&A...674A...1G,,,,,7.861,0.016,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.22,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,6.8,,Simbad 2009yCat.1315....0Z,2009yCat.1315....0Z,8.7,0.04,Simbad 2005yCat.2263....0D,2005yCat.2263....0D,6.014,0.019,TIC,2019AJ....158..138S,5.715,0.046,TIC,2019AJ....158..138S,5.61,0.023,TIC,2019AJ....158..138S,6.607,0.006,7.057487487792969,0.0027591386672844,gaia_dr3,2023A&A...674A...1G,7.378427028656006,0.002800875026431,6.559150695800781,0.0037974687120437,32.92106636726074,0.0195266418159008,GaiaDR3,2023A&A...674A...1G,30.343334197998047,0.0154552459716779,bj2021,2021AJ....161..147B,0,G5V,1999MSS...C05....0H,1,5688.0,29.0,Pastel,2022A&A...663A...4S,4.346798640181717,0.0238272319283453,calculated_from_M_and_R,Calculated Value,4.46,0.03,Pastel,2022A&A...663A...4S,-0.36,0.02,Pastel,2022A&A...663A...4S,0.0224964052364682,0.0109953065420924,update_TIC,Calculated Value,1.0567729106182877,0.0171777606399148,calc_from_L_and_Teff,Calculated Value,0.905095398426056,0.0400006473064422,gaia_dr3_flame,2023A&A...674A...1G,0,13.18222713470459,0.8333139419555664,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,122.1,5.359999999999999,,,,0,,HD 150433,0.17,104.85,34.12,Simbad,250.28423,-2.85728
TIC 326927305,253.2450104658,-0.02642147251,253.2418467851804,-0.0330165367067573,326927305.0,4.3812505475751025e+18,4.3812505475751025e+18,82588.0,2MASS J16525877-0001356,5051-01354-1,,HD 152391,tic_near,-711.8317387758042,0.0233350954949855,-1483.8213661411446,0.0192781742662191,GaiaDR3,2023A&A...674A...1G,,,,,7.4,,Simbad,,6.64,,Simbad,,,,,,,,,,5.235,0.035,TIC,2019AJ....158..138S,4.942,0.044,TIC,2019AJ....158..138S,4.835,0.029,TIC,2019AJ....158..138S,5.946,0.006,6.440524578094482,0.0028580917515273,gaia_dr3,2023A&A...674A...1G,6.8148393630981445,0.0037388522997243,5.892110347747803,0.004305103235456,59.480502943877184,0.0231716278940439,GaiaDR3,2023A&A...674A...1G,16.80144691467285,0.0057334899902343,bj2021,2021AJ....161..147B,0,G8.5Vk:,2006AJ....132..161G,1,5458.0,13.0,Pastel,2022A&A...663A...4S,4.555467173993439,0.0207715734067498,calculated_from_M_and_R,Calculated Value,4.5,0.03,Pastel,2022A&A...663A...4S,-0.02,0.01,Pastel,2022A&A...663A...4S,-0.2362782378671391,0.0089296696629054,update_TIC,Calculated Value,0.8520134746977539,0.0096538943998618,calc_from_L_and_Teff,Calculated Value,0.9512451887130736,0.0400654971599578,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 152391,0.41,147.1,32.02,Simbad,253.24501,-0.02642
TIC 79841001,259.05567807409,-26.54614810103,259.05329410009625,-26.551146094884785,79841001.0,4.109034455276325e+18,4.109034455276325e+18,84478.0,2MASS J17161340-2632444,6820-00293-1,WDS J17153-2636C,V* V2215 Oph,tic_near,-479.57323273959537,0.0314847975969314,-1124.331683365442,0.0198014285415411,GaiaDR3,2023A&A...674A...1G,,,,,7.5,,Simbad,,6.34,,Simbad,,,,,,4.8,,Simbad 2007A&A...464..687C,2007A&A...464..687C,4.155,0.25,TIC,2019AJ....158..138S,,,,,3.466,0.256,TIC,2019AJ....158..138S,5.187,0.007,5.889863014221191,0.0027685312069861,gaia_dr3,2023A&A...674A...1G,6.530970096588135,0.0029723147234545,5.116134166717529,0.0047343239906541,167.9616795430231,0.0310546439141035,GaiaDR3,2023A&A...674A...1G,5.95277214050293,0.0012993812561035,bj2021,2021AJ....161..147B,0,K5V,2006A&A...460..695T,1,4476.0,24.0,Pastel,2022A&A...663A...4S,4.632204069466499,0.0386150217190916,calculated_from_M_and_R,Calculated Value,4.57,0.06,Pastel,2022A&A...663A...4S,-0.21,0.03,Pastel,2022A&A...663A...4S,-0.8021542610180918,0.0274674393974257,update_TIC,Calculated Value,0.660382199824303,0.0220514165108,calc_from_L_and_Teff,Calculated Value,0.6819101572036743,0.0400281250476837,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,8.608926,20.238922,4.109034386568097e+18,8.608926,20.238922,4.109034386568097e+18,1,1,C,732.5,-1.34,4.109030160308317e+18,731.5368,-1.0613,0,,HD 156026,0.76,29.45,15.07,Simbad,259.05568,-26.54615
TIC 327860248,261.43846793467,2.11142325907,261.43588748671016,2.1061577628793846,327860248.0,4.375233191015944e+18,4.375233191015944e+18,85295.0,2MASS J17254521+0206406,0405-00956-1,WDS J17258+0207A,HD 157881,tic_near,-580.3245900689788,0.0170728284865617,-1184.7371121385918,0.0128257870674133,GaiaDR3,2023A&A...674A...1G,10.126,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.865,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.56,0.05,Simbad 2009ApJ...694.1085V,2009ApJ...694.1085V,6.649,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,5.89,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,4.934,0.024,TIC,2019AJ....158..138S,4.341,0.044,TIC,2019AJ....158..138S,4.37,0.274,TIC,2019AJ....158..138S,6.107,0.006,6.934473037719727,0.0027665424091059,gaia_dr3,2023A&A...674A...1G,7.75475549697876,0.0029166555615383,6.04712438583374,0.0038431075831534,129.64588200281264,0.0174642838537693,GaiaDR3,2023A&A...674A...1G,7.711029052734375,0.0013284683227539,bj2021,2021AJ....161..147B,0,K7V,2002AJ....123.2002H,1,4056.0,31.0,Pastel,2022A&A...663A...4S,4.5356951554758425,0.0646566085162131,calculated_from_M_and_R,Calculated Value,4.64,0.09,Pastel,2022A&A...663A...4S,0.28,0.07,Pastel,2022A&A...663A...4S,-0.9112004831038352,0.0310295673537819,update_TIC,Calculated Value,0.7093433647056573,0.0275630211534183,calc_from_L_and_Teff,Calculated Value,0.63,0.08,TIC,2019AJ....158..138S,0,,,,,,,,,,,,1,1,A,7.3,5.36,,,,0,,HD 157881,0.78,8.44,8.12,Simbad,261.43847,2.11142
TIC 164139204,262.59899910052,-1.06274196667,262.5984966200283,-1.0635684057599128,164139204.0,4.3731996786206397e+18,4.3731996829199437e+18,85667.0,2MASS J17302380-0103459,5080-02188-1,WDS J17304-0104AB,HD 158614,tic_near,-127.0,8.0,-172.0,8.0,TIC sblink,2019AJ....158..138S,6.34,,Simbad 1978A&AS...34....1N,1978A&AS...34....1N,6.695,0.02,TIC tycho2b3,2019AJ....158..138S,5.313,0.023,TIC sirful,2019AJ....158..138S,5.52,,Simbad 2009yCat.1315....0Z,2009yCat.1315....0Z,,,,,4.254,0.312,TIC,2019AJ....158..138S,3.787,0.252,TIC,2019AJ....158..138S,3.822,0.31,TIC,2019AJ....158..138S,5.347,0.015,5.833586692810059,0.0044109036844955,gaia_dr3,2023A&A...674A...1G,5.490048408508301,0.0031154708759345,4.608489513397217,0.0059747248795293,61.19,0.68,TIC hip,2019AJ....158..138S,16.3425,0.3841,TIC hip,2019AJ....158..138S,0,G9-IV-VHdel1,1989ApJS...71..245K,0,5604.0,21.0,Pastel,2022A&A...663A...4S,4.416222363669501,0.0529240043283989,calculated_from_M_and_R,Calculated Value,4.13,0.08,Pastel,2022A&A...663A...4S,-0.02,0.03,Pastel,2022A&A...663A...4S,-0.0294675195972461,0.0487507382115474,calc_from_gaia,Calculated Value,1.0254692258911402,0.0580667201060392,calc_from_L_and_Teff,Calculated Value,1.0,0.045,gcs_reanalysis,2011A&A...530A.138C,0,10.43,2.865,gcs_reanalysis,2011A&A...530A.138C,,,,,,,,1,1,AB,0.2,0.1100000000000003,,,,0,,HD 158614,0.22,66.25,27.97,Simbad,262.59916,-1.06292
TIC 362661163,266.03626514254,-51.8340530677,266.0361549633902,-51.8349016618794,362661163.0,5.945941905576552e+18,5.945941905576552e+18,86796.0,2MASS J17440870-5150027,8355-00436-1,,* mu. Ara,tic_near,-15.03365551054608,0.0835321992635726,-190.90057499776287,0.0654293522238731,GaiaDR3,2023A&A...674A...1G,,,,,5.85,,Simbad,,5.15,,Simbad,,,,,,,,,,4.158,0.284,TIC,2019AJ....158..138S,3.724,0.206,TIC,2019AJ....158..138S,3.683,0.246,TIC,2019AJ....158..138S,4.507,0.007,4.942751884460449,0.0028301089269674,gaia_dr3,2023A&A...674A...1G,5.2933220863342285,0.0028652907619048,4.442713260650635,0.004215693286735,64.08529417744371,0.0904235392808914,GaiaDR3,2023A&A...674A...1G,15.59627914428711,0.0253314971923828,bj2021,2021AJ....161..147B,0,G3IV-V,2006AJ....132..161G,1,5761.0,11.0,Pastel,2022A&A...663A...4S,4.1431304439194605,0.0214934866205807,calculated_from_M_and_R,Calculated Value,4.25,0.02,Pastel,2022A&A...663A...4S,0.29,0.01,Pastel,2022A&A...663A...4S,0.2783778217540331,0.0113988532947809,update_TIC,Calculated Value,1.3830752357743317,0.0189035123245414,calc_from_L_and_Teff,Calculated Value,0.9699613451957704,0.0400170981884002,gaia_dr3_flame,2023A&A...674A...1G,0,12.133095741271973,1.0984530448913574,gaia_dr3_flame,2023A&A...674A...1G,,6.580421,15.70147,5.945941905576874e+18,6.580421,15.70147,5.945941905576874e+18,0,0,,,,,,,1,HD 160691,HD 160691,0.14,63.5,28.82,Simbad,266.03626,-51.83405
TIC 329574145,271.59882967894,-36.01978596212,271.5994139188408,-36.01974711463257,329574145.0,4.0387240539864417e+18,4.0387240539864417e+18,88694.0,2MASS J18062370-3601113,7403-06261-1,WDS J18064-3601A,HD 165185,tic_near,106.01981606684002,0.0350533537566661,8.811725078085344,0.0284764692187309,GaiaDR3,2023A&A...674A...1G,6.64,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,6.57,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,5.95,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,5.58,,Simbad 2014MNRAS.437..879C,2014MNRAS.437..879C,,,,,4.835,0.037,TIC,2019AJ....158..138S,4.614,0.016,TIC,2019AJ....158..138S,4.469,0.016,TIC,2019AJ....158..138S,5.391,0.006,5.805398464202881,0.0028271650251659,gaia_dr3,2023A&A...674A...1G,6.10795259475708,0.0032545483040309,5.326962947845459,0.0053636686921912,58.42963261536771,0.0404063872992992,GaiaDR3,2023A&A...674A...1G,17.107667922973633,0.0125656127929687,bj2021,2021AJ....161..147B,0,G1V,2006A&A...460..695T,1,5892.0,36.0,Pastel,2022A&A...663A...4S,4.456951613406464,0.0240805668224936,calculated_from_M_and_R,Calculated Value,4.38,0.09,Pastel,2022A&A...663A...4S,-0.05,0.04,Pastel,2022A&A...663A...4S,0.0141267994874982,0.012709557193841,update_TIC,Calculated Value,0.975417556660086,0.0185953341715674,calc_from_L_and_Teff,Calculated Value,0.9937224984169006,0.040005087852478,gaia_dr3_flame,2023A&A...674A...1G,0,5.5131025314331055,1.020594835281372,gaia_dr3_flame,2023A&A...674A...1G,,6.703083,15.404551,4.0387240539869015e+18,6.67705,18.531088,4.038724053986955e+18,1,1,A,12.3,7.0,,,,0,,HD 165185,0.3,197.75,36.55,Simbad,271.59883,-36.01979
TIC 1544160,279.72250627749,-21.05187264419,279.722148569977,-21.05255555408361,1544160.0,4.079684229322231e+18,4.079684229322231e+18,91438.0,2MASS J18385342-2103065,6279-01723-1,WDS J18389-2103AB,HD 172051,tic_near,-74.71765460913085,0.1509133130311966,-153.05579093380402,0.1076995357871055,GaiaDR3,2023A&A...674A...1G,,,,,6.518,0.015,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,5.86,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,4.789,0.194,TIC,2019AJ....158..138S,4.309,0.198,TIC,2019AJ....158..138S,4.227,0.024,TIC,2019AJ....158..138S,5.242,0.007,5.679285526275635,0.0028587106503362,gaia_dr3,2023A&A...674A...1G,6.020049095153809,0.003234785031334,5.162708282470703,0.004884544216363,76.74052986202392,0.0493903271853923,GaiaDR3,2023A&A...674A...1G,13.022345542907717,0.0084362030029305,bj2021,2021AJ....161..147B,0,G6V,2006AJ....132..161G,1,5630.0,13.0,Pastel,2022A&A...663A...4S,4.560858955879186,0.0549089885197073,calculated_from_M_and_R,Calculated Value,4.5,0.03,Pastel,2022A&A...663A...4S,-0.25,0.01,Pastel,2022A&A...663A...4S,-0.1660630388564943,0.0099404967316351,update_TIC,Calculated Value,0.86816912280126,0.01071412685745,calc_from_L_and_Teff,Calculated Value,1.0,0.124,TIC,2019AJ....158..138S,0,,,,,,,,,,,,1,1,AB,0.0,2.4000000000000004,,,,0,,HD 172051,0.17,92.6,31.32,Simbad,279.7225,-21.05187
TIC 61275837,287.21034477834,-42.42812050653,287.2105068430094,-42.42864332488467,61275837.0,6.714027605939931e+18,6.714027605939931e+18,94050.0,2MASS J19085048-4225411,7925-00564-1,,HD 177996,tic_near,19.131269796031127,0.3752166032791137,-122.12300030062276,0.3684091866016388,GaiaDR3,2023A&A...674A...1G,,,,,8.74,,Simbad,,7.88,,Simbad,,,,,,,,,,6.283,0.02,TIC,2019AJ....158..138S,5.88,0.031,TIC,2019AJ....158..138S,5.758,0.024,TIC,2019AJ....158..138S,7.08,0.006,7.6470818519592285,0.0029801140378887,gaia_dr3,2023A&A...674A...1G,8.094793319702148,0.0049103381488055,7.026646137237549,0.0047953258016578,30.25943682137518,0.3527409434318542,GaiaDR3,2023A&A...674A...1G,33.0884895324707,0.4124050140380859,bj2021,2021AJ....161..147B,0,K1V,2006A&A...460..695T,1,5077.0,124.1,TIC,2019AJ....158..138S,4.249986104467805,0.0717816467868862,calculated_from_M_and_R,Calculated Value,,,,,-0.21,,gcs_reanalysis,2011A&A...530A.138C,-0.105376187517785,0.0204036131093617,update_TIC,Calculated Value,1.144854312163114,0.0620945714171782,calc_from_L_and_Teff,Calculated Value,0.85,0.106,TIC,2019AJ....158..138S,0,,,,,,9.479865,18.816353,6.71402760594081e+18,9.479865,18.816353,6.71402760594081e+18,0,1,,,,,,,0,,HD 177996,0.64,133.05,34.16,Simbad,287.21037,-42.4281
TIC 176188045,289.23023552032,5.16889966875,289.2276515036191,5.162976302668586,176188045.0,4.2933188231820815e+18,4.2933188231820815e+18,94761.0,2MASS J19165526+0510086,0472-01252-1,WDS J19169+0510A,HD 180617,tic_near,-579.0805296593278,0.0246883314102888,-1332.8677163542409,0.0211445186287164,GaiaDR3,2023A&A...674A...1G,11.768,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,10.63,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,9.115,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.076,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.782,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,5.583,0.03,TIC,2019AJ....158..138S,4.929,0.027,TIC,2019AJ....158..138S,4.673,0.02,TIC,2019AJ....158..138S,6.943,0.007,8.099910736083984,0.0028086607066522,gaia_dr3,2023A&A...674A...1G,9.355669021606444,0.0031495317620128,6.977149963378906,0.0040873711303404,169.06150528157374,0.0239260718226432,GaiaDR3,2023A&A...674A...1G,5.91356086730957,0.0007760524749755,bj2021,2021AJ....161..147B,0,M3-V,1989ApJS...71..245K,1,3499.0,,TIC,2019AJ....158..138S,4.761043522765619,,calculated_from_M_and_R,Calculated Value,,,,,-0.4699999988079071,0.0049999952316283,gspspec [M/H],2023A&A...674A...1G,-1.5198457608843114,0.1041850253551443,update_TIC,Calculated Value,0.4729790225420593,,calc_from_L_and_Teff,Calculated Value,0.4706083778929937,0.0105409954663749,Mann2019,Calculated Value,0,,,,,,4.893442,17.919672,4.293318823182206e+18,4.893442,17.919672,4.293318823182206e+18,1,1,A,75.5,8.31,4.2933157651654897e+18,75.4996,6.2034,1,HD 180617,HD 180617,1.08,10.03,7.8,Simbad,289.23024,5.1689
TIC 281360699,298.01432721422,11.62832572363,298.01276545783395,11.626838524252255,281360699.0,4.3037354932325284e+18,4.3037354932325284e+18,97767.0,2MASS J19520343+1137421,1066-03555-1,WDS J19521+1138A,HD 187923,tic_near,-344.0420486513904,0.0220103450119495,-334.6001305867717,0.0221962984651327,GaiaDR3,2023A&A...674A...1G,,,,,6.78,,Simbad,,6.159,0.023,TIC sirful,2019AJ....158..138S,5.8,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,5.284,0.286,TIC,2019AJ....158..138S,4.718,0.076,TIC,2019AJ....158..138S,4.576,0.023,TIC,2019AJ....158..138S,5.556,0.006,5.997954368591309,0.0027732904260084,gaia_dr3,2023A&A...674A...1G,6.3231635093688965,0.0029234894031346,5.498854160308838,0.003919670676833,37.00266681103541,0.0269132237881422,GaiaDR3,2023A&A...674A...1G,27.002538681030277,0.0199317932128906,bj2021,2021AJ....161..147B,0,G0V,2011ARep...55...31S,1,5715.0,17.0,Pastel,2022A&A...663A...4S,4.084413136714645,0.0214666474609451,calculated_from_M_and_R,Calculated Value,4.1,0.04,Pastel,2022A&A...663A...4S,-0.12,0.02,Pastel,2022A&A...663A...4S,0.3390610259089275,0.0116606801705473,update_TIC,Calculated Value,1.507129908429189,0.0221307214631767,calc_from_L_and_Teff,Calculated Value,1.0061132907867432,0.0400013625621795,gaia_dr3_flame,2023A&A...674A...1G,0,10.61030387878418,0.9821209907531728,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,87.8,6.96,,,,0,,HD 187923,0.14,85.0,35.15,Simbad,298.01432,11.62833
