hpic_name,tess_id,period_var(d),period_var_uncert(d),amp_var(ppm),amp_var_uncert(d),RMS(ppm)
TIC 245858382,245858382,1.030269,0.016043,447.492409,1.679778,482.458376
TIC 115509518,115509518,6.051433,0.506665,88.924494,1.962377,255.056327
TIC 243215335,243215335,4.235602,0.305759,132.515285,1.732221,229.757597
TIC 391844777,391844777,7.384342,1.147580,245.456576,1.747559,314.253081
TIC 161335014,161335014,9.314490,1.230917,85.311721,1.766512,324.192044
TIC 245895478,245895478,1.492800,0.034856,247.597932,1.691422,371.132575
TIC 55315634,55315634,4.557835,0.456540,94.324279,1.789132,296.230332
TIC 190927608,190927608,0.738840,0.007448,165.510147,1.544038,280.034238
TIC 259909186,259909186,7.181506,0.729630,564.080333,1.836192,532.138834
TIC 368438895,368438895,2.915709,0.123677,92.587608,1.707693,279.867022
TIC 201306559,201306559,3.403314,0.153901,522.053198,1.924894,578.673558
TIC 136744612,136744612,3.961784,0.211679,1435.134214,1.711390,1184.874205
TIC 26060505,26060505,2.633615,0.090657,165.345034,2.437062,276.046013
TIC 21895899,21895899,1.173995,0.024268,204.400789,1.722359,284.064717
TIC 373071009,373071009,8.329685,1.021799,1071.415931,1.839011,894.329328
TIC 440489582,440489582,7.563553,0.907873,855.760688,1.636803,834.263886
TIC 154234114,154234114,5.977220,0.752319,72.345241,1.704394,213.923902
TIC 20785413,20785413,9.146715,1.150289,458.110873,1.528442,537.571562
TIC 121025936,121025936,6.210912,0.536921,110.232000,1.776000,269.043483
TIC 239972376,239972376,2.746895,0.111152,69.020843,1.889199,242.563111
TIC 268215639,268215639,2.213645,0.074687,626.433211,1.829546,601.814194
TIC 440109725,440109725,10.522011,1.336893,91.775745,1.773364,508.971513
TIC 143046056,143046056,2.701043,0.112445,28.440539,1.821393,196.890217
TIC 152507325,152507325,8.329886,1.002843,174.082302,3.435397,992.292096
TIC 27550294,27550294,6.732150,0.600579,1688.468306,2.063650,4792.518871
TIC 27024885,27024885,2.307309,0.093179,104.528548,1.691071,272.129433
TIC 323531732,323531732,1.745757,0.040435,41.081863,1.609268,257.015397
TIC 405046988,405046988,6.222274,0.482777,205.115827,4.216190,816.137023
TIC 10787084,10787084,1.607497,0.052512,160.174403,1.871746,299.135414
TIC 374859347,374859347,6.249994,0.557175,91.681771,1.587415,213.637229
TIC 155950028,155950028,5.844068,0.552525,41.621546,1.783420,220.148343
TIC 101311292,101311292,2.127529,0.069892,166.648007,1.861493,263.022309
TIC 358089005,358089005,7.760177,0.920975,156.290683,1.847750,306.767832
TIC 24608799,24608799,3.637696,0.233873,149.874327,1.620214,244.344230
TIC 72855589,72855589,3.866281,0.242013,35.426757,1.985487,199.420026
TIC 151236987,151236987,1.253587,0.025712,30.040090,1.752123,189.036969
TIC 262719749,262719749,2.821739,0.128230,216.979792,1.751851,271.562884
TIC 383188202,383188202,11.194703,2.531760,2827.638371,2.075856,2483.609723
TIC 272783172,272783172,6.563248,0.481070,228.526942,1.690053,315.401973
TIC 212960381,212960381,4.066239,0.234766,388.303086,2.083646,470.398724
TIC 9375900,9375900,7.145474,0.694255,85.583821,1.811855,337.999239
TIC 299055425,299055425,9.809753,1.532357,30.176355,1.697524,201.515651
TIC 376986714,376986714,8.430684,0.873993,432.010591,2.066164,460.207561
TIC 334791971,334791971,6.524202,0.734416,44.458063,1.737944,234.506967
TIC 4612575,4612575,2.450270,0.081175,413.932969,2.267373,404.849741
TIC 55857787,55857787,8.525526,1.163325,274.316320,1.748260,343.479990
TIC 185099888,185099888,1.770105,0.047127,188.163515,1.909654,308.931815
TIC 255125492,255125492,0.649500,0.006648,131.885599,1.854181,306.564077
TIC 96196913,96196913,3.680202,0.222031,421.960518,1.763121,559.246547
TIC 17038893,17038893,9.924599,1.287909,48.439499,1.641882,206.653092
TIC 435479953,435479953,9.763304,1.740953,535.601732,1.702497,517.967761
TIC 158381571,158381571,1.796534,0.052301,232.755553,1.614519,376.124540
TIC 66100263,66100263,10.845389,1.626746,1158.138269,1.773533,960.937888
TIC 145253043,145253043,1.136451,0.019013,274.343459,1.673877,317.147566
TIC 357373129,357373129,11.027107,1.649406,125.359615,1.811156,257.173658
TIC 254291902,254291902,3.018492,0.145241,965.672019,3.214071,1414.302986
TIC 66409287,66409287,9.935402,1.625245,405.442878,1.879433,410.085894
TIC 310362805,310362805,0.060507,0.000054,17008.431422,2.538293,23270.635975
TIC 246942458,246942458,4.509028,0.315732,49.841332,1.763744,234.668978
TIC 258343679,258343679,2.902873,0.115691,72.757012,1.822460,292.811184
TIC 358050165,358050165,3.823694,0.278023,151.458369,1.940673,258.708095
TIC 212714426,212714426,4.219188,0.298050,311.834458,2.193498,403.061289
TIC 301329955,301329955,6.875458,0.769431,40.428064,2.180081,253.432556
TIC 80144740,80144740,4.141815,0.237532,58.356465,1.810559,250.778128
TIC 354670806,354670806,12.540718,3.582435,14242.413711,3.456780,11363.027801
TIC 189847689,189847689,8.029978,0.983203,1216.451225,1.779238,994.670089
TIC 351491907,351491907,2.992844,0.171305,132.051723,1.729370,274.778988
TIC 212533989,212533989,0.688596,0.006072,578.698044,1.877133,580.580932
