,star_name,gaiadr3,HD,logRhk
99,TIC 66814605,6040291273229121408,HD143114,-4.93
100,TIC 71960105,4356054757585316992,HD147512,-4.99
101,TIC 58360410,4354950641755249024,HD150433,-4.96
102,TIC 100374998,4208110932591708672,HD183658,-4.98
103,TIC 248194676,6914237987476826624,HD197210,-4.89
104,TIC 260357429,6888226462941735680,HD198075,-4.91
105,TIC 259719464,6403912515987392128,HD204385,-4.97
106,TIC 269282550,2674471122993231104,HD206172,-4.86
107,TIC 38202481,2619938606134863872,HD210752,-4.85
108,TIC 161265414,6514371309538745600,HD215456,-5.07
109,TIC 386583423,3359849565865802112,HD54351,-4.95
110,TIC 27549653,656546537868692480,HD68168,-5.04
111,TIC 6677245,3053492881541641600,HD59984,-4.92
112,TIC 231267777,6508776375901968640,HD211415,-4.94
113,TIC 161314759,6515731817739456256,HD216435,-5.05
114,TIC 289624436,2417456431710276096,HD361,-4.70
115,TIC 167460086,2468607533700284800,HD7134,-4.93
116,TIC 231836962,4716158250340258944,HD10180,-5.00
117,TIC 122555698,5062172841616745856,HD16417,-5.05
118,TIC 144503325,5060104351007433472,HD20782,-4.92
119,TIC 279696912,3011850012504392960,HD38277,-5.00
120,TIC 238949177,5553647083168192512,HD44594,-5.00
121,TIC 49831913,2898239468873596800,HD45184,-4.90
122,TIC 65652471,5617564477239812864,HD55693,-5.02
123,TIC 286069970,5320952798822552064,HD69655,-4.90
124,TIC 391844777,3750995604764854400,HD92719,-4.84
125,TIC 151956235,5395795730687103488,HD97998,-4.89
126,TIC 287609748,6088054505011960832,HD114853,-4.93
127,TIC 76399157,6210926819198797440,HD134664,-4.88
128,TIC 410994457,4341501106288171008,HD144585,-5.08
129,TIC 382276154,6421555485729063424,HD177409,-4.87
130,TIC 248854510,6912276699251278848,HD199960,-4.99
131,TIC 425039286,6840872971033892608,HD208704,-4.91
132,TIC 301329955,2643862402903084544,HD221146,-5.02
133,TIC 404224395,6350283492745097728,HD222669,-4.87
134,TIC 100606047,6481828582855724544,HD196390,-4.74
135,TIC 117979951,2980492387558410112,HD30495,-4.55
136,TIC 7144533,4991747403868417792,HD1320,-4.87
137,TIC 281498595,4923433303326992384,HD2071,-4.90
138,TIC 279069526,3261878613062758144,HD20619,-4.79
139,TIC 29832209,4655882679310434816,HD28701,-4.95
140,TIC 176521059,3023711269067191296,HD38858,-4.90
141,TIC 232022864,5569858798004394624,HD45289,-5.03
142,TIC 270205941,5644325284591298688,HD71334,-4.99
143,TIC 31716749,5427207918907843072,HD78429,-4.91
144,TIC 308840739,5674217260526161152,HD88084,-4.96
145,TIC 106900981,5391813299572883456,HD93385,-4.98
146,TIC 80384789,5362002309531896192,HD95521,-4.87
147,TIC 454082369,5381537023379295232,HD102365,-4.94
148,TIC 98993377,3485971555389836160,HD104982,-4.94
149,TIC 21113446,6128366415218881536,HD108309,-5.02
150,TIC 208844024,5872266689455300608,HD121504,-4.83
151,TIC 383006458,5853300216982678400,HD125881,-4.89
152,TIC 207806112,5931529953919720576,HD145666,-4.74
153,TIC 49406320,6243032008973309440,HD145809,-5.01
154,TIC 135656809,4345775217221821312,HD146233,-4.93
155,TIC 160991902,6703245382605547520,HD168871,-4.94
156,TIC 204816649,4198685678421509376,HD177758,-4.91
157,TIC 352402781,6427244702486210816,HD189567,-4.90
158,TIC 164332676,6848935999040583168,HD193193,-4.93
159,TIC 269831195,6806482034026893824,HD196800,-5.00
160,TIC 147407292,6564091190988411520,HD207129,-4.89
161,TIC 197686484,6586580842340695040,HD208487,-4.93
162,TIC 278614418,6569895822110445440,HD210918,-5.00
163,TIC 250975235,2622929144618856704,HD213575,-5.06
164,TIC 206361964,6524024506237594368,HD223171,-5.02
165,TIC 346923890,2585856120791459584,HD9986,-4.90
166,TIC 153498031,3330062833797919744,HD42807,-4.48
167,TIC 50651990,3028228853115437312,HD59711,-4.93
168,TIC 459427073,4423865487962417024,HD140538,-4.76
169,TIC 126584063,6484716209628726912,HD199288,-4.90
170,TIC 205591703,6904703228801028864,HD195564,-5.11
171,TIC 32360983,6742873637093574400,HD181321,-4.32
172,TIC 37748347,2430102808294101760,HD1461,-5.03
173,TIC 32550957,2451580320537911680,HD8406,-4.83
174,TIC 11637943,5036258177181358720,HD8638,-4.93
175,TIC 441501782,5155981730587168384,HD19467,-5.00
176,TIC 248689603,3201236698501590272,HD28821,-4.97
177,TIC 410389503,4614366494633844736,HD34449,-4.88
178,TIC 280495780,5409121433672765824,HD83529,-4.97
179,TIC 136916387,5902750168276592256,HD136352,-4.94
180,TIC 59476871,4367026303085396352,HD157347,-5.00
181,TIC 344988456,3835743693290897152,HD88072,-4.97
182,TIC 381726125,3729017810434416128,HD114174,-5.01
183,TIC 95789856,6035927380304634240,HD145825,-4.79
184,TIC 233438010,5943191236735787520,HD150248,-4.98
185,TIC 173673173,5586381090520538880,HD59967,-4.36
186,TIC 409883397,6420588087293438976,HD183414,-4.31
187,TIC 151654299,4076014471814188160,HD171665,-4.92
188,TIC 251216282,3118688251708604928,HD44420,-5.03
189,TIC 20066082,5742430270422799872,HD78612,-4.99
190,TIC 56812239,3598278250031419008,HD106116,-5.01
191,TIC 333459486,5898641087150340224,HD126525,-4.98
192,TIC 352316369,6423511619991420544,HD188748,-4.96
193,TIC 153289168,3319126988068404096,HD42618,-4.89
194,TIC 289074137,5901924435035073152,HD131923,-4.94
195,TIC 408006047,2427582693283953792,HD967,-4.88
196,TIC 248957280,2534009921293834240,HD8828,-5.00
197,TIC 11648750,5029110664406696320,HD8859,-4.98
198,TIC 111245241,4958188247405308672,HD12387,-4.98
199,TIC 122574949,5062313166791762176,HD16714,-4.96
200,TIC 439911365,5181087291900789888,HD19034,-4.88
201,TIC 153027837,4847282124418880256,HD20407,-4.88
202,TIC 38698692,4675222436007028608,HD28471,-4.99
203,TIC 53688090,5609058277323483392,HD50806,-5.10
204,TIC 126738447,5324296207519645696,HD78747,-4.87
205,TIC 36733752,3767319332347773184,HD89454,-4.68
206,TIC 193032655,5461620846141553024,HD90156,-4.95
