,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
333,HD 215152,375,320,4671,112,b'2003-12-15T01:40:35.412',b'2016-09-28T05:27:25.004',8.121,0.97,46.273,b'K3',4803,7.814,5.336,0.2708,0.2713,0.0012,0.0257,-4.8609,-4.8599,0.0022,1.378,1.381,0.007,0.148,340.83876,-6.40082,2623505219992303104
334,HD 215257,37,33,1700,118,b'2003-11-04T01:56:44.575',b'2008-06-30T09:26:55.930',7.409,0.515,22.969,b'F9',6052,11.282,2.516,0.1682,0.1681,0.0008,0.0017,-4.8263,-4.8272,0.0043,1.492,1.489,0.015,0.031,340.96133,3.88684,2704678521338820096
335,HD 215456,267,140,4946,178,b'2003-10-25T01:30:11.924',b'2017-05-10T08:31:10.388',6.622,0.633,25.22,b'G2',5789,7.531,1.652,0.1495,0.1494,0.0006,0.0014,-5.1295,-5.1311,0.0049,0.742,0.739,0.008,0.02,341.53348,-48.97882,6514371309538745344
336,HD 215497,117,29,1222,63,b'2004-10-09T02:39:46.396',b'2009-11-07T01:30:06.488',8.948,0.949,24.634,b'K2',5003,5.986,5.09,0.1739,0.1746,0.0016,0.0095,-5.0719,-5.0695,0.005,0.847,0.852,0.01,0.059,341.65314,-56.59954,6504232472302121984
337,HD 215722,3,1,1,50,b'2004-07-18T08:28:05.328',b'2013-08-18T08:30:28.638',10.031,1.17,24.631,b'K4',4621,5.294,4.621,0.8158,0.8158,0.0054,0.0,-4.6415,-4.6415,0.0029,2.283,2.283,0.015,0.0,341.88107,-24.56033,6623341982821959680
338,HD 216530,2,1,1,46,b'2010-09-23T07:05:40.502',b'2013-08-18T09:04:38.423',9.939,0.965,21.61,b'  ',0,0.0,0.0,0.7884,0.7884,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.57237,-43.01035,6541360574788758528
339,HD 216770,91,47,5385,109,b'2003-10-28T02:02:00.879',b'2018-07-26T09:32:50.819',8.115,0.823,27.247,b'G8',5424,3.839,3.256,0.1858,0.1865,0.0008,0.0088,-4.9673,-4.9645,0.0031,1.078,1.085,0.008,0.08,343.97378,-26.65876,6610107504955838464
340,HD 216777,23,23,3270,117,b'2003-10-28T02:22:29.644',b'2012-10-10T02:31:52.002',8.034,0.668,27.732,b'G6',5623,12.444,1.766,0.1754,0.1753,0.0008,0.0017,-4.9392,-4.9399,0.0041,1.15,1.148,0.011,0.023,343.95824,-7.82261,2610488514148352000
341,HD 217343,26,12,2727,130,b'2009-06-04T08:47:26.237',b'2016-11-21T02:37:17.878',7.458,0.651,31.467,b'G0',5955,0.73,0.742,0.473,0.4717,0.0009,0.0153,-4.2665,-4.2679,0.0011,5.414,5.396,0.013,0.217,345.08036,-26.15375,2382711653818308096
342,HD 218249,23,19,3310,63,b'2003-10-31T02:47:24.710',b'2012-11-28T00:16:18.372',9.326,0.878,26.057,b'K2',4956,9.999,7.818,0.2115,0.2081,0.0017,0.0102,-4.9144,-4.9239,0.0047,1.218,1.192,0.013,0.079,346.63523,-0.19614,2651240950559225856
