,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
11,HD 100508,32,31,2273,146,b'2004-01-11T08:20:23.817',b'2010-04-13T02:23:30.047',7.736,0.827,30.501,b'G8',5449,3.716,3.104,0.1614,0.1622,0.0008,0.0061,-5.0681,-5.0646,0.0036,0.855,0.862,0.007,0.055,173.30454,-67.05458,5236623864770650112
12,HD 100777,37,17,890,51,b'2004-02-28T05:32:19.403',b'2007-07-13T00:12:17.596',8.348,0.734,20.16,b'G7',5536,7.757,1.713,0.1549,0.1567,0.0013,0.0047,-5.0869,-5.0757,0.0083,0.819,0.84,0.016,0.054,173.96468,-4.75569,3786035184916139008
13,HD 101581,6,5,1155,139,b'2004-01-11T08:39:57.411',b'2007-03-12T06:25:44.943',7.775,1.066,78.23,b'K4',4615,5.647,4.9,0.4878,0.4903,0.0014,0.0128,-4.7075,-4.7052,0.0013,1.961,1.972,0.006,0.053,175.26028,-44.40519,5378886891123024896
14,HD 101650,23,9,1137,39,b'2005-02-05T08:23:37.100',b'2011-05-10T01:24:57.966',10.572,1.088,23.731,b'K4',4626,4.695,4.713,0.5735,0.5689,0.0052,0.0171,-4.6672,-4.6708,0.004,2.152,2.134,0.02,0.065,175.41762,-23.19911,3540033580054936064
15,HD 101930,74,70,4528,104,b'2004-02-03T06:42:27.732',b'2016-06-26T23:41:47.983',8.207,0.907,33.274,b'K1',5164,5.25,4.543,0.1889,0.1868,0.0011,0.0128,-4.9983,-5.0048,0.0033,1.004,0.989,0.008,0.091,175.87547,-58.00688,5341787994441793536
16,HD 102117,85,69,4509,154,b'2004-01-13T08:30:07.015',b'2016-05-18T03:48:30.670',7.465,0.719,25.237,b'G5',5657,7.032,1.429,0.1484,0.1491,0.0007,0.0023,-5.1262,-5.1215,0.005,0.748,0.756,0.009,0.028,176.21025,-58.70371,5341673851394297856
17,HD 102195,24,21,1444,137,b'2005-05-11T01:34:51.427',b'2009-04-24T04:16:44.214',8.081,0.839,34.056,b'G9',5311,1.372,1.43,0.4049,0.4065,0.0018,0.0133,-4.5277,-4.5256,0.0023,2.967,2.981,0.015,0.115,176.42622,2.82148,3799626935341795840
18,HD 102365,473,105,4934,236,b'2003-11-06T08:58:12.452',b'2017-05-10T02:40:48.439',4.899,0.667,107.621,b'G5',5629,12.237,3.262,0.1735,0.1735,0.0006,0.0017,-4.949,-4.9489,0.003,1.125,1.125,0.008,0.024,176.62947,-40.50036,5381537023379295232
19,HD 102438,115,66,5228,202,b'2004-02-03T07:53:14.394',b'2018-05-28T03:44:39.049',6.433,0.664,56.368,b'G7',5560,10.268,12.505,0.173,0.1729,0.0006,0.0017,-4.9491,-4.9497,0.0033,1.124,1.123,0.008,0.023,176.81587,-30.28651,3480332916165100032
20,HD 103949,4,4,1077,99,b'2004-02-02T07:28:40.511',b'2007-01-14T08:04:51.936',8.703,0.986,37.708,b'  ',0,0.0,0.0,0.3443,0.3406,0.0016,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.54877,-23.92389,3492633633781166592
21,HD 104006,51,39,4174,87,b'2004-02-13T06:57:30.874',b'2015-07-19T00:29:52.483',8.906,0.779,30.535,b'K2',5046,0.029,0.002,0.1811,0.1811,0.0011,0.0036,-4.9682,-4.9683,0.0044,1.076,1.076,0.011,0.037,179.61672,-41.92201,5380306876026603520
22,HD 104067,89,86,2271,133,b'2004-02-02T07:45:38.804',b'2010-04-22T03:40:31.548',7.939,0.981,49.079,b'K2',4969,4.271,4.537,0.3606,0.3591,0.0013,0.0182,-4.735,-4.737,0.0017,1.841,1.832,0.007,0.101,179.7917,-20.35378,3494677900774837760
23,HD 104263,30,29,2245,131,b'2004-02-02T08:14:23.515',b'2010-03-27T04:51:14.951',8.186,0.737,23.78,b'G8',5477,11.941,2.309,0.1612,0.1604,0.0008,0.0028,-5.0507,-5.0548,0.0044,0.89,0.881,0.009,0.033,180.1144,-4.54881,3600638179941832192
24,HD 104731,79,19,595,273,b'2006-02-11T07:50:21.625',b'2011-07-23T00:07:09.564',5.15,0.417,40.441,b'F1',6937,0.64,0.567,0.1834,0.1834,0.0005,0.002,-4.6441,-4.6443,0.0022,2.269,2.268,0.012,0.043,180.91488,-42.43406,6148648281576024064
25,HD 104982,40,39,2271,144,b'2004-02-02T08:00:40.635',b'2010-04-22T03:57:39.927',7.777,0.65,27.557,b'G4',5692,9.387,1.571,0.171,0.171,0.0007,0.001,-4.9498,-4.9498,0.0038,1.122,1.122,0.01,0.014,181.30587,-28.71723,3485971555389835776
26,HD 105671,2,2,13,86,b'2004-02-03T07:27:10.705',b'2004-02-16T07:43:59.144',8.462,1.138,50.612,b'K3',4748,4.486,4.282,0.8554,0.8565,0.0031,0.0149,-4.5684,-4.5679,0.0016,2.701,2.705,0.01,0.047,182.47909,-46.20839,6143175840408947712
27,HD 105837,24,24,3049,163,b'2004-02-03T07:11:06.863',b'2012-06-09T01:00:35.841',7.516,0.569,27.908,b'G0',5907,11.516,2.175,0.1878,0.1878,0.0007,0.0039,-4.7901,-4.7899,0.003,1.621,1.622,0.011,0.065,182.74139,-46.32198,6143165291967834112
28,HD 106116,141,134,4888,163,b'2004-02-02T08:31:17.227',b'2017-06-21T00:08:31.818',7.36,0.676,28.985,b'G4',5680,7.108,1.571,0.1604,0.1601,0.0007,0.003,-5.0295,-5.0317,0.0041,0.934,0.93,0.009,0.04,183.12018,-3.08447,3598278250031419392
29,HD 106275,24,23,3010,91,b'2004-02-11T05:41:50.041',b'2012-05-09T04:06:25.377',8.625,0.89,31.198,b'K2',5059,7.259,4.758,0.2163,0.2245,0.0013,0.0329,-4.9099,-4.889,0.0033,1.231,1.291,0.009,0.245,183.46606,-69.06045,5856250378426143744
30,HD 106515A,2,2,2,121,b'2005-02-01T08:39:33.653',b'2005-02-03T07:09:32.039',7.959,0.816,29.304,b'G9',5380,11.451,2.718,0.1574,0.1578,0.0008,0.0019,-5.0854,-5.0832,0.0039,0.822,0.826,0.007,0.017,183.77736,-7.25732,3584074376569428992
31,HD 107148,55,19,4839,91,b'2005-02-09T05:46:05.121',b'2018-05-10T23:13:12.334',7.986,0.699,20.208,b'G2',5805,2.705,1.339,0.1602,0.1608,0.0008,0.0049,-5.0421,-5.0386,0.0048,0.908,0.915,0.01,0.062,184.80621,-3.31979,3693358861640279040
32,HD 108147,49,27,5194,151,b'2004-01-27T09:08:28.846',b'2018-04-17T05:59:21.131',6.982,0.534,25.665,b'F7',6260,0.338,0.254,0.1843,0.1838,0.0007,0.0027,-4.7688,-4.7711,0.003,1.703,1.694,0.012,0.048,186.44278,-64.02209,6053512007260864512
33,HD 108202,34,14,4645,36,b'2005-05-21T02:49:34.681',b'2018-04-10T03:53:03.125',10.262,1.203,25.821,b'K4',4546,4.668,4.666,1.2653,1.251,0.0097,0.0509,-4.5034,-4.5083,0.0034,3.138,3.102,0.024,0.127,186.46265,-1.11059,3694842171545207296
34,HD 108309,49,27,3333,216,b'2004-02-03T07:44:28.397',b'2013-03-20T05:36:53.018',6.249,0.674,37.256,b'G2',5775,7.648,2.169,0.1609,0.1606,0.0006,0.0023,-5.0252,-5.0267,0.0036,0.944,0.94,0.008,0.031,186.70059,-48.91319,6128366415218881536
35,HD 108341,52,15,5159,54,b'2004-02-12T07:17:54.751',b'2018-04-07T05:15:24.186',9.362,0.913,20.417,b'K1',5122,5.556,4.755,0.2132,0.2085,0.002,0.0145,-4.9344,-4.9469,0.0053,1.163,1.13,0.014,0.1,186.8808,-71.42298,5842782219960410112
36,HD 108564,33,18,3351,65,b'2004-02-17T06:36:51.194',b'2013-05-02T03:46:32.385',9.454,0.965,36.677,b'K4',4675,6.162,6.246,0.2728,0.2719,0.002,0.0221,-4.8524,-4.8541,0.0035,1.405,1.399,0.011,0.13,187.07967,-16.91105,3520548825260557312
37,HD 108935,9,3,5,52,b'2004-02-12T07:29:56.060',b'2011-04-13T06:38:12.172',9.785,1.128,25.646,b'K4',4724,4.865,4.767,0.3437,0.3409,0.0031,0.0038,-4.9549,-4.9585,0.004,1.109,1.1,0.01,0.012,187.82381,-43.38447,6145388225302128640
38,HD 109200,860,453,5195,134,b'2004-02-11T06:27:45.826',b'2018-05-03T01:53:30.766',7.138,0.839,61.719,b'K2',5056,0.031,0.003,0.1909,0.1915,0.0008,0.008,-4.9561,-4.9542,0.0027,1.106,1.111,0.007,0.07,188.38076,-68.75581,5856411869205581824
39,HD 109409,61,28,3333,228,b'2004-02-03T08:19:36.013',b'2013-03-20T05:20:02.476',5.758,0.682,35.095,b'G1',5886,3.719,1.019,0.1416,0.1416,0.0006,0.0015,-5.2119,-5.2117,0.005,0.614,0.614,0.007,0.019,188.67664,-44.67302,6133033601555980288
40,HD 109423,2,1,1,79,b'2004-02-11T06:46:28.810',b'2004-02-26T08:02:43.754',8.816,0.897,29.358,b'K2',5074,4.806,4.247,0.4614,0.4614,0.002,0.0,-4.5216,-4.5216,0.0021,3.009,3.009,0.015,0.0,188.70296,-41.2346,6146890643519305728
41,HD 109988,27,12,5055,46,b'2004-02-19T07:44:08.446',b'2017-12-25T08:27:37.865',8.89,0.89,23.485,b'K2',5100,10.047,4.25,0.2241,0.2236,0.002,0.0182,-4.8893,-4.8905,0.005,1.29,1.287,0.015,0.136,189.81569,-32.72608,6160221740968692736
42,HD 110619,26,26,3049,154,b'2004-02-03T08:02:53.461',b'2012-06-09T01:20:19.537',7.528,0.663,36.013,b'G6',5613,12.24,1.96,0.1897,0.1924,0.0007,0.0082,-4.8679,-4.856,0.0032,1.355,1.393,0.01,0.113,190.92802,-37.70814,6153706477443519488
43,HD 111031,40,29,3337,173,b'2004-02-02T09:33:52.693',b'2013-03-23T05:34:31.402',6.878,0.698,32.017,b'G2',5801,4.34,0.992,0.1535,0.1535,0.0006,0.0012,-5.085,-5.0846,0.004,0.822,0.823,0.008,0.015,191.62851,-11.81244,3529518709839090176
44,HD 111232,58,56,4489,129,b'2004-02-12T07:43:20.020',b'2016-05-28T04:25:09.662',7.588,0.7,34.505,b'G8',5460,0.023,0.001,0.1706,0.1708,0.0008,0.0018,-4.9838,-4.9832,0.0041,1.038,1.039,0.01,0.022,192.21564,-68.42515,5855730584310531072
45,HD 111515,95,62,4448,107,b'2004-02-27T07:06:33.134',b'2017-07-04T00:51:53.379',8.138,0.689,30.84,b'G9',5398,0.024,0.001,0.1747,0.1754,0.0008,0.0027,-4.9566,-4.9528,0.0043,1.105,1.115,0.011,0.035,192.43679,1.18804,3702148666829533696
46,HD 111777,193,106,4808,79,b'2004-02-01T08:59:45.010',b'2017-04-01T04:12:33.883',8.47,0.613,20.204,b'G5',5666,0.017,0.0,0.1721,0.1722,0.0009,0.0023,-4.9119,-4.9115,0.0048,1.225,1.226,0.014,0.036,193.04852,-56.57444,6061388186966895616
47,HD 112164,10,1,1,145,b'2004-01-21T08:19:52.319',b'2004-01-21T08:42:48.556',5.886,0.631,25.989,b'F9',6060,2.443,0.606,0.135,0.135,0.0005,0.0,-5.2695,-5.2695,0.006,0.538,0.538,0.007,0.0,193.74392,-44.15192,6135536364897329152
48,HD 112540,8,8,2295,80,b'2004-02-11T07:08:55.667',b'2010-05-25T04:36:12.192',8.176,0.712,27.535,b'G7',5523,7.367,2.147,0.2307,0.2298,0.0014,0.0199,-4.7543,-4.7569,0.0042,1.761,1.75,0.017,0.244,197.08594,-87.21931,5766054141036403712
49,HD 113569,15,8,2947,46,b'2006-02-18T08:49:42.432',b'2018-04-10T04:10:14.370',9.712,0.947,21.122,b'K3',4918,7.926,5.242,0.2693,0.2667,0.0024,0.0122,-4.8407,-4.8456,0.0045,1.443,1.427,0.015,0.076,196.23231,-28.92877,6185990754470465536
50,HD 114076,137,56,2916,62,b'2004-02-29T08:19:28.971',b'2015-04-05T07:16:32.441',9.383,0.809,21.826,b'K2',5066,0.03,0.001,0.1773,0.1782,0.0014,0.0072,-4.9949,-4.9911,0.0058,1.012,1.021,0.014,0.069,197.14136,-41.64415,6137663438860059648
51,HD 114386,17,17,2306,91,b'2004-01-29T08:02:15.145',b'2010-05-23T02:22:42.498',8.727,0.981,34.61,b'K3',4774,7.205,5.848,0.2399,0.2527,0.0015,0.037,-4.9322,-4.9066,0.0031,1.169,1.24,0.008,0.206,197.66593,-35.05478,6166971574132849664
52,HD 114613,714,150,5233,218,b'2004-01-29T08:19:37.458',b'2018-05-28T03:59:43.988',4.853,0.694,49.274,b'G3',5729,4.893,0.113,0.1495,0.1486,0.0005,0.0064,-5.1464,-5.1529,0.0041,0.714,0.703,0.007,0.079,198.01326,-37.80302,6141742283401003008
53,HD 114729,57,40,3826,176,b'2004-02-13T08:07:26.737',b'2014-08-04T22:54:44.526',6.672,0.588,27.69,b'G1',5844,9.547,3.055,0.1533,0.1534,0.0006,0.0011,-5.0055,-5.0046,0.0044,0.988,0.99,0.01,0.017,198.18441,-31.87335,6180035765135232000
54,HD 114747,39,39,1473,129,b'2004-02-13T07:50:02.363',b'2008-02-25T07:02:17.917',8.042,0.927,35.783,b'K1',5172,4.293,3.988,0.2391,0.2523,0.0012,0.037,-4.8837,-4.8554,0.0026,1.307,1.395,0.008,0.245,198.22626,-30.71176,6182398370808620032
55,HD 114783,91,39,4415,139,b'2004-02-15T07:54:04.325',b'2016-03-18T03:49:09.908',7.603,0.946,47.448,b'K1',5133,4.54,4.144,0.208,0.2074,0.0009,0.0115,-4.9725,-4.974,0.0023,1.065,1.062,0.006,0.072,198.18244,-2.26504,3684934540986187776
56,HD 114853,145,128,4934,189,b'2004-01-29T08:24:27.022',b'2017-08-02T00:59:22.317',6.93,0.643,39.918,b'G3',5705,10.433,2.072,0.171,0.1712,0.0007,0.0025,-4.9443,-4.9435,0.0037,1.137,1.139,0.01,0.036,198.46761,-45.1858,6088054505011960832
57,HD 115341,9,7,3264,48,b'2004-02-28T08:10:36.593',b'2013-02-04T08:35:11.536',7.838,0.587,20.936,b'F9',6058,1.231,0.847,0.1675,0.1677,0.0016,0.0109,-4.9135,-4.9121,0.0094,1.22,1.224,0.026,0.177,199.16696,-5.5735,3634809077186319872
58,HD 115585,25,23,3015,144,b'2004-02-11T07:45:16.675',b'2012-05-14T01:29:10.742',7.417,0.737,22.201,b'G3',5711,5.334,1.205,0.1455,0.1462,0.0007,0.0021,-5.1493,-5.1441,0.0051,0.709,0.718,0.008,0.025,199.96078,-70.85502,5843623140212452352
59,HD 115674,39,38,2252,114,b'2004-02-11T07:59:00.195',b'2010-04-12T04:04:49.374',7.865,0.662,28.814,b'G5',5649,6.153,1.687,0.1823,0.1832,0.0008,0.003,-4.9005,-4.8964,0.0039,1.257,1.269,0.011,0.042,200.7503,-81.31011,5783508853769084928
60,HD 116284,9,3,2206,60,b'2004-02-22T09:05:58.576',b'2016-04-11T03:07:49.071',7.237,0.844,20.316,b'K1',5213,7.518,0.139,0.1308,0.1357,0.0013,0.0114,-5.2086,-5.1789,0.008,0.619,0.662,0.011,0.101,201.16271,-70.43022,5844014257111642112
61,HD 116858,5,5,1103,95,b'2004-02-02T08:43:33.326',b'2007-02-09T09:07:07.050',8.768,0.919,33.343,b'K3',4913,7.101,4.87,0.3099,0.314,0.0014,0.0198,-4.7426,-4.736,0.0023,1.809,1.837,0.009,0.135,201.66482,-24.29337,6193280031230266368
62,HD 116883,10,4,2202,38,b'2004-02-12T09:21:13.846',b'2015-05-21T04:36:43.311',9.635,0.934,23.323,b'K3',4904,6.562,4.875,0.5105,0.5006,0.0042,0.031,-4.5159,-4.5251,0.0039,3.049,2.985,0.027,0.201,201.82536,-39.95281,6161318538178434048
63,HD 116920,9,9,2305,97,b'2004-02-02T09:10:24.326',b'2010-05-26T03:02:45.498',8.718,0.91,33.517,b'K2',5015,5.411,4.627,0.2728,0.2757,0.0014,0.0177,-4.7996,-4.7942,0.0026,1.586,1.606,0.01,0.124,201.7621,-24.29044,6193279279612173312
64,HD 116963,4,4,1430,41,b'2006-04-06T06:12:20.566',b'2010-03-06T08:12:37.001',9.937,1.094,25.899,b'K3',4735,4.546,4.721,0.8727,0.8686,0.0063,0.0111,-4.4923,-4.4943,0.0032,3.219,3.204,0.024,0.042,201.85387,-21.65532,6196088669260027904
65,HD 117105,30,29,3337,178,b'2004-02-02T09:00:51.739',b'2013-03-23T07:28:57.036',7.201,0.583,27.36,b'G1',5889,10.436,2.44,0.165,0.165,0.0006,0.001,-4.9236,-4.9238,0.0038,1.192,1.192,0.01,0.016,202.1273,-27.39185,6189254689097656320
66,HD 117207,89,78,4565,148,b'2004-02-14T07:54:22.830',b'2016-08-13T23:24:01.263',7.256,0.723,30.879,b'G5',5667,5.799,1.274,0.1543,0.1542,0.0007,0.0015,-5.0878,-5.0881,0.0045,0.817,0.816,0.009,0.018,202.33797,-35.571,6166183842771026944
67,HD 117618,75,33,5201,151,b'2004-02-13T08:33:02.206',b'2018-05-11T07:25:40.341',7.164,0.601,26.442,b'F9',5990,4.361,0.492,0.1591,0.159,0.0006,0.0013,-4.9788,-4.979,0.004,1.05,1.05,0.01,0.021,203.10648,-47.27136,6083860761505899520
68,HD 117938,4,2,2204,38,b'2004-02-22T09:25:09.070',b'2010-03-06T09:10:46.619',9.405,1.023,29.289,b'K4',4653,1.716,4.681,0.6949,0.6947,0.0056,0.0588,-4.4891,-4.4892,0.0036,3.243,3.242,0.027,0.283,203.57895,-36.52371,6164379784707816448
69,HD 118466,22,3,2562,43,b'2004-02-29T08:53:38.087',b'2018-04-08T04:59:00.325',9.32,0.954,20.895,b'K3',4938,7.579,12.342,0.2015,0.199,0.0022,0.0245,-4.9964,-5.0031,0.0057,1.008,0.993,0.013,0.149,204.45452,-35.44889,6164566117569107968
70,HD 119288,19,6,5,155,b'2009-02-02T08:19:16.643',b'2009-02-08T09:28:29.086',6.187,0.428,28.274,b'  ',0,0.0,0.0,0.1894,0.1895,0.0006,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.55317,8.3884,3724709133602631168
71,HD 119291,36,9,1926,39,b'2006-02-21T09:25:10.959',b'2018-03-11T06:20:06.557',9.255,1.191,40.667,b'K4',4611,4.937,4.762,0.7553,0.7387,0.0064,0.0583,-4.7096,-4.7192,0.0037,1.952,1.909,0.017,0.151,205.60848,-1.68627,3661492609484469760
72,HD 119503,7,4,336,37,b'2006-04-05T06:57:50.343',b'2018-03-12T06:28:38.460',9.583,0.979,23.764,b'K3',4810,6.728,4.779,0.6065,0.5941,0.0048,0.0334,-4.4919,-4.5013,0.0036,3.222,3.153,0.027,0.187,205.92423,-9.47559,3617345293484139008
73,HD 119638,26,23,3324,215,b'2004-02-13T08:45:08.765',b'2013-03-21T07:54:45.200',6.897,0.541,29.543,b'F9',6069,5.201,1.125,0.1638,0.1639,0.0006,0.0012,-4.8831,-4.8827,0.0035,1.309,1.31,0.01,0.021,206.18584,-14.22518,3606091998132474368
74,HD 119782,19,18,2636,101,b'2004-02-16T08:12:03.705',b'2011-05-06T03:04:57.454',8.636,0.854,28.705,b'K1',5160,7.545,4.299,0.3102,0.3131,0.0015,0.0132,-4.6823,-4.6772,0.0025,2.078,2.103,0.012,0.109,206.67511,-56.8501,5872022185537043456
75,HD 119802,4,3,8,41,b'2005-05-11T02:46:51.708',b'2005-05-19T02:10:42.642',8.481,1.055,45.248,b'K3',4788,4.617,4.325,0.7033,0.7168,0.0047,0.0196,-4.5287,-4.5203,0.0029,2.96,3.018,0.02,0.084,206.31132,8.83598,3725115471868588032
76,HD 121504,64,29,5216,126,b'2004-01-29T09:03:55.651',b'2018-05-11T07:55:25.349',7.532,0.59,23.975,b'F9',6022,0.413,0.26,0.1836,0.1859,0.0007,0.0064,-4.8313,-4.8209,0.0032,1.475,1.511,0.011,0.103,209.32183,-56.04004,5872266689455300608
77,HD 122862,52,25,3328,203,b'2004-02-11T09:21:47.468',b'2013-03-23T07:02:20.418',6.015,0.579,34.106,b'F9',5982,6.807,1.783,0.1542,0.1542,0.0006,0.0008,-4.9894,-4.9891,0.004,1.025,1.025,0.009,0.014,212.11318,-74.85029,5790389872417570816
78,HD 123180,8,4,2684,40,b'2006-04-05T07:30:16.389',b'2013-08-11T00:28:04.622',10.062,1.024,24.903,b'K4',4680,5.26,4.794,0.4432,0.4324,0.0041,0.0247,-4.6932,-4.7044,0.0042,2.027,1.975,0.02,0.119,211.6011,-16.21295,6300681568277869568
79,HD 123265,41,35,4173,98,b'2004-02-14T08:12:55.504',b'2015-07-19T01:28:47.922',8.36,0.831,24.814,b'G9',5338,8.678,3.315,0.1518,0.1517,0.0009,0.0034,-5.1149,-5.1154,0.0046,0.767,0.767,0.008,0.03,211.672,-5.51834,3643688458214366208
80,HD 123651,52,27,4619,85,b'2004-05-20T05:13:12.620',b'2017-07-02T01:11:12.972',8.181,0.569,20.046,b'G0',5926,10.662,2.126,0.1791,0.1777,0.0009,0.0036,-4.8318,-4.8388,0.0046,1.473,1.449,0.015,0.061,212.52005,-46.26945,6096062866670779392
81,HD 124106,12,10,472,99,b'2004-02-14T08:30:53.238',b'2005-05-31T00:51:30.000',7.933,0.866,43.44,b'K1',5106,6.163,4.41,0.3616,0.3622,0.0015,0.0282,-4.6122,-4.6114,0.0021,2.442,2.447,0.012,0.226,212.94239,-12.61177,6303961686341505024
82,HD 124292,60,52,4921,163,b'2004-02-13T08:55:15.413',b'2017-08-04T00:30:23.969',7.033,0.727,45.794,b'G8',5443,11.911,2.876,0.1673,0.1675,0.0007,0.0018,-5.0135,-5.0128,0.0037,0.969,0.971,0.008,0.021,213.18849,-3.32008,3646061719703115776
83,HD 124364,23,23,3037,112,b'2004-02-16T08:33:48.911',b'2012-06-10T02:05:09.416',8.225,0.668,26.426,b'G6',5584,8.603,1.679,0.196,0.1988,0.0009,0.0085,-4.8448,-4.8331,0.0038,1.43,1.469,0.012,0.116,213.60344,-48.14664,6092573252981420032
84,HD 125072,92,68,4919,178,b'2004-02-16T07:37:59.609',b'2017-08-05T01:01:25.869',6.672,1.02,84.453,b'K3',4794,5.93,5.383,0.2636,0.267,0.001,0.0256,-4.9298,-4.9238,0.0018,1.175,1.192,0.005,0.124,214.77014,-59.37904,5866992641380992000
85,HD 125184,228,130,4822,202,b'2004-02-27T08:14:52.735',b'2017-08-09T00:30:49.424',6.475,0.725,30.491,b'G4',5680,6.976,2.004,0.1569,0.1567,0.0006,0.0036,-5.0938,-5.0952,0.0039,0.806,0.803,0.007,0.042,214.50303,-7.54239,3639760521643500032
86,HD 125271,10,2,732,52,b'2004-05-28T02:50:53.094',b'2018-02-11T07:21:27.632',9.659,1.008,25.386,b'K4',4672,0.034,0.004,0.3547,0.3543,0.0033,0.0117,-4.7761,-4.7766,0.0044,1.674,1.673,0.017,0.059,216.64857,-81.45331,5772625505422769152
87,HD 125276,36,16,2987,223,b'2006-03-13T05:27:48.603',b'2014-05-17T04:02:50.809',5.878,0.521,55.551,b'F9',6054,7.838,2.005,0.1745,0.1747,0.0006,0.0018,-4.8009,-4.8003,0.0029,1.582,1.584,0.01,0.033,214.75373,-25.81543,6270906415441315840
88,HD 125455,43,41,4275,143,b'2004-06-03T03:35:04.697',b'2016-02-16T08:03:38.646',7.61,0.878,48.865,b'K2',5095,10.812,4.238,0.1989,0.2038,0.0008,0.0183,-4.9506,-4.9363,0.0025,1.121,1.158,0.007,0.142,214.89526,-5.15119,3642413746280599040
89,HD 125522,5,2,652,45,b'2005-04-24T06:15:07.457',b'2015-02-07T09:07:43.729',10.103,0.976,22.82,b'K3',4839,4.731,4.567,0.3378,0.3318,0.0032,0.016,-4.7603,-4.7689,0.0046,1.737,1.702,0.018,0.09,215.03393,-11.05841,6303903171707084800
90,HD 125595,137,84,1827,56,b'2004-05-28T02:36:44.795',b'2010-02-01T08:06:09.835',9.028,1.106,35.434,b'K4',4636,5.51,4.986,0.4941,0.4981,0.0034,0.0367,-4.7611,-4.7575,0.003,1.733,1.748,0.012,0.131,215.34661,-40.39395,6104435819513399296
91,HD 125881,76,51,3355,150,b'2004-02-25T08:37:29.680',b'2013-05-03T07:59:46.478',7.253,0.593,27.532,b'F9',6036,0.645,0.55,0.1757,0.1759,0.0007,0.0026,-4.8737,-4.8726,0.0036,1.337,1.341,0.011,0.042,216.19157,-63.70657,5853300216982678528
92,HD 126053,2,2,1,176,b'2009-02-14T08:04:01.779',b'2009-02-15T09:35:45.589',6.242,0.636,57.344,b'G5',5627,11.952,8.479,0.1801,0.1802,0.0006,0.0009,-4.8911,-4.8909,0.0031,1.285,1.286,0.009,0.013,215.81369,1.24157,3654496279558010368
93,HD 126525,143,129,4814,128,b'2004-06-03T04:09:49.328',b'2017-08-08T00:23:02.839',7.844,0.68,26.531,b'G5',5638,9.836,1.471,0.1659,0.1661,0.0008,0.002,-4.9985,-4.9978,0.0045,1.003,1.005,0.01,0.026,216.88738,-51.93309,5898641087150340096
94,HD 126535,9,8,1866,69,b'2008-04-21T06:49:02.406',b'2013-06-01T03:58:57.602',8.842,0.833,22.89,b'K0',5289,2.741,2.749,0.4363,0.4383,0.0025,0.0352,-4.4839,-4.4816,0.0029,3.282,3.299,0.022,0.311,216.64459,-18.82006,6284269226929880064
95,HD 126583,5,5,8,125,b'2005-05-11T03:14:51.805',b'2005-05-19T02:32:17.281',7.982,0.722,28.828,b'G8',5455,8.93,1.761,0.1811,0.1813,0.0008,0.0012,-4.9436,-4.9427,0.0035,1.139,1.141,0.009,0.015,216.49273,13.43326,1227659299972032000
96,HD 126829,15,7,1784,40,b'2005-04-24T06:35:42.739',b'2010-03-13T07:59:54.179',9.798,1.124,28.42,b'K4',4726,4.537,4.498,0.9068,0.9129,0.0071,0.0332,-4.5217,-4.5187,0.0034,3.008,3.029,0.024,0.111,217.05095,-16.1101,6298443615439036416
97,HD 127124,28,17,2107,41,b'2004-05-28T03:36:49.682',b'2016-04-21T08:12:50.842',9.532,0.923,21.213,b'K2',5030,5.361,4.609,0.3845,0.3774,0.0034,0.0166,-4.6394,-4.6485,0.0043,2.294,2.246,0.023,0.111,217.81708,-51.38244,5898774712172084224
98,HD 128020,34,14,1957,211,b'2006-03-12T07:35:47.170',b'2011-07-21T02:31:28.095',6.028,0.504,35.912,b'F7',6230,3.861,0.532,0.1582,0.1584,0.0006,0.001,-4.872,-4.8707,0.0034,1.343,1.347,0.01,0.019,219.44274,-67.93201,5848156426657892352
99,HD 128113,4,2,1461,39,b'2005-04-24T06:29:01.929',b'2010-04-08T06:13:01.266',9.55,0.88,22.111,b'K3',4866,0.296,0.845,0.2336,0.2321,0.0024,0.0085,-4.859,-4.8625,0.0059,1.384,1.372,0.019,0.066,218.83775,-11.74683,6324436998032481280
100,HD 128356,30,22,2195,92,b'2007-05-28T02:14:35.810',b'2013-09-26T23:23:40.788',8.295,0.687,38.205,b'K3',4932,4.914,4.705,0.2511,0.2591,0.0015,0.0231,-4.6765,-4.6553,0.004,2.106,2.211,0.019,0.302,219.27037,-25.80257,6223838830917235712
101,HD 128674,22,21,3028,191,b'2004-02-25T08:49:43.019',b'2012-06-10T02:22:16.872',7.389,0.672,38.923,b'G7',5551,11.696,9.004,0.1802,0.1799,0.0006,0.0018,-4.9181,-4.9195,0.0031,1.207,1.204,0.009,0.024,220.11776,-57.02956,5891531404470141952
102,HD 129642,140,124,4914,104,b'2004-02-25T09:02:12.559',b'2017-08-09T00:51:42.454',8.399,0.936,36.494,b'K3',4919,7.393,5.167,0.1789,0.1922,0.0012,0.0209,-5.0473,-5.0077,0.0037,0.897,0.983,0.008,0.135,221.29058,-49.91628,5904539176758763520
